<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFA,5,20210204,090000,1.7,1.7,1.7,1.7,50,0
IFA,5,20210204,091500,1.54,1.54,1.52,1.52,1106,0
IFA,5,20210204,092500,1.52,1.52,1.52,1.52,130,0
IFA,5,20210204,114500,1.5,1.52,1.5,1.52,150,0
IFA,5,20210204,115000,1.44,1.44,1.36,1.36,2132,0
IFA,5,20210204,120500,1.4,1.4,1.4,1.4,20,0
IFA,5,20210204,123500,1.48,1.59,1.48,1.59,1550,0
IFA,5,20210204,132000,1.48,1.48,1.48,1.48,20,0
IFA,5,20210204,133000,1.48,1.48,1.48,1.48,500,0
IFA,5,20210204,143500,1.57,1.65,1.57,1.65,1000,0
IFA,5,20210205,090000,1.56,1.56,1.5,1.5,1040,0
IFA,5,20210205,090500,1.5,1.62,1.5,1.62,1500,0
IFA,5,20210205,123000,1.52,1.52,1.48,1.48,725,0
IFA,5,20210205,132000,1.46,1.46,1.45,1.45,905,0
IFA,5,20210205,134000,1.45,1.45,1.45,1.45,765,0
IFA,5,20210205,143000,1.45,1.45,1.45,1.45,635,0
IFA,5,20210205,153500,1.5,1.5,1.5,1.5,1500,0
IFA,5,20210205,163500,1.56,1.59,1.56,1.59,1500,0
IFA,5,20210205,164000,1.59,1.8,1.59,1.8,18217,0
IFA,5,20210208,090000,1.7,1.7,1.7,1.7,10000,0
IFA,5,20210208,091000,1.85,1.9,1.85,1.9,410,0
IFA,5,20210208,091500,1.9,1.9,1.9,1.9,2240,0
IFA,5,20210208,092000,1.9,2,1.9,2,1000,0
IFA,5,20210208,094500,1.98,1.98,1.9,1.9,1130,0
IFA,5,20210208,095000,1.89,1.9,1.89,1.9,900,0
IFA,5,20210208,164500,1.9,2,1.9,2,2750,0
IFA,5,20210209,090000,2,2,2,2,100,0
IFA,5,20210209,091500,1.8,1.8,1.8,1.8,2225,0
IFA,5,20210209,092000,2,2,2,2,10,0
IFA,5,20210209,094500,1.98,1.98,1.98,1.98,10,0
IFA,5,20210209,095000,1.8,1.8,1.62,1.62,2000,0
IFA,5,20210209,100000,1.8,1.8,1.8,1.8,20,0
IFA,5,20210209,131500,1.8,1.8,1.7,1.7,45,0
IFA,5,20210209,141000,1.7,1.7,1.7,1.7,400,0
IFA,5,20210209,142500,1.68,1.68,1.68,1.68,150,0
IFA,5,20210209,143000,1.68,1.68,1.68,1.68,970,0
IFA,5,20210209,145000,1.65,1.65,1.61,1.62,6564,0
IFA,5,20210209,150000,1.83,1.89,1.83,1.89,1100,0
IFA,5,20210209,160000,1.7,1.7,1.6,1.6,6000,0
IFA,5,20210209,160500,1.6,1.6,1.6,1.6,851,0
IFA,5,20210209,161000,1.6,1.6,1.6,1.6,800,0
IFA,5,20210209,162000,1.6,1.6,1.6,1.6,1000,0
IFA,5,20210209,162500,1.6,1.7,1.6,1.7,2000,0
IFA,5,20210209,164000,1.62,1.62,1.62,1.62,1000,0
IFA,5,20210209,164500,1.6,1.6,1.6,1.6,3920,0
IFA,5,20210210,090500,1.75,1.75,1.6,1.6,883,0
IFA,5,20210210,094000,1.66,1.7,1.66,1.7,100,0
IFA,5,20210210,094500,1.7,1.74,1.7,1.74,75,0
IFA,5,20210211,103000,1.72,1.72,1.72,1.72,20,0
IFA,5,20210211,113500,1.64,1.64,1.6,1.6,675,0
IFA,5,20210211,122000,1.56,1.56,1.56,1.56,100,0
IFA,5,20210211,151000,1.7,1.7,1.7,1.7,800,0
IFA,5,20210212,090000,1.7,1.7,1.7,1.7,100,0
IFA,5,20210212,110000,1.61,1.61,1.61,1.61,995,0
IFA,5,20210212,110500,1.6,1.6,1.6,1.6,1250,0
IFA,5,20210212,135500,1.69,1.71,1.69,1.71,250,0
IFA,5,20210212,140000,1.73,1.85,1.73,1.85,1075,0
IFA,5,20210212,144500,1.61,1.61,1.61,1.61,995,0
IFA,5,20210212,145000,1.68,1.68,1.6,1.6,1367,0
IFA,5,20210212,150000,1.6,1.6,1.6,1.6,4325,0
IFA,5,20210212,162500,1.7,1.75,1.7,1.75,675,0
IFA,5,20210216,101000,1.68,1.68,1.6,1.6,828,0
IFA,5,20210216,101500,1.57,1.57,1.55,1.55,2450,0
IFA,5,20210216,102000,1.55,1.55,1.55,1.55,15,0
IFA,5,20210216,102500,1.51,1.51,1.51,1.51,20,0
IFA,5,20210216,103000,1.5,1.5,1.5,1.5,2000,0
IFA,5,20210216,104500,1.5,1.51,1.5,1.51,5000,0
IFA,5,20210216,112500,1.5,1.5,1.5,1.5,997,0
IFA,5,20210216,130500,1.49,1.49,1.49,1.49,130,0
IFA,5,20210216,131500,1.45,1.45,1.45,1.45,1000,0
IFA,5,20210216,144000,1.48,1.5,1.48,1.5,1000,0
IFA,5,20210216,155500,1.46,1.46,1.42,1.42,2748,0
IFA,5,20210216,162000,1.49,1.69,1.49,1.69,748,0
IFA,5,20210217,090000,1.5,1.5,1.5,1.5,8040,0
IFA,5,20210217,113500,1.46,1.46,1.46,1.46,427,0
IFA,5,20210217,134000,1.46,1.46,1.46,1.46,300,0
IFA,5,20210217,135000,1.46,1.46,1.46,1.46,260,0
IFA,5,20210217,143500,1.46,1.46,1.46,1.46,150,0
IFA,5,20210217,162500,1.47,1.68,1.47,1.68,810,0
IFA,5,20210217,163000,1.6,1.6,1.48,1.48,1655,0
IFA,5,20210217,163500,1.54,1.68,1.54,1.68,750,0
IFA,5,20210217,164000,1.6,1.68,1.55,1.68,545,0
IFA,5,20210218,095000,1.6,1.6,1.4,1.4,1017,0
IFA,5,20210218,095500,1.55,1.6,1.55,1.6,1000,0
IFA,5,20210219,144000,1.5,1.5,1.45,1.45,456,0
IFA,5,20210219,151500,1.45,1.45,1.45,1.45,1500,0
IFA,5,20210222,140000,1.44,1.44,1.4,1.4,1068,0
IFA,5,20210222,140500,1.4,1.4,1.38,1.38,3120,0
IFA,5,20210222,153000,1.38,1.38,1.38,1.38,807,0
IFA,5,20210223,142000,1.52,1.52,1.52,1.52,20,0
IFA,5,20210223,144000,1.44,1.44,1.4,1.4,40,0
IFA,5,20210224,090000,1.5,1.5,1.5,1.5,100,0
IFA,5,20210224,104000,1.42,1.42,1.42,1.42,20,0
IFA,5,20210224,165500,1.39,1.39,1.39,1.39,12,0
IFA,5,20210225,103500,1.39,1.39,1.39,1.39,10,0
IFA,5,20210225,145500,1.35,1.35,1.34,1.34,920,0
IFA,5,20210225,153500,1.29,1.39,1.29,1.39,850,0
IFA,5,20210302,090000,1.39,1.39,1.39,1.39,5000,0
IFA,5,20210302,093500,1.39,1.39,1.39,1.39,1351,0
IFA,5,20210302,151500,1.33,1.33,1.28,1.28,860,0
IFA,5,20210302,152000,1.3,1.49,1.3,1.49,850,0
IFA,5,20210302,154000,1.49,1.49,1.49,1.49,70,0
IFA,5,20210302,163000,1.47,1.47,1.47,1.47,110,0
IFA,5,20210303,120000,1.49,1.49,1.49,1.49,10,0
IFA,5,20210303,131500,1.4,1.4,1.4,1.4,20,0
IFA,5,20210304,091000,1.48,1.5,1.48,1.5,1450,0
IFA,5,20210304,155000,1.4,1.4,1.2,1.2,4813,0
IFA,5,20210304,155500,1.21,1.21,1.19,1.19,2500,0
IFA,5,20210304,160000,1.44,1.44,1.44,1.44,120,0
IFA,5,20210305,163500,1.18,1.18,1.18,1.18,588,0
IFA,5,20210305,164000,1.25,1.26,1.25,1.26,1100,0
IFA,5,20210308,090500,1.26,1.26,1.26,1.26,800,0
IFA,5,20210308,094000,1.26,1.26,1.26,1.26,97,0
IFA,5,20210308,105500,1.26,1.26,1.2,1.2,1000,0
