<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGN,5,20210204,090000,21.5,21.5,20.6,20.8,28082,0
IGN,5,20210204,090500,20.7,21.2,20.7,21.2,2778,0
IGN,5,20210204,091000,21,21.2,20.9,21.2,2877,0
IGN,5,20210204,091500,21.2,21.2,21,21,589,0
IGN,5,20210204,092000,21,21,20.8,20.9,2346,0
IGN,5,20210204,092500,21,21.1,21,21.1,338,0
IGN,5,20210204,093000,20.9,21.1,20.9,21.1,690,0
IGN,5,20210204,093500,21.1,21.1,21.1,21.1,311,0
IGN,5,20210204,094000,21.1,21.1,21.1,21.1,160,0
IGN,5,20210204,094500,21,21.2,21,21,2006,0
IGN,5,20210204,095000,21.1,21.1,21,21.1,332,0
IGN,5,20210204,095500,21.1,21.2,21,21.1,226,0
IGN,5,20210204,100000,21.2,21.3,21.1,21.2,1524,0
IGN,5,20210204,100500,21.2,21.2,21.2,21.2,281,0
IGN,5,20210204,101000,21.2,21.3,21.2,21.3,530,0
IGN,5,20210204,101500,21.3,21.5,21.2,21.5,3971,0
IGN,5,20210204,102000,21.6,21.7,21.5,21.6,3895,0
IGN,5,20210204,102500,21.6,21.7,21.5,21.5,2299,0
IGN,5,20210204,103000,21.5,21.5,21.5,21.5,753,0
IGN,5,20210204,103500,21.5,21.6,21.3,21.5,1635,0
IGN,5,20210204,104000,21.4,21.4,21.4,21.4,200,0
IGN,5,20210204,104500,21.4,21.5,21.4,21.4,198,0
IGN,5,20210204,105000,21.4,21.5,21.3,21.5,1964,0
IGN,5,20210204,105500,21.2,21.5,21.2,21.2,1050,0
IGN,5,20210204,110000,21.2,21.4,21.1,21.1,3271,0
IGN,5,20210204,110500,21.4,21.4,21.4,21.4,1,0
IGN,5,20210204,111000,21.2,21.2,21.2,21.2,900,0
IGN,5,20210204,111500,21.2,21.2,21.2,21.2,547,0
IGN,5,20210204,112500,21.2,21.2,21.2,21.2,150,0
IGN,5,20210204,113000,21.2,21.2,21.1,21.1,1061,0
IGN,5,20210204,114000,21.2,21.2,21.2,21.2,115,0
IGN,5,20210204,114500,21.4,21.4,21.1,21.4,721,0
IGN,5,20210204,115000,21.2,21.4,21.1,21.4,1005,0
IGN,5,20210204,115500,21.5,21.5,21.5,21.5,629,0
IGN,5,20210204,120500,21.2,21.2,21.2,21.2,70,0
IGN,5,20210204,121000,21.2,21.2,21.2,21.2,35,0
IGN,5,20210204,121500,21.2,21.4,21.2,21.2,1397,0
IGN,5,20210204,122000,21.2,21.3,21.2,21.3,1003,0
IGN,5,20210204,122500,21.2,21.2,21.1,21.1,612,0
IGN,5,20210204,123000,21.2,21.2,21.2,21.2,135,0
IGN,5,20210204,123500,21.2,21.2,21.2,21.2,265,0
IGN,5,20210204,124000,21.3,21.3,21.3,21.3,40,0
IGN,5,20210204,124500,21.3,21.3,21.3,21.3,105,0
IGN,5,20210204,125500,21.3,21.3,21.2,21.2,574,0
IGN,5,20210204,130000,21.1,21.1,21,21.1,5237,0
IGN,5,20210204,130500,21,21,20.9,21,4635,0
IGN,5,20210204,131000,21.1,21.2,21,21.2,647,0
IGN,5,20210204,132000,21.2,21.2,21.2,21.2,100,0
