<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGS,5,20210204,090000,2.68,2.68,2.68,2.68,412,0
IGS,5,20210204,102500,2.64,2.64,2.64,2.64,55,0
IGS,5,20210204,103000,2.64,2.64,2.64,2.64,145,0
IGS,5,20210204,103500,2.64,2.64,2.64,2.64,385,0
IGS,5,20210204,104500,2.56,2.56,2.54,2.54,260,0
IGS,5,20210204,133500,2.54,2.54,2.54,2.54,30,0
IGS,5,20210204,142000,2.54,2.54,2.54,2.54,10,0
IGS,5,20210204,152000,2.54,2.54,2.54,2.54,50,0
IGS,5,20210204,164500,2.68,2.68,2.68,2.68,11,0
IGS,5,20210205,101500,2.64,2.64,2.64,2.64,10,0
IGS,5,20210205,144500,2.5,2.5,2.5,2.5,100,0
IGS,5,20210205,152000,2.46,2.46,2.46,2.46,390,0
IGS,5,20210205,160500,2.46,2.46,2.46,2.46,100,0
IGS,5,20210208,090000,2.46,2.46,2.46,2.46,400,0
IGS,5,20210208,103500,2.44,2.44,2.4,2.4,600,0
IGS,5,20210208,104000,2.4,2.4,2.36,2.36,751,0
IGS,5,20210208,110500,2.32,2.32,2.32,2.32,100,0
IGS,5,20210208,113000,2.26,2.26,2.26,2.26,150,0
IGS,5,20210208,141500,2.2,2.2,2.2,2.2,200,0
IGS,5,20210208,143000,2.2,2.2,2.2,2.2,260,0
IGS,5,20210208,151500,2.16,2.16,2.16,2.16,130,0
IGS,5,20210208,160500,2.02,2.02,2.02,2.02,90,0
IGS,5,20210208,161000,2.34,2.34,2.34,2.34,374,0
IGS,5,20210208,164500,2.34,2.34,2.34,2.34,100,0
IGS,5,20210209,090000,2.34,2.34,2.34,2.34,900,0
IGS,5,20210209,090500,2.34,2.34,2.34,2.34,1024,0
IGS,5,20210209,130500,2.14,2.14,2.14,2.14,258,0
IGS,5,20210209,150000,2.14,2.14,2.14,2.14,567,0
IGS,5,20210209,152000,2.14,2.14,2.14,2.14,13,0
IGS,5,20210209,153500,2.14,2.14,1.98,1.98,1000,0
IGS,5,20210209,154500,1.98,1.98,1.98,1.98,700,0
IGS,5,20210209,155000,2.14,2.2,2.14,2.16,1145,0
IGS,5,20210209,155500,2.16,2.32,2.16,2.32,316,0
IGS,5,20210209,160000,2.24,2.24,2.24,2.24,445,0
IGS,5,20210209,164500,2.32,2.32,2.32,2.32,11,0
IGS,5,20210210,090000,2.24,2.24,2.24,2.24,193,0
IGS,5,20210210,090500,2.24,2.32,2.24,2.32,400,0
IGS,5,20210210,125500,2.32,2.34,2.32,2.34,430,0
IGS,5,20210210,132500,2.32,2.42,2.32,2.42,911,0
IGS,5,20210211,095500,2.34,2.34,2.34,2.34,50,0
IGS,5,20210211,111500,2.3,2.3,2.3,2.3,250,0
IGS,5,20210211,133500,2.24,2.24,2.24,2.24,239,0
IGS,5,20210211,140500,2.4,2.4,2.4,2.4,205,0
IGS,5,20210212,102000,2.24,2.24,2.24,2.24,400,0
IGS,5,20210212,102500,2.3,2.4,2.3,2.4,65,0
IGS,5,20210212,124500,2.4,2.4,2.4,2.4,100,0
IGS,5,20210212,130000,2.4,2.4,2.4,2.4,283,0
IGS,5,20210212,130500,2.4,2.4,2.4,2.4,15,0
IGS,5,20210212,144000,2.24,2.24,2.2,2.2,555,0
IGS,5,20210212,164500,2.2,2.2,2.2,2.2,150,0
IGS,5,20210215,091000,2.1,2.1,2.1,2.1,400,0
IGS,5,20210215,100000,2.1,2.1,2.06,2.06,110,0
IGS,5,20210215,100500,2.06,2.06,2.06,2.06,20,0
IGS,5,20210215,105000,2.06,2.06,2.06,2.06,200,0
IGS,5,20210215,121500,2.12,2.12,2.12,2.12,1024,0
IGS,5,20210215,130500,2.14,2.14,2.14,2.14,408,0
IGS,5,20210215,161500,2.12,2.12,2.12,2.12,512,0
IGS,5,20210215,164500,2.22,2.22,2.22,2.22,23,0
IGS,5,20210216,094000,2.1,2.1,2.1,2.1,480,0
IGS,5,20210216,132000,2.1,2.1,2.1,2.1,93,0
IGS,5,20210216,140000,2.12,2.12,2.12,2.12,60,0
IGS,5,20210217,090000,2,2,2,2,400,0
IGS,5,20210217,143000,1.96,1.96,1.96,1.96,400,0
IGS,5,20210217,155500,2,2.04,2,2.04,1500,0
IGS,5,20210218,090000,2.04,2.04,2.04,2.04,58,0
IGS,5,20210218,092000,2.04,2.04,2.04,2.04,542,0
IGS,5,20210218,101000,2.16,2.3,2.16,2.3,102,0
IGS,5,20210218,110500,2.3,2.3,2.3,2.3,50,0
IGS,5,20210219,095000,2.22,2.22,2.22,2.22,455,0
IGS,5,20210219,100000,2.3,2.3,2.3,2.3,68,0
IGS,5,20210219,143000,2.38,2.38,2.38,2.38,284,0
IGS,5,20210219,151500,2.5,2.58,2.5,2.58,51,0
IGS,5,20210222,090000,2.56,2.56,2.56,2.56,300,0
IGS,5,20210222,093500,2.2,2.2,2.06,2.06,1225,0
IGS,5,20210222,095500,2.5,2.5,2.1,2.1,207,0
IGS,5,20210222,100000,2.1,2.1,2.08,2.08,751,0
IGS,5,20210222,103000,2.2,2.2,2.2,2.2,456,0
IGS,5,20210222,111000,2.2,2.2,2.2,2.2,1000,0
IGS,5,20210222,111500,2.24,2.24,2.24,2.24,460,0
IGS,5,20210222,113000,2.46,2.46,2.46,2.46,20,0
IGS,5,20210223,090000,2.38,2.38,2.22,2.22,555,0
IGS,5,20210223,090500,2.22,2.22,2.22,2.22,45,0
IGS,5,20210223,091000,2.38,2.38,2.38,2.38,115,0
IGS,5,20210223,092000,2.36,2.36,2.36,2.36,84,0
IGS,5,20210223,094500,2.36,2.38,2.36,2.38,626,0
IGS,5,20210223,095000,2.22,2.22,2.22,2.22,500,0
IGS,5,20210223,121500,2.2,2.2,2.2,2.2,500,0
IGS,5,20210223,150500,2.2,2.2,2.2,2.2,33,0
IGS,5,20210224,090500,2.28,2.28,2.28,2.28,5,0
IGS,5,20210224,091000,2.28,2.28,2.28,2.28,30,0
IGS,5,20210224,105000,2.14,2.14,2.14,2.14,500,0
IGS,5,20210224,110000,2.14,2.14,2.14,2.14,75,0
IGS,5,20210224,110500,2.12,2.12,2.12,2.12,30,0
IGS,5,20210224,153500,2.14,2.14,2.14,2.14,36,0
IGS,5,20210225,090000,2.12,2.12,2.12,2.12,465,0
IGS,5,20210225,124500,2,2,2,2,700,0
IGS,5,20210225,125000,2,2,2,2,300,0
IGS,5,20210225,130000,2,2,2,2,35,0
IGS,5,20210226,090000,2.08,2.08,2.08,2.08,5,0
IGS,5,20210226,130000,2.08,2.08,2.08,2.08,10,0
IGS,5,20210226,130500,2.08,2.08,2.08,2.08,100,0
IGS,5,20210226,150000,2.06,2.06,2.06,2.06,10,0
IGS,5,20210226,151000,2.08,2.08,2.08,2.08,35,0
IGS,5,20210301,090000,2,2,2,2,33,0
IGS,5,20210301,103500,2,2,2,2,10,0
IGS,5,20210301,115000,2,2,2,2,1000,0
IGS,5,20210301,150000,2,2,2,2,389,0
IGS,5,20210302,101500,1.94,1.94,1.91,1.91,2430,0
IGS,5,20210302,134000,1.91,1.91,1.91,1.91,950,0
IGS,5,20210302,141500,1.91,1.91,1.91,1.91,50,0
IGS,5,20210303,095500,1.91,1.91,1.91,1.91,10,0
IGS,5,20210305,113000,2,2,2,2,5,0
IGS,5,20210308,124000,2,2.1,2,2.1,520,0
IGS,5,20210308,141500,2.08,2.08,2.08,2.08,479,0
IGS,5,20210308,163000,2,2,2,2,505,0
IGS,5,20210309,102500,1.95,1.95,1.95,1.95,520,0
IGS,5,20210309,103500,1.87,1.87,1.87,1.87,100,0
IGS,5,20210309,134500,1.87,1.87,1.87,1.87,400,0
IGS,5,20210309,165500,2.1,2.1,2.1,2.1,100,0
IGS,5,20210310,090000,2.2,2.28,2.2,2.28,1639,0
IGS,5,20210310,091000,2.34,2.5,2.34,2.5,678,0
IGS,5,20210310,092000,2.2,2.2,2.2,2.2,920,0
IGS,5,20210310,093000,2.5,2.5,2.5,2.5,111,0
IGS,5,20210310,093500,2.5,2.6,2.5,2.6,1618,0
IGS,5,20210310,094500,2.58,2.58,2.56,2.56,3802,0
IGS,5,20210310,100500,2.5,2.5,2.5,2.5,1000,0
IGS,5,20210310,112000,2.5,2.5,2.5,2.5,200,0
IGS,5,20210310,113000,2.48,2.48,2.48,2.48,100,0
IGS,5,20210311,090000,2.4,2.4,2.4,2.4,6,0
IGS,5,20210311,091500,2.4,2.66,2.4,2.66,1000,0
IGS,5,20210311,092000,2.66,2.8,2.66,2.8,1118,0
IGS,5,20210311,092500,2.66,2.66,2.66,2.66,1061,0
IGS,5,20210311,102000,2.6,2.6,2.6,2.6,30,0
IGS,5,20210311,102500,2.4,2.4,2.4,2.4,1000,0
IGS,5,20210311,104000,2.34,2.34,2.34,2.34,650,0
IGS,5,20210311,104500,2.34,2.66,2.34,2.66,130,0
IGS,5,20210311,110500,2.24,2.24,2.12,2.12,1000,0
IGS,5,20210311,111000,2.56,2.56,2.56,2.56,10,0
IGS,5,20210312,091000,2.36,2.36,2.36,2.36,5,0
IGS,5,20210312,091500,2.2,2.2,2.12,2.12,550,0
IGS,5,20210312,092000,2.1,2.5,2.1,2.5,100,0
IGS,5,20210312,092500,2.12,2.12,2.12,2.12,100,0
IGS,5,20210312,093000,2,2.54,2,2.54,1000,0
IGS,5,20210312,111000,2.34,2.34,2.34,2.34,10,0
IGS,5,20210312,125000,2.2,2.2,2.14,2.14,1035,0
IGS,5,20210312,164500,2.18,2.18,2.1,2.1,2000,0
IGS,5,20210315,094500,2.32,2.32,2.12,2.12,213,0
IGS,5,20210315,103500,2.1,2.1,2.1,2.1,30,0
IGS,5,20210315,110000,2.1,2.2,2.1,2.2,862,0
IGS,5,20210315,125000,2.26,2.26,2.02,2.02,117,0
IGS,5,20210315,161000,2.02,2.02,2.02,2.02,486,0
