<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGT,5,20210204,091500,0.356,0.356,0.356,0.356,10,0
IGT,5,20210204,145000,0.34,0.34,0.34,0.34,12475,0
IGT,5,20210204,152500,0.34,0.34,0.34,0.34,525,0
IGT,5,20210204,162500,0.338,0.338,0.338,0.338,500,0
IGT,5,20210205,094500,0.346,0.346,0.346,0.346,100,0
IGT,5,20210205,100000,0.344,0.344,0.344,0.344,1000,0
IGT,5,20210205,103500,0.332,0.332,0.328,0.328,18900,0
IGT,5,20210205,104500,0.326,0.326,0.326,0.326,22570,0
IGT,5,20210205,115500,0.33,0.336,0.33,0.336,3000,0
IGT,5,20210205,121500,0.336,0.336,0.336,0.336,1722,0
IGT,5,20210205,122000,0.338,0.34,0.338,0.34,22970,0
IGT,5,20210205,122500,0.34,0.34,0.32,0.32,30000,0
IGT,5,20210205,123000,0.334,0.344,0.334,0.344,16755,0
IGT,5,20210205,123500,0.344,0.35,0.344,0.35,21038,0
IGT,5,20210205,124000,0.376,0.38,0.376,0.378,8000,0
IGT,5,20210205,125000,0.36,0.36,0.36,0.36,3000,0
IGT,5,20210205,135500,0.356,0.356,0.356,0.356,9000,0
IGT,5,20210205,141000,0.358,0.358,0.356,0.356,5500,0
IGT,5,20210205,141500,0.356,0.356,0.356,0.356,4400,0
IGT,5,20210205,144500,0.372,0.374,0.372,0.374,1500,0
IGT,5,20210205,145500,0.374,0.374,0.374,0.374,12530,0
IGT,5,20210205,150000,0.374,0.376,0.374,0.376,10946,0
IGT,5,20210205,150500,0.376,0.392,0.376,0.392,7461,0
IGT,5,20210205,151500,0.392,0.398,0.392,0.396,6445,0
IGT,5,20210205,153500,0.39,0.39,0.378,0.378,100,0
IGT,5,20210205,154500,0.38,0.38,0.376,0.376,12000,0
IGT,5,20210205,155000,0.376,0.376,0.37,0.37,17009,0
IGT,5,20210205,155500,0.368,0.39,0.368,0.39,8292,0
IGT,5,20210205,162500,0.39,0.39,0.39,0.39,4500,0
IGT,5,20210205,163000,0.39,0.4,0.39,0.4,6650,0
IGT,5,20210205,164500,0.39,0.396,0.39,0.396,11382,0
IGT,5,20210208,090000,0.398,0.398,0.398,0.398,500,0
IGT,5,20210208,092000,0.38,0.38,0.374,0.374,22500,0
IGT,5,20210208,094000,0.38,0.38,0.38,0.38,1500,0
IGT,5,20210208,094500,0.396,0.4,0.396,0.4,11150,0
IGT,5,20210208,095000,0.396,0.428,0.396,0.426,39396,0
IGT,5,20210208,095500,0.414,0.414,0.414,0.414,5000,0
IGT,5,20210208,101500,0.418,0.418,0.418,0.418,1800,0
IGT,5,20210208,102000,0.404,0.404,0.4,0.4,9480,0
IGT,5,20210208,104500,0.41,0.41,0.41,0.41,1900,0
IGT,5,20210208,110000,0.4,0.4,0.4,0.4,9492,0
IGT,5,20210208,110500,0.4,0.41,0.4,0.41,1500,0
IGT,5,20210208,111000,0.41,0.41,0.41,0.41,1600,0
IGT,5,20210208,111500,0.4,0.4,0.4,0.4,5000,0
IGT,5,20210208,114500,0.41,0.41,0.41,0.41,1500,0
IGT,5,20210208,124500,0.398,0.398,0.396,0.396,7530,0
IGT,5,20210208,130500,0.396,0.396,0.386,0.386,7770,0
IGT,5,20210208,140000,0.386,0.386,0.386,0.386,500,0
IGT,5,20210208,140500,0.384,0.384,0.384,0.384,940,0
IGT,5,20210208,141000,0.384,0.384,0.384,0.384,2967,0
IGT,5,20210208,145500,0.404,0.404,0.404,0.404,222,0
IGT,5,20210208,154500,0.386,0.386,0.38,0.38,5478,0
IGT,5,20210208,161500,0.398,0.4,0.398,0.4,2875,0
IGT,5,20210209,090000,0.398,0.426,0.398,0.42,24000,0
IGT,5,20210209,090500,0.42,0.426,0.42,0.42,8000,0
IGT,5,20210209,091000,0.42,0.42,0.42,0.42,6800,0
IGT,5,20210209,093000,0.41,0.41,0.41,0.41,5000,0
IGT,5,20210209,093500,0.41,0.41,0.402,0.41,2000,0
IGT,5,20210209,094500,0.4,0.4,0.4,0.4,5000,0
IGT,5,20210209,101500,0.41,0.412,0.41,0.412,5000,0
IGT,5,20210209,103000,0.41,0.41,0.4,0.4,9800,0
IGT,5,20210209,105500,0.396,0.396,0.396,0.396,3500,0
IGT,5,20210209,123000,0.4,0.4,0.4,0.4,6882,0
IGT,5,20210209,130500,0.41,0.412,0.41,0.412,3969,0
IGT,5,20210209,131500,0.412,0.412,0.412,0.412,3000,0
IGT,5,20210209,142000,0.412,0.426,0.412,0.426,20498,0
IGT,5,20210209,142500,0.428,0.428,0.428,0.428,93,0
IGT,5,20210209,143000,0.402,0.424,0.402,0.424,16369,0
IGT,5,20210209,143500,0.424,0.424,0.424,0.424,3840,0
