<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMG,5,20210204,092000,0.715,0.715,0.715,0.715,1,0
IMG,5,20210204,094500,0.715,0.715,0.715,0.715,1,0
IMG,5,20210204,103000,0.71,0.71,0.71,0.71,100,0
IMG,5,20210204,121000,0.675,0.675,0.675,0.675,500,0
IMG,5,20210204,122500,0.68,0.68,0.68,0.68,100,0
IMG,5,20210204,123500,0.7,0.71,0.7,0.71,2500,0
IMG,5,20210204,125000,0.71,0.715,0.71,0.715,2337,0
IMG,5,20210204,125500,0.72,0.72,0.72,0.72,163,0
IMG,5,20210204,133000,0.69,0.69,0.68,0.68,4470,0
IMG,5,20210204,133500,0.68,0.68,0.68,0.68,20000,0
IMG,5,20210204,135000,0.68,0.68,0.68,0.68,2800,0
IMG,5,20210204,140000,0.68,0.68,0.68,0.68,3420,0
IMG,5,20210204,161000,0.665,0.665,0.665,0.665,400,0
IMG,5,20210204,161500,0.665,0.705,0.665,0.705,1700,0
IMG,5,20210205,090000,0.7,0.7,0.7,0.7,155,0
IMG,5,20210205,094500,0.67,0.67,0.67,0.67,405,0
IMG,5,20210205,104500,0.7,0.7,0.7,0.7,15,0
IMG,5,20210205,112000,0.67,0.67,0.67,0.67,795,0
IMG,5,20210205,120000,0.695,0.7,0.695,0.7,10000,0
IMG,5,20210205,151000,0.69,0.69,0.69,0.69,1000,0
IMG,5,20210205,153000,0.67,0.67,0.67,0.67,2500,0
IMG,5,20210205,161500,0.69,0.7,0.69,0.7,500,0
IMG,5,20210208,090000,0.695,0.695,0.695,0.695,2000,0
IMG,5,20210208,103000,0.69,0.69,0.69,0.69,550,0
IMG,5,20210208,104000,0.69,0.69,0.69,0.69,2000,0
IMG,5,20210208,104500,0.69,0.69,0.69,0.69,2000,0
IMG,5,20210208,112500,0.69,0.69,0.69,0.69,180,0
IMG,5,20210208,121500,0.69,0.69,0.69,0.69,2500,0
IMG,5,20210208,143500,0.69,0.69,0.69,0.69,41,0
IMG,5,20210208,145000,0.69,0.69,0.69,0.69,1959,0
IMG,5,20210208,145500,0.69,0.69,0.67,0.67,4016,0
IMG,5,20210208,150000,0.67,0.67,0.665,0.665,4561,0
IMG,5,20210208,150500,0.665,0.665,0.665,0.665,2000,0
IMG,5,20210208,151000,0.66,0.69,0.66,0.69,11523,0
IMG,5,20210208,155500,0.665,0.665,0.665,0.665,1500,0
IMG,5,20210208,161000,0.65,0.65,0.65,0.65,2370,0
IMG,5,20210208,163500,0.65,0.65,0.65,0.65,2606,0
IMG,5,20210208,164000,0.65,0.65,0.65,0.65,3294,0
IMG,5,20210208,164500,0.67,0.67,0.67,0.67,1000,0
IMG,5,20210209,091000,0.67,0.67,0.645,0.645,2250,0
IMG,5,20210209,091500,0.64,0.645,0.64,0.645,6496,0
IMG,5,20210209,094000,0.62,0.62,0.62,0.62,4200,0
IMG,5,20210209,094500,0.62,0.62,0.62,0.62,4200,0
IMG,5,20210209,100500,0.62,0.62,0.62,0.62,6983,0
IMG,5,20210209,104000,0.63,0.63,0.63,0.63,4200,0
IMG,5,20210209,104500,0.65,0.65,0.65,0.65,1650,0
IMG,5,20210209,105000,0.63,0.63,0.63,0.63,20,0
IMG,5,20210209,105500,0.62,0.62,0.62,0.62,330,0
IMG,5,20210209,112000,0.64,0.64,0.64,0.64,3000,0
IMG,5,20210209,123000,0.64,0.64,0.64,0.64,464,0
IMG,5,20210209,125000,0.64,0.64,0.64,0.64,563,0
IMG,5,20210209,133500,0.64,0.65,0.64,0.65,4526,0
