<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INM,5,20210204,090000,0.735,0.735,0.735,0.735,6200,0
INM,5,20210204,091500,0.73,0.73,0.73,0.73,450,0
INM,5,20210204,092500,0.73,0.74,0.73,0.74,4555,0
INM,5,20210204,094000,0.73,0.73,0.73,0.73,763,0
INM,5,20210204,094500,0.73,0.73,0.73,0.73,237,0
INM,5,20210204,112000,0.73,0.73,0.73,0.73,413,0
INM,5,20210204,113000,0.73,0.73,0.73,0.73,3680,0
INM,5,20210204,120500,0.74,0.74,0.74,0.74,90,0
INM,5,20210204,121000,0.725,0.725,0.725,0.725,144,0
INM,5,20210204,123000,0.725,0.725,0.725,0.725,2000,0
INM,5,20210204,123500,0.725,0.725,0.725,0.725,1430,0
INM,5,20210204,124500,0.725,0.725,0.71,0.71,8500,0
INM,5,20210204,164500,0.735,0.735,0.735,0.735,92,0
INM,5,20210205,090000,0.735,0.735,0.735,0.735,2000,0
INM,5,20210205,100000,0.74,0.74,0.74,0.74,4982,0
INM,5,20210205,101000,0.74,0.74,0.74,0.74,3000,0
INM,5,20210205,102500,0.72,0.72,0.72,0.72,8216,0
INM,5,20210205,143500,0.725,0.725,0.725,0.725,1042,0
INM,5,20210205,154500,0.725,0.725,0.725,0.725,2500,0
INM,5,20210205,160500,0.72,0.72,0.72,0.72,800,0
INM,5,20210205,164000,0.72,0.72,0.72,0.72,3000,0
INM,5,20210205,164500,0.72,0.735,0.72,0.735,2100,0
INM,5,20210208,090000,0.735,0.735,0.735,0.735,1525,0
INM,5,20210208,100000,0.72,0.72,0.72,0.72,2656,0
INM,5,20210208,102500,0.71,0.71,0.71,0.71,67,0
INM,5,20210208,103500,0.72,0.72,0.72,0.72,82,0
INM,5,20210208,115000,0.735,0.74,0.735,0.74,11200,0
INM,5,20210208,124000,0.715,0.715,0.715,0.715,3000,0
INM,5,20210208,133000,0.72,0.72,0.72,0.72,2000,0
INM,5,20210208,142000,0.735,0.735,0.735,0.735,1000,0
INM,5,20210208,142500,0.735,0.735,0.735,0.735,2000,0
INM,5,20210208,144000,0.735,0.735,0.735,0.735,958,0
INM,5,20210208,154500,0.73,0.735,0.73,0.735,1400,0
INM,5,20210208,155500,0.715,0.715,0.715,0.715,2261,0
INM,5,20210208,160000,0.72,0.72,0.72,0.72,1000,0
INM,5,20210208,163500,0.73,0.73,0.73,0.73,1000,0
INM,5,20210208,164500,0.73,0.735,0.73,0.735,4100,0
INM,5,20210209,090500,0.735,0.735,0.735,0.735,400,0
INM,5,20210209,091000,0.73,0.73,0.73,0.73,200,0
INM,5,20210209,095000,0.715,0.715,0.715,0.715,6819,0
INM,5,20210209,101000,0.715,0.715,0.715,0.715,330,0
INM,5,20210209,103000,0.715,0.715,0.715,0.715,1000,0
INM,5,20210209,105000,0.72,0.72,0.72,0.72,3000,0
INM,5,20210209,114000,0.715,0.715,0.715,0.715,1700,0
INM,5,20210209,114500,0.715,0.715,0.715,0.715,2500,0
INM,5,20210209,115500,0.72,0.72,0.72,0.72,1048,0
INM,5,20210209,120000,0.72,0.72,0.72,0.72,3952,0
INM,5,20210209,132000,0.73,0.73,0.73,0.73,2700,0
INM,5,20210209,142000,0.73,0.73,0.73,0.73,2731,0
INM,5,20210209,143500,0.72,0.72,0.715,0.715,787,0
INM,5,20210209,144000,0.715,0.715,0.715,0.715,713,0
INM,5,20210209,161500,0.715,0.715,0.715,0.715,1455,0
INM,5,20210209,163500,0.73,0.73,0.73,0.73,550,0
INM,5,20210210,090000,0.73,0.73,0.73,0.73,2000,0
INM,5,20210210,090500,0.73,0.73,0.73,0.73,500,0
INM,5,20210210,092000,0.73,0.73,0.73,0.73,680,0
INM,5,20210210,092500,0.73,0.73,0.73,0.73,1339,0
INM,5,20210210,094500,0.735,0.74,0.735,0.74,780,0
INM,5,20210210,101000,0.74,0.74,0.74,0.74,1000,0
INM,5,20210210,102000,0.74,0.74,0.74,0.74,2500,0
INM,5,20210210,104500,0.73,0.73,0.73,0.73,3700,0
INM,5,20210210,105500,0.74,0.74,0.74,0.74,1000,0
INM,5,20210210,110000,0.745,0.755,0.745,0.755,12695,0
INM,5,20210210,110500,0.73,0.73,0.73,0.73,400,0
INM,5,20210210,120000,0.73,0.73,0.73,0.73,4161,0
INM,5,20210210,131500,0.73,0.73,0.73,0.73,939,0
INM,5,20210210,151000,0.72,0.72,0.7,0.7,25339,0
INM,5,20210210,163500,0.735,0.735,0.735,0.735,384,0
INM,5,20210210,164500,0.735,0.735,0.735,0.735,1000,0
INM,5,20210211,090000,0.74,0.74,0.74,0.74,19920,0
INM,5,20210211,090500,0.71,0.745,0.71,0.745,1496,0
INM,5,20210211,092000,0.71,0.71,0.71,0.71,8000,0
INM,5,20210211,093500,0.715,0.715,0.715,0.715,511,0
INM,5,20210211,094000,0.71,0.71,0.71,0.71,8000,0
INM,5,20210211,100500,0.715,0.715,0.715,0.715,2639,0
INM,5,20210211,101000,0.715,0.735,0.715,0.735,7367,0
INM,5,20210211,122500,0.71,0.71,0.71,0.71,2500,0
INM,5,20210211,124000,0.735,0.735,0.735,0.735,2600,0
INM,5,20210211,140500,0.715,0.715,0.715,0.715,1500,0
INM,5,20210211,141000,0.715,0.715,0.715,0.715,1500,0
INM,5,20210211,142000,0.715,0.715,0.715,0.715,400,0
INM,5,20210211,150000,0.715,0.715,0.71,0.71,2000,0
INM,5,20210211,151000,0.71,0.71,0.71,0.71,5000,0
INM,5,20210211,152500,0.71,0.71,0.71,0.71,300,0
INM,5,20210211,154000,0.72,0.72,0.72,0.72,500,0
INM,5,20210211,155000,0.72,0.72,0.72,0.72,250,0
INM,5,20210211,162500,0.73,0.74,0.73,0.74,4444,0
INM,5,20210212,090000,0.72,0.72,0.72,0.72,2000,0
INM,5,20210212,091000,0.74,0.74,0.74,0.74,3852,0
INM,5,20210212,091500,0.74,0.74,0.74,0.74,500,0
INM,5,20210212,092000,0.73,0.73,0.73,0.73,2800,0
INM,5,20210212,100500,0.735,0.735,0.735,0.735,3200,0
INM,5,20210212,101500,0.73,0.73,0.73,0.73,3201,0
INM,5,20210212,102000,0.72,0.72,0.71,0.71,3002,0
INM,5,20210212,103500,0.72,0.72,0.72,0.72,1000,0
INM,5,20210212,104500,0.72,0.72,0.71,0.71,28008,0
INM,5,20210212,111500,0.715,0.715,0.71,0.71,3000,0
INM,5,20210212,115000,0.715,0.715,0.715,0.715,1112,0
INM,5,20210212,115500,0.72,0.72,0.72,0.72,3000,0
INM,5,20210212,122000,0.72,0.72,0.72,0.72,500,0
INM,5,20210212,130000,0.71,0.71,0.71,0.71,5691,0
INM,5,20210212,133000,0.72,0.72,0.72,0.72,1444,0
INM,5,20210212,133500,0.72,0.72,0.72,0.72,855,0
INM,5,20210212,143500,0.725,0.725,0.725,0.725,2500,0
INM,5,20210212,144500,0.725,0.725,0.725,0.725,1500,0
INM,5,20210212,154500,0.725,0.725,0.725,0.725,500,0
INM,5,20210212,155500,0.725,0.725,0.725,0.725,7000,0
INM,5,20210212,163500,0.72,0.72,0.72,0.72,345,0
INM,5,20210212,164500,0.725,0.725,0.725,0.725,200,0
INM,5,20210215,090000,0.735,0.735,0.725,0.725,4746,0
INM,5,20210215,090500,0.71,0.71,0.71,0.71,850,0
INM,5,20210215,091000,0.71,0.71,0.71,0.71,5250,0
INM,5,20210215,102000,0.71,0.71,0.705,0.705,16903,0
INM,5,20210215,102500,0.7,0.7,0.7,0.7,12852,0
INM,5,20210215,104000,0.705,0.705,0.705,0.705,1560,0
INM,5,20210215,104500,0.7,0.705,0.7,0.705,11119,0
INM,5,20210215,112000,0.71,0.71,0.705,0.705,2760,0
INM,5,20210215,113500,0.72,0.72,0.72,0.72,2500,0
INM,5,20210215,120500,0.72,0.725,0.72,0.725,8500,0
INM,5,20210215,123000,0.73,0.73,0.73,0.73,1200,0
INM,5,20210215,123500,0.73,0.73,0.73,0.73,10213,0
INM,5,20210215,124500,0.735,0.735,0.735,0.735,1000,0
INM,5,20210215,125000,0.735,0.74,0.735,0.735,24500,0
INM,5,20210215,132500,0.73,0.73,0.73,0.73,1500,0
INM,5,20210215,133000,0.73,0.73,0.73,0.73,1365,0
INM,5,20210215,134500,0.725,0.725,0.725,0.725,500,0
INM,5,20210215,135000,0.725,0.725,0.725,0.725,1000,0
INM,5,20210215,143500,0.725,0.725,0.725,0.725,500,0
INM,5,20210215,153500,0.72,0.72,0.72,0.72,1500,0
INM,5,20210215,160000,0.725,0.725,0.725,0.725,500,0
INM,5,20210215,162500,0.725,0.725,0.725,0.725,2000,0
INM,5,20210215,163500,0.725,0.725,0.725,0.725,365,0
INM,5,20210215,164500,0.735,0.74,0.735,0.74,9973,0
INM,5,20210216,090000,0.76,0.79,0.76,0.775,106391,0
INM,5,20210216,090500,0.77,0.77,0.76,0.76,6482,0
INM,5,20210216,091000,0.77,0.78,0.77,0.78,11258,0
INM,5,20210216,091500,0.795,0.8,0.78,0.8,39320,0
INM,5,20210216,092000,0.8,0.8,0.78,0.78,18995,0
INM,5,20210216,092500,0.79,0.79,0.78,0.78,17659,0
INM,5,20210216,093000,0.78,0.78,0.78,0.78,1000,0
INM,5,20210216,094000,0.77,0.77,0.77,0.77,15149,0
INM,5,20210216,094500,0.77,0.77,0.77,0.77,2000,0
INM,5,20210216,100500,0.77,0.77,0.76,0.76,3859,0
INM,5,20210216,101000,0.76,0.76,0.76,0.76,13060,0
INM,5,20210216,101500,0.77,0.77,0.77,0.77,341,0
INM,5,20210216,104000,0.775,0.775,0.775,0.775,1100,0
INM,5,20210216,104500,0.775,0.775,0.775,0.775,100,0
