<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INT,5,20210204,101000,2.5,2.5,2.5,2.5,2500,0
INT,5,20210204,104500,2.5,2.5,2.5,2.5,200,0
INT,5,20210204,105000,2.32,2.32,2.32,2.32,10,0
INT,5,20210205,095000,2.6,2.6,2.6,2.6,500,0
INT,5,20210205,101500,2.8,2.8,2.8,2.8,150,0
INT,5,20210205,104000,2.8,2.8,2.8,2.8,350,0
INT,5,20210205,104500,2.82,2.86,2.82,2.86,650,0
INT,5,20210205,105000,2.86,3,2.86,3,1870,0
INT,5,20210205,114000,3,3,3,3,500,0
INT,5,20210205,134500,3.06,3.06,3.06,3.06,40,0
INT,5,20210208,090000,3.7,3.7,3.7,3.7,934,0
INT,5,20210208,090500,3.7,3.7,3.7,3.7,631,0
INT,5,20210208,091000,3.7,3.7,3.7,3.7,40,0
INT,5,20210208,091500,4.2,4.2,4.2,4.2,347,0
INT,5,20210208,092000,4.2,4.4,4.2,4.4,503,0
INT,5,20210208,101000,4.16,4.16,4.16,4.16,397,0
INT,5,20210208,101500,4.12,4.44,4.12,4.44,309,0
INT,5,20210208,105500,4.44,4.44,4.44,4.44,735,0
INT,5,20210208,111000,4.44,4.44,4.44,4.44,10,0
INT,5,20210208,111500,4.44,4.44,4.44,4.44,136,0
INT,5,20210208,114500,4.4,4.4,4.4,4.4,10,0
INT,5,20210208,120500,4,4,3.26,3.26,160,0
INT,5,20210208,121500,3.26,3.26,3.26,3.26,115,0
INT,5,20210208,122000,3.2,3.2,3.06,3.06,200,0
INT,5,20210208,122500,3,3.98,3,3.98,316,0
INT,5,20210208,123000,3.98,4.08,3.98,4.08,184,0
INT,5,20210208,123500,4.44,4.44,4.44,4.44,1,0
INT,5,20210208,130500,4.08,4.08,4.08,4.08,67,0
INT,5,20210208,131500,4.08,4.08,4.08,4.08,34,0
INT,5,20210208,140000,3.9,3.9,3.9,3.9,66,0
INT,5,20210208,141500,4.26,4.44,4.26,4.44,678,0
INT,5,20210208,142000,4.44,4.44,4.44,4.44,111,0
INT,5,20210208,143500,4.42,4.44,4.42,4.44,120,0
INT,5,20210208,150000,4.26,4.26,4.26,4.26,1,0
INT,5,20210208,151500,4.44,4.44,4.44,4.44,65,0
INT,5,20210208,152000,4.44,4.44,4.44,4.44,214,0
INT,5,20210208,162500,4.44,4.44,4.44,4.44,30,0
INT,5,20210209,090000,4.7,5.35,4.7,5.35,1405,0
INT,5,20210209,090500,5.6,5.6,5.6,5.6,657,0
INT,5,20210209,091000,5.6,5.6,5.6,5.6,107,0
INT,5,20210209,091500,5.6,5.6,5.2,5.2,111,0
INT,5,20210209,092000,4.68,4.68,4.68,4.68,310,0
INT,5,20210209,092500,4.7,4.7,4.7,4.7,1,0
INT,5,20210209,094500,4.7,4.7,4.7,4.7,149,0
INT,5,20210209,095000,5.45,5.45,5.45,5.45,1,0
INT,5,20210209,101000,5.45,5.45,5.45,5.45,100,0
INT,5,20210209,101500,5.45,5.45,5.45,5.45,20,0
INT,5,20210209,103500,5.4,5.4,5.4,5.4,120,0
INT,5,20210209,111500,5.3,5.35,5.3,5.35,1000,0
INT,5,20210209,113500,5,5,5,5,200,0
INT,5,20210209,114000,4.8,4.8,4.8,4.8,1,0
INT,5,20210209,115500,4.8,4.8,4,4,892,0
INT,5,20210209,120000,3.82,5.25,3.82,5.25,266,0
INT,5,20210209,122500,5.2,5.2,5.2,5.2,100,0
INT,5,20210209,125500,5.2,5.4,5.2,5.4,11,0
INT,5,20210209,130500,5.4,5.55,5.4,5.55,80,0
INT,5,20210209,131000,5.4,5.4,5.4,5.4,121,0
INT,5,20210209,132000,5.4,5.55,5.4,5.55,114,0
INT,5,20210209,132500,5.55,5.55,5.55,5.55,12,0
INT,5,20210209,135000,5.55,5.55,5.55,5.55,77,0
INT,5,20210209,135500,5.55,5.55,5.55,5.55,150,0
INT,5,20210209,143500,4.64,4.64,4.64,4.64,150,0
INT,5,20210209,144000,4.64,4.64,4.64,4.64,300,0
INT,5,20210209,144500,5.35,5.4,5.35,5.4,535,0
