<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INW,5,20210204,090000,0.49,0.49,0.49,0.49,1328,0
INW,5,20210204,090500,0.488,0.488,0.488,0.488,500,0
INW,5,20210204,091000,0.472,0.472,0.45,0.45,48870,0
INW,5,20210204,091500,0.45,0.47,0.4,0.44,166162,0
INW,5,20210204,092500,0.436,0.448,0.4,0.4,112917,0
INW,5,20210204,093000,0.4,0.42,0.4,0.42,105560,0
INW,5,20210204,094000,0.42,0.434,0.42,0.428,22106,0
INW,5,20210204,094500,0.432,0.44,0.426,0.426,26199,0
INW,5,20210204,095000,0.426,0.43,0.426,0.43,18702,0
INW,5,20210204,095500,0.426,0.428,0.4,0.416,112830,0
INW,5,20210204,100000,0.414,0.416,0.414,0.414,4368,0
INW,5,20210204,100500,0.41,0.41,0.41,0.41,750,0
INW,5,20210204,101000,0.41,0.418,0.41,0.418,11257,0
INW,5,20210204,101500,0.412,0.412,0.412,0.412,195,0
INW,5,20210204,102000,0.412,0.418,0.412,0.418,10000,0
INW,5,20210204,102500,0.412,0.416,0.412,0.416,8000,0
INW,5,20210204,103000,0.416,0.426,0.416,0.426,28000,0
INW,5,20210204,103500,0.428,0.43,0.428,0.43,45160,0
INW,5,20210204,104000,0.43,0.458,0.43,0.458,24565,0
INW,5,20210204,105000,0.454,0.454,0.454,0.454,2389,0
INW,5,20210204,111500,0.454,0.456,0.454,0.456,700,0
INW,5,20210204,125500,0.45,0.45,0.45,0.45,1000,0
INW,5,20210204,134000,0.45,0.45,0.45,0.45,10411,0
INW,5,20210204,140500,0.45,0.452,0.45,0.452,12711,0
INW,5,20210204,141000,0.454,0.46,0.454,0.46,19000,0
INW,5,20210204,141500,0.45,0.45,0.45,0.45,39419,0
INW,5,20210204,144000,0.45,0.45,0.45,0.45,1000,0
INW,5,20210204,151000,0.44,0.44,0.44,0.44,894,0
INW,5,20210204,151500,0.44,0.44,0.44,0.44,1606,0
INW,5,20210204,160000,0.432,0.432,0.43,0.43,3000,0
