<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOD,5,20210204,141500,1.55,1.55,1.49,1.49,200,0
IOD,5,20210204,143000,1.57,1.57,1.57,1.57,20,0
IOD,5,20210205,122500,1.57,1.57,1.57,1.57,445,0
IOD,5,20210208,090000,1.58,1.58,1.58,1.58,12,0
IOD,5,20210208,090500,1.48,1.48,1.48,1.48,1000,0
IOD,5,20210208,100500,1.48,1.48,1.48,1.48,65,0
IOD,5,20210208,125000,1.4,1.48,1.4,1.48,1012,0
IOD,5,20210208,164500,1.4,1.4,1.4,1.4,1,0
IOD,5,20210209,090000,1.32,1.35,1.29,1.35,4000,0
IOD,5,20210209,090500,1.57,1.57,1.57,1.57,20,0
IOD,5,20210209,093000,1.4,1.4,1.4,1.4,250,0
IOD,5,20210209,123500,1.38,1.38,1.38,1.38,800,0
IOD,5,20210209,124500,1.33,1.33,1.33,1.33,600,0
IOD,5,20210209,125000,1.4,1.4,1.4,1.4,15,0
IOD,5,20210209,134000,1.34,1.34,1.34,1.34,600,0
IOD,5,20210209,140500,1.39,1.39,1.39,1.39,2,0
IOD,5,20210209,162500,1.4,1.4,1.4,1.4,3,0
IOD,5,20210210,113000,1.38,1.38,1.38,1.38,600,0
IOD,5,20210210,113500,1.34,1.34,1.34,1.34,800,0
IOD,5,20210210,115500,1.3,1.3,1.29,1.29,2000,0
IOD,5,20210210,120500,1.4,1.4,1.4,1.4,15,0
IOD,5,20210210,123500,1.29,1.29,1.29,1.29,2000,0
IOD,5,20210210,130000,1.4,1.4,1.3,1.3,1011,0
IOD,5,20210210,130500,1.4,1.4,1.4,1.4,12,0
IOD,5,20210210,141000,1.3,1.3,1.3,1.3,1000,0
IOD,5,20210210,142000,1.4,1.4,1.4,1.4,12,0
IOD,5,20210210,143500,1.26,1.4,1.26,1.4,2844,0
IOD,5,20210210,150000,1.3,1.3,1.3,1.3,1000,0
IOD,5,20210210,150500,1.4,1.4,1.4,1.4,22,0
IOD,5,20210210,151000,1.29,1.29,1.29,1.29,1200,0
IOD,5,20210210,152500,1.33,1.33,1.33,1.33,22,0
IOD,5,20210211,102500,1.33,1.33,1.33,1.33,17,0
IOD,5,20210211,105000,1.3,1.33,1.3,1.33,815,0
IOD,5,20210211,120000,1.29,1.29,1.29,1.29,900,0
IOD,5,20210211,120500,1.28,1.28,1.28,1.28,600,0
IOD,5,20210211,131000,1.27,1.27,1.26,1.26,1600,0
IOD,5,20210211,132000,1.33,1.33,1.33,1.33,12,0
IOD,5,20210211,133000,1.33,1.33,1.33,1.33,444,0
IOD,5,20210211,133500,1.33,1.33,1.33,1.33,2998,0
IOD,5,20210211,134000,1.33,1.4,1.33,1.4,666,0
IOD,5,20210211,134500,1.39,1.4,1.3,1.4,3775,0
IOD,5,20210211,135000,1.4,1.55,1.4,1.55,144,0
IOD,5,20210211,135500,1.21,1.21,1.21,1.21,1,0
IOD,5,20210211,141500,1.4,1.4,1.4,1.4,1,0
IOD,5,20210211,150500,1.3,1.3,1.3,1.3,1000,0
IOD,5,20210211,153000,1.4,1.4,1.4,1.4,22,0
IOD,5,20210211,154500,1.3,1.3,1.3,1.3,11,0
