<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISG,5,20210204,091000,1.87,1.87,1.87,1.87,1000,0
ISG,5,20210205,102000,1.84,1.84,1.84,1.84,10,0
ISG,5,20210205,120000,1.74,1.74,1.6,1.74,1010,0
ISG,5,20210205,140500,1.74,1.74,1.74,1.74,685,0
ISG,5,20210205,141000,1.74,1.85,1.74,1.85,5540,0
ISG,5,20210205,145500,1.81,1.81,1.81,1.81,1000,0
ISG,5,20210205,155000,1.81,1.81,1.81,1.81,4000,0
ISG,5,20210205,155500,1.82,1.84,1.82,1.84,1000,0
ISG,5,20210205,160500,1.82,1.87,1.82,1.87,2779,0
ISG,5,20210205,161000,1.88,1.99,1.88,1.99,1917,0
ISG,5,20210205,161500,1.89,1.98,1.84,1.84,4106,0
ISG,5,20210205,162000,1.99,1.99,1.99,1.99,32,0
ISG,5,20210205,163000,1.85,1.85,1.84,1.84,1786,0
ISG,5,20210205,164500,1.84,1.95,1.84,1.95,225,0
ISG,5,20210208,090000,2.1,2.4,2.1,2.4,990,0
ISG,5,20210208,090500,2.16,2.5,2.1,2.5,3145,0
ISG,5,20210208,092500,2.5,2.5,2.5,2.5,400,0
ISG,5,20210208,094000,2.12,2.12,2.1,2.1,400,0
ISG,5,20210208,094500,2.48,2.48,2.48,2.48,15,0
ISG,5,20210208,095500,2.4,2.4,2.4,2.4,1115,0
ISG,5,20210208,110000,2.36,2.38,2.36,2.38,2000,0
ISG,5,20210208,111000,2.02,2.38,2,2.38,1265,0
ISG,5,20210208,111500,2.1,2.1,2.1,2.1,500,0
ISG,5,20210208,112000,2.1,2.34,2.1,2.34,1540,0
ISG,5,20210208,115000,2.02,2.32,2,2,2688,0
ISG,5,20210208,115500,2.28,2.28,2.28,2.28,20,0
ISG,5,20210208,122000,2.2,2.2,2.2,2.2,1000,0
ISG,5,20210208,130000,2,2.18,2,2.18,1015,0
ISG,5,20210209,090500,2.16,2.16,2.16,2.16,10,0
ISG,5,20210209,095000,2,2,1.84,1.84,771,0
ISG,5,20210209,100000,1.84,2.1,1.82,2.1,2023,0
ISG,5,20210210,090000,2.1,2.1,2.1,2.1,500,0
ISG,5,20210210,123500,2.04,2.04,2.04,2.04,400,0
ISG,5,20210211,101000,2.04,2.04,2.04,2.04,5,0
ISG,5,20210211,123500,2,2.02,2,2.02,2162,0
ISG,5,20210211,124000,2.02,2.3,2.02,2.3,7276,0
ISG,5,20210211,124500,2.3,2.32,2.3,2.32,8488,0
ISG,5,20210211,125000,2.32,2.42,2.32,2.42,804,0
ISG,5,20210211,130000,2.2,2.2,2.2,2.2,126,0
ISG,5,20210211,130500,2.34,2.36,2.34,2.36,200,0
ISG,5,20210212,105000,2.24,2.24,2.24,2.24,10,0
ISG,5,20210212,122500,2.2,2.2,2.2,2.2,1000,0
ISG,5,20210212,135000,2.1,2.1,2.1,2.1,100,0
ISG,5,20210215,094500,2.1,2.1,2.1,2.1,200,0
ISG,5,20210215,095000,2.1,2.1,2.1,2.1,100,0
ISG,5,20210215,095500,2.02,2.02,2,2,210,0
ISG,5,20210215,135500,2.04,2.1,2.04,2.1,120,0
ISG,5,20210216,092500,2.18,2.18,2.18,2.18,50,0
ISG,5,20210216,115500,2.08,2.08,2.04,2.04,600,0
ISG,5,20210216,125000,1.94,1.94,1.85,1.85,1000,0
ISG,5,20210216,131000,2,2,2,2,10,0
ISG,5,20210216,132500,2,2.14,2,2.14,547,0
ISG,5,20210216,133500,2.12,2.12,2.12,2.12,22,0
ISG,5,20210216,151000,1.92,1.92,1.92,1.92,108,0
ISG,5,20210216,151500,1.92,1.92,1.9,1.9,1000,0
ISG,5,20210216,152000,2,2,2,2,10,0
ISG,5,20210216,160000,1.87,1.87,1.87,1.87,995,0
ISG,5,20210216,161000,1.87,1.87,1.87,1.87,135,0
ISG,5,20210216,161500,1.94,2.04,1.86,1.86,320,0
ISG,5,20210216,162000,1.86,2,1.86,2,1110,0
ISG,5,20210217,092500,1.86,1.98,1.86,1.98,2010,0
ISG,5,20210218,091500,1.98,1.98,1.98,1.98,10,0
ISG,5,20210219,095000,1.95,1.95,1.95,1.95,10,0
ISG,5,20210219,140000,1.94,1.95,1.94,1.95,2500,0
ISG,5,20210219,153500,1.85,1.92,1.84,1.92,4050,0
ISG,5,20210222,094500,1.92,1.92,1.92,1.92,6,0
ISG,5,20210222,102500,1.85,1.85,1.85,1.85,100,0
ISG,5,20210222,103000,1.92,1.93,1.92,1.93,55,0
ISG,5,20210222,130500,1.96,2.04,1.96,2.04,115,0
ISG,5,20210222,132000,1.96,1.96,1.92,1.92,550,0
ISG,5,20210222,132500,2,2,2,2,20,0
ISG,5,20210223,092000,1.92,1.92,1.92,1.92,6,0
ISG,5,20210223,100500,1.84,1.84,1.7,1.7,34030,0
ISG,5,20210223,102000,1.8,1.89,1.8,1.89,34,0
ISG,5,20210223,143500,1.7,1.7,1.7,1.7,120,0
ISG,5,20210223,144000,1.83,1.88,1.83,1.88,22,0
ISG,5,20210224,100500,1.85,1.85,1.85,1.85,10,0
ISG,5,20210225,094000,1.8,1.8,1.8,1.8,10,0
ISG,5,20210226,094000,1.8,1.8,1.8,1.8,6,0
ISG,5,20210226,125500,1.76,1.76,1.76,1.76,949,0
ISG,5,20210226,151500,1.78,1.8,1.78,1.8,210,0
ISG,5,20210226,152500,1.76,1.76,1.76,1.76,1,0
ISG,5,20210301,110500,1.78,1.78,1.78,1.78,30,0
ISG,5,20210302,095500,1.78,1.78,1.78,1.78,10,0
ISG,5,20210302,114500,1.78,1.89,1.78,1.89,1670,0
ISG,5,20210302,115500,1.89,1.89,1.89,1.89,250,0
ISG,5,20210302,144500,1.89,1.98,1.89,1.98,1000,0
ISG,5,20210302,152500,1.85,1.85,1.85,1.85,100,0
ISG,5,20210302,153000,1.95,1.95,1.95,1.95,11,0
ISG,5,20210302,155500,1.82,1.82,1.82,1.82,100,0
ISG,5,20210302,161500,1.91,1.91,1.91,1.91,100,0
ISG,5,20210302,162000,1.78,1.93,1.76,1.93,4006,0
ISG,5,20210302,162500,1.93,1.93,1.82,1.91,116,0
ISG,5,20210303,091000,1.92,1.92,1.92,1.92,6,0
ISG,5,20210304,094000,1.92,1.92,1.92,1.92,10,0
ISG,5,20210304,163500,1.8,1.8,1.8,1.8,100,0
ISG,5,20210304,164000,1.76,1.76,1.76,1.76,4031,0
ISG,5,20210304,164500,1.67,1.75,1.6,1.75,8158,0
ISG,5,20210305,103500,1.75,1.75,1.75,1.75,6,0
ISG,5,20210308,092500,1.75,1.75,1.75,1.75,6,0
ISG,5,20210308,110500,1.74,1.74,1.74,1.74,1,0
ISG,5,20210309,094000,1.72,1.72,1.72,1.72,10,0
ISG,5,20210309,121000,1.64,1.64,1.6,1.6,3257,0
ISG,5,20210309,121500,1.72,1.72,1.66,1.66,24,0
ISG,5,20210309,122000,1.55,1.55,1.55,1.55,595,0
ISG,5,20210309,123000,1.55,1.55,1.55,1.55,1200,0
ISG,5,20210309,123500,1.55,1.67,1.55,1.67,1630,0
ISG,5,20210310,090500,1.69,1.69,1.69,1.69,10,0
ISG,5,20210310,102500,1.67,1.68,1.67,1.68,1129,0
ISG,5,20210310,103500,1.67,1.67,1.67,1.67,881,0
ISG,5,20210310,110000,1.65,1.72,1.65,1.72,2088,0
ISG,5,20210310,122500,1.65,1.65,1.65,1.65,7,0
ISG,5,20210310,131000,1.69,1.69,1.69,1.69,10,0
ISG,5,20210310,135000,1.57,1.66,1.53,1.66,3610,0
ISG,5,20210311,093500,1.66,1.66,1.66,1.66,10,0
ISG,5,20210315,094500,1.64,1.64,1.64,1.64,8,0
ISG,5,20210315,102000,1.54,1.54,1.5,1.5,3000,0
ISG,5,20210315,102500,1.5,1.64,1.5,1.64,2235,0
ISG,5,20210315,103000,1.6,1.86,1.6,1.84,5810,0
ISG,5,20210315,144500,1.84,1.84,1.84,1.84,2000,0
ISG,5,20210315,145000,1.76,1.76,1.76,1.76,575,0
ISG,5,20210315,145500,1.72,1.76,1.6,1.76,2010,0
ISG,5,20210316,094000,1.6,1.6,1.6,1.6,338,0
ISG,5,20210316,094500,1.6,1.87,1.6,1.7,1345,0
ISG,5,20210316,095000,1.6,1.7,1.6,1.7,1012,0
ISG,5,20210317,091500,1.7,1.7,1.7,1.7,6,0
ISG,5,20210318,095000,1.7,1.7,1.7,1.7,6,0
ISG,5,20210318,105000,1.6,1.6,1.5,1.5,1245,0
ISG,5,20210318,105500,1.5,1.6,1.5,1.6,1210,0
ISG,5,20210318,152500,1.6,1.65,1.6,1.64,500,0
ISG,5,20210319,102000,1.63,1.63,1.63,1.63,11,0
