<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IST,5,20210204,090000,1.158,1.16,1.158,1.16,1632,0
IST,5,20210204,090500,1.158,1.16,1.158,1.16,2560,0
IST,5,20210204,091000,1.158,1.158,1.158,1.158,3368,0
IST,5,20210204,091500,1.15,1.15,1.15,1.15,1002,0
IST,5,20210204,092000,1.124,1.124,1.124,1.124,333,0
IST,5,20210204,092500,1.138,1.138,1.138,1.138,300,0
IST,5,20210204,093000,1.138,1.14,1.124,1.124,1610,0
IST,5,20210204,094000,1.124,1.124,1.124,1.124,1605,0
IST,5,20210204,095000,1.124,1.124,1.124,1.124,1315,0
IST,5,20210204,095500,1.124,1.124,1.124,1.124,1773,0
IST,5,20210204,100000,1.124,1.124,1.124,1.124,4300,0
IST,5,20210204,100500,1.124,1.124,1.124,1.124,7,0
IST,5,20210204,102500,1.14,1.14,1.14,1.14,400,0
IST,5,20210204,103500,1.14,1.142,1.14,1.142,5590,0
IST,5,20210204,110000,1.13,1.14,1.13,1.14,6538,0
IST,5,20210204,110500,1.14,1.14,1.14,1.14,4962,0
IST,5,20210204,111000,1.132,1.132,1.132,1.132,1000,0
IST,5,20210204,112000,1.132,1.132,1.132,1.132,600,0
IST,5,20210204,112500,1.132,1.132,1.132,1.132,760,0
IST,5,20210204,114000,1.13,1.13,1.13,1.13,5000,0
IST,5,20210204,115000,1.132,1.134,1.132,1.134,23551,0
IST,5,20210204,115500,1.134,1.136,1.132,1.136,20000,0
IST,5,20210204,120000,1.132,1.132,1.132,1.132,449,0
IST,5,20210204,120500,1.134,1.134,1.134,1.134,570,0
IST,5,20210204,121500,1.132,1.132,1.122,1.122,6840,0
IST,5,20210204,122000,1.13,1.13,1.13,1.13,1200,0
IST,5,20210204,123000,1.126,1.126,1.126,1.126,4800,0
IST,5,20210204,123500,1.126,1.126,1.126,1.126,2000,0
IST,5,20210204,124000,1.124,1.124,1.124,1.124,1000,0
IST,5,20210204,124500,1.124,1.124,1.124,1.124,1324,0
IST,5,20210204,125000,1.122,1.124,1.122,1.124,1884,0
IST,5,20210204,131000,1.132,1.132,1.132,1.132,2000,0
IST,5,20210204,133000,1.13,1.13,1.13,1.13,300,0
IST,5,20210204,140000,1.128,1.128,1.128,1.128,616,0
IST,5,20210204,142500,1.128,1.128,1.128,1.128,500,0
IST,5,20210204,143500,1.126,1.126,1.126,1.126,5000,0
IST,5,20210204,145000,1.126,1.126,1.126,1.126,4423,0
IST,5,20210204,151500,1.122,1.122,1.12,1.12,4310,0
IST,5,20210204,152000,1.12,1.12,1.12,1.12,1890,0
IST,5,20210204,154500,1.12,1.12,1.1,1.1,18513,0
IST,5,20210204,155500,1.122,1.122,1.122,1.122,10,0
IST,5,20210204,160000,1.118,1.118,1.104,1.104,2500,0
IST,5,20210204,162000,1.104,1.104,1.102,1.104,7489,0
IST,5,20210204,162500,1.102,1.102,1.1,1.102,12633,0
IST,5,20210204,163000,1.11,1.12,1.11,1.12,3600,0
