<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITL,5,20210204,091000,3,3,3,3,150,0
ITL,5,20210204,103500,3,3,3,3,20,0
ITL,5,20210204,121000,2.92,2.92,2.9,2.9,3229,0
ITL,5,20210204,121500,2.88,2.88,2.88,2.88,653,0
ITL,5,20210204,122000,3,3,3,3,300,0
ITL,5,20210204,133000,2.9,2.9,2.86,2.86,1650,0
ITL,5,20210204,154000,2.96,2.96,2.96,2.96,470,0
ITL,5,20210205,090000,2.96,2.96,2.96,2.96,39,0
ITL,5,20210205,113500,2.9,2.9,2.9,2.9,50,0
ITL,5,20210205,114000,2.9,2.9,2.9,2.9,69,0
ITL,5,20210205,140500,2.9,2.9,2.9,2.9,881,0
ITL,5,20210208,090000,2.9,2.9,2.9,2.9,800,0
ITL,5,20210208,091000,2.94,3,2.94,3,1200,0
ITL,5,20210208,091500,2.9,2.9,2.88,2.88,105,0
ITL,5,20210208,094500,2.88,2.88,2.88,2.88,100,0
ITL,5,20210208,101500,2.9,2.9,2.9,2.9,450,0
ITL,5,20210208,103000,2.9,2.9,2.9,2.9,50,0
ITL,5,20210208,103500,2.92,2.92,2.92,2.92,619,0
ITL,5,20210208,114000,2.92,2.92,2.92,2.92,700,0
ITL,5,20210208,130000,2.92,2.92,2.92,2.92,31,0
ITL,5,20210208,141000,2.9,2.9,2.9,2.9,450,0
ITL,5,20210208,163500,2.88,2.88,2.88,2.88,500,0
ITL,5,20210209,091500,2.86,2.86,2.86,2.86,547,0
ITL,5,20210209,092000,2.86,2.86,2.86,2.86,600,0
ITL,5,20210209,092500,2.86,2.86,2.86,2.86,50,0
ITL,5,20210209,095500,2.86,2.86,2.86,2.86,171,0
ITL,5,20210209,154500,2.9,2.9,2.9,2.9,760,0
ITL,5,20210209,155500,2.9,2.9,2.88,2.88,307,0
ITL,5,20210209,163500,2.88,2.88,2.86,2.86,450,0
ITL,5,20210210,091000,2.86,2.86,2.86,2.86,465,0
ITL,5,20210210,102000,2.86,2.86,2.86,2.86,50,0
ITL,5,20210210,113000,2.86,2.86,2.84,2.84,1100,0
ITL,5,20210210,114500,2.88,2.88,2.88,2.88,100,0
ITL,5,20210210,115500,2.94,2.94,2.94,2.94,100,0
ITL,5,20210210,140500,2.94,2.98,2.94,2.98,400,0
ITL,5,20210211,090000,2.92,2.92,2.92,2.92,450,0
ITL,5,20210211,114500,2.9,2.9,2.9,2.9,600,0
ITL,5,20210211,123500,2.9,2.9,2.9,2.9,600,0
ITL,5,20210211,134000,2.92,2.92,2.92,2.92,600,0
ITL,5,20210211,141500,2.94,2.94,2.94,2.94,550,0
ITL,5,20210211,142000,2.98,2.98,2.98,2.98,800,0
ITL,5,20210211,161500,2.94,2.94,2.94,2.94,500,0
ITL,5,20210211,163000,2.92,2.92,2.92,2.92,400,0
ITL,5,20210212,133000,2.9,2.9,2.9,2.9,750,0
ITL,5,20210212,155500,2.92,2.92,2.92,2.92,273,0
ITL,5,20210212,161500,2.96,2.96,2.96,2.96,227,0
ITL,5,20210215,090000,2.96,2.96,2.96,2.96,1098,0
ITL,5,20210215,091000,2.98,2.98,2.98,2.98,1500,0
ITL,5,20210215,094500,2.96,2.96,2.96,2.96,100,0
ITL,5,20210215,095500,2.96,2.96,2.96,2.96,20,0
ITL,5,20210215,111000,2.96,2.96,2.96,2.96,30,0
ITL,5,20210215,113000,2.96,2.96,2.96,2.96,300,0
ITL,5,20210215,120500,2.98,3,2.98,3,115,0
ITL,5,20210215,121000,3,3,3,3,285,0
ITL,5,20210215,121500,3,3,3,3,700,0
ITL,5,20210215,125500,3,3,3,3,998,0
ITL,5,20210215,154000,3,3.02,3,3.02,1290,0
ITL,5,20210215,160500,3.02,3.04,3.02,3.04,1702,0
ITL,5,20210215,161500,3.06,3.08,3.06,3.08,650,0
ITL,5,20210216,090000,2.9,2.9,2.84,2.84,5911,0
ITL,5,20210216,090500,2.88,2.9,2.88,2.88,2700,0
ITL,5,20210216,091000,2.86,2.86,2.76,2.76,3419,0
ITL,5,20210216,091500,2.74,2.78,2.72,2.78,4555,0
ITL,5,20210216,092000,2.8,2.8,2.8,2.8,4000,0
ITL,5,20210216,092500,2.78,2.78,2.78,2.78,700,0
ITL,5,20210216,093000,2.82,2.82,2.82,2.82,2705,0
ITL,5,20210216,093500,2.82,2.86,2.82,2.86,5901,0
ITL,5,20210216,094000,2.88,2.88,2.88,2.88,719,0
ITL,5,20210216,094500,2.9,2.9,2.84,2.84,3160,0
ITL,5,20210216,095500,2.92,2.92,2.92,2.92,3000,0
ITL,5,20210216,102500,2.86,2.86,2.84,2.84,604,0
ITL,5,20210216,105000,2.9,2.9,2.9,2.9,5,0
ITL,5,20210216,105500,2.86,2.86,2.82,2.82,2000,0
ITL,5,20210216,111500,2.84,2.84,2.84,2.84,5908,0
ITL,5,20210216,112000,2.92,2.92,2.92,2.92,92,0
ITL,5,20210216,121000,2.9,2.92,2.9,2.92,500,0
ITL,5,20210216,125000,2.86,2.86,2.86,2.86,700,0
ITL,5,20210216,132000,2.86,2.86,2.86,2.86,400,0
ITL,5,20210216,145500,2.9,2.9,2.9,2.9,119,0
ITL,5,20210216,151500,2.86,2.86,2.86,2.86,1000,0
ITL,5,20210216,152500,2.84,2.84,2.84,2.84,2500,0
ITL,5,20210216,163500,2.9,2.9,2.9,2.9,1,0
ITL,5,20210217,090000,2.9,2.9,2.9,2.9,344,0
ITL,5,20210217,093500,2.88,2.88,2.84,2.84,1360,0
ITL,5,20210217,095500,2.82,2.82,2.8,2.8,1596,0
ITL,5,20210217,100500,2.8,2.8,2.8,2.8,374,0
ITL,5,20210217,104000,2.82,2.82,2.82,2.82,50,0
ITL,5,20210217,105000,2.8,2.8,2.8,2.8,397,0
ITL,5,20210217,110000,2.78,2.78,2.78,2.78,125,0
ITL,5,20210217,114500,2.76,2.76,2.72,2.72,1400,0
ITL,5,20210217,120500,2.8,2.8,2.8,2.8,1603,0
ITL,5,20210217,130500,2.8,2.8,2.8,2.8,47,0
ITL,5,20210217,153000,2.8,2.8,2.8,2.8,126,0
ITL,5,20210217,154000,2.8,2.8,2.8,2.8,424,0
ITL,5,20210217,164000,2.8,2.8,2.8,2.8,500,0
ITL,5,20210217,164500,2.8,2.8,2.8,2.8,100,0
ITL,5,20210218,090000,2.78,2.78,2.78,2.78,1112,0
ITL,5,20210218,095500,2.82,2.82,2.82,2.82,325,0
ITL,5,20210218,100000,2.82,2.84,2.82,2.84,1525,0
ITL,5,20210218,101000,2.8,2.8,2.78,2.78,2000,0
ITL,5,20210218,104000,2.84,2.84,2.84,2.84,86,0
ITL,5,20210218,121000,2.82,2.82,2.82,2.82,440,0
ITL,5,20210218,131000,2.82,2.82,2.82,2.82,38,0
ITL,5,20210218,134500,2.82,2.82,2.82,2.82,650,0
ITL,5,20210218,142500,2.8,2.8,2.8,2.8,922,0
ITL,5,20210218,143000,2.76,2.76,2.76,2.76,103,0
ITL,5,20210219,101500,2.76,2.76,2.76,2.76,600,0
ITL,5,20210219,102500,2.76,2.76,2.74,2.74,1100,0
ITL,5,20210219,103500,2.74,2.74,2.74,2.74,867,0
ITL,5,20210219,104000,2.74,2.74,2.74,2.74,355,0
ITL,5,20210219,110500,2.74,2.74,2.74,2.74,890,0
ITL,5,20210219,133000,2.78,2.78,2.78,2.78,500,0
ITL,5,20210219,141000,2.74,2.74,2.74,2.74,130,0
ITL,5,20210219,141500,2.74,2.74,2.7,2.7,1500,0
ITL,5,20210219,145000,2.72,2.72,2.68,2.68,2000,0
ITL,5,20210219,152500,2.7,2.7,2.7,2.7,500,0
ITL,5,20210219,155000,2.76,2.76,2.76,2.76,117,0
ITL,5,20210219,162500,2.76,2.76,2.76,2.76,1883,0
ITL,5,20210219,164500,2.76,2.76,2.76,2.76,2000,0
ITL,5,20210222,093000,2.72,2.72,2.72,2.72,100,0
ITL,5,20210222,103000,2.76,2.76,2.76,2.76,20,0
ITL,5,20210222,154500,2.76,2.76,2.76,2.76,500,0
ITL,5,20210223,104000,2.76,2.76,2.76,2.76,361,0
ITL,5,20210223,140000,2.74,2.74,2.74,2.74,2500,0
ITL,5,20210223,144000,2.72,2.72,2.72,2.72,875,0
ITL,5,20210223,164500,2.66,2.66,2.66,2.66,4050,0
ITL,5,20210224,090000,2.64,2.76,2.64,2.76,2908,0
ITL,5,20210224,102500,2.76,2.76,2.76,2.76,150,0
ITL,5,20210224,113000,2.76,2.76,2.76,2.76,1449,0
ITL,5,20210224,113500,2.8,2.84,2.8,2.84,1000,0
ITL,5,20210225,091500,2.82,2.82,2.82,2.82,77,0
ITL,5,20210225,092500,2.84,2.9,2.84,2.9,5404,0
ITL,5,20210225,093000,2.9,2.9,2.9,2.9,596,0
ITL,5,20210225,093500,2.92,2.94,2.92,2.94,1000,0
ITL,5,20210225,102000,2.8,2.8,2.8,2.8,1650,0
ITL,5,20210225,114000,2.8,2.8,2.8,2.8,750,0
ITL,5,20210225,115000,2.8,2.8,2.8,2.8,50,0
ITL,5,20210225,151000,2.78,2.78,2.72,2.72,843,0
ITL,5,20210225,154500,2.84,3.16,2.84,3.16,38904,0
ITL,5,20210225,155000,3.08,3.14,3.08,3.08,4474,0
ITL,5,20210225,160000,3.08,3.08,3.04,3.04,147,0
ITL,5,20210225,160500,2.92,3.08,2.9,2.92,4068,0
ITL,5,20210225,161000,2.92,2.96,2.92,2.96,1080,0
ITL,5,20210225,163000,2.9,2.9,2.9,2.9,782,0
ITL,5,20210225,163500,2.9,2.9,2.9,2.9,318,0
ITL,5,20210225,164000,2.86,2.86,2.84,2.84,1500,0
ITL,5,20210225,164500,2.98,2.98,2.98,2.98,560,0
ITL,5,20210226,090000,2.86,2.86,2.86,2.86,200,0
ITL,5,20210226,091000,2.86,2.86,2.78,2.78,705,0
