<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUS,5,20210204,090000,4.5,4.5,4.5,4.5,5,0
IUS,5,20210204,130000,4.5,4.5,4.5,4.5,316,0
IUS,5,20210205,092500,4.5,4.5,4.5,4.5,5,0
IUS,5,20210208,092500,4.5,4.5,4.5,4.5,10,0
IUS,5,20210209,090500,4.5,4.5,4.5,4.5,5,0
IUS,5,20210210,090000,4.5,4.5,4.5,4.5,5,0
IUS,5,20210211,090000,4.5,4.5,4.5,4.5,5,0
IUS,5,20210212,090000,4.5,4.5,4.5,4.5,5,0
IUS,5,20210212,120500,4.5,4.5,4.5,4.5,1003,0
IUS,5,20210212,121000,4.62,4.64,4.62,4.64,298,0
IUS,5,20210217,130000,4.66,4.66,4.66,4.66,10,0
IUS,5,20210217,133500,4.68,4.68,4.68,4.68,10,0
IUS,5,20210217,134000,4.7,4.7,4.7,4.7,20,0
IUS,5,20210217,143500,4.72,4.72,4.72,4.72,10,0
IUS,5,20210218,103500,4.76,4.76,4.76,4.76,20,0
IUS,5,20210218,145000,4.78,4.78,4.78,4.78,10,0
IUS,5,20210219,100000,4.78,4.78,4.78,4.78,10,0
IUS,5,20210219,121000,4.8,4.8,4.8,4.8,500,0
IUS,5,20210222,162500,4.8,4.88,4.8,4.88,220,0
IUS,5,20210304,110000,4.8,4.8,4.8,4.8,20,0
IUS,5,20210304,110500,4.78,4.78,4.7,4.7,1305,0
IUS,5,20210304,151000,4.7,4.7,4.7,4.7,145,0
IUS,5,20210304,151500,4.66,4.66,4.66,4.66,367,0
IUS,5,20210305,105000,4.66,4.66,4.66,4.66,10,0
IUS,5,20210308,151000,4.66,4.66,4.66,4.66,10,0
IUS,5,20210309,090500,4.66,4.66,4.66,4.66,10,0
IUS,5,20210309,141500,4.66,4.66,4.66,4.66,370,0
IUS,5,20210309,142000,4.6,4.6,4.6,4.6,500,0
IUS,5,20210309,165500,4.5,4.5,4.5,4.5,500,0
IUS,5,20210311,095000,4.48,4.48,4.48,4.48,20,0
IUS,5,20210311,095500,4.46,4.46,4.46,4.46,20,0
IUS,5,20210312,090000,4.4,4.4,4.4,4.4,60,0
IUS,5,20210315,090000,4.4,4.4,4.4,4.4,10,0
IUS,5,20210316,090500,4.4,4.4,4.4,4.4,10,0
IUS,5,20210317,090000,4.4,4.4,4.4,4.4,10,0
IUS,5,20210318,095500,4.4,4.4,4.4,4.4,10,0
IUS,5,20210319,102500,4.4,4.4,4.4,4.4,5,0
IUS,5,20210322,090000,4.4,4.4,4.4,4.4,10,0
IUS,5,20210323,092000,4.4,4.4,4.4,4.4,10,0
IUS,5,20210324,091000,4.4,4.4,4.4,4.4,10,0
IUS,5,20210325,090500,4.4,4.4,4.4,4.4,10,0
IUS,5,20210326,093000,4.4,4.4,4.4,4.4,10,0
