<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVE,5,20210204,090000,5.8,5.8,5.8,5.8,250,0
IVE,5,20210204,141500,5.55,5.55,5.5,5.5,1600,0
IVE,5,20210204,145500,5.5,5.5,5.45,5.45,780,0
IVE,5,20210204,152000,5.45,5.45,5.45,5.45,507,0
IVE,5,20210204,152500,5.45,5.45,5.45,5.45,12,0
IVE,5,20210204,153500,5.6,5.6,5.6,5.6,300,0
IVE,5,20210204,155000,5.5,5.5,5.45,5.45,549,0
IVE,5,20210205,090000,5.45,5.45,5.45,5.45,1,0
IVE,5,20210205,094000,5.6,5.6,5.6,5.6,1,0
IVE,5,20210205,095500,5.6,5.6,5.6,5.6,299,0
IVE,5,20210205,100000,5.75,5.75,5.75,5.75,1,0
IVE,5,20210205,141500,5.55,5.55,5.4,5.4,838,0
IVE,5,20210205,145000,5.4,5.4,5.4,5.4,123,0
IVE,5,20210205,163500,5.55,5.55,5.55,5.55,1,0
IVE,5,20210205,164500,5.55,5.55,5.55,5.55,299,0
IVE,5,20210208,094500,5.6,5.6,5.6,5.6,1,0
IVE,5,20210208,161000,5.5,5.5,5.5,5.5,80,0
IVE,5,20210208,164500,5.6,5.6,5.6,5.6,15,0
IVE,5,20210209,164500,5.6,5.6,5.6,5.6,1,0
IVE,5,20210210,102500,5.4,5.4,5.4,5.4,200,0
IVE,5,20210210,104000,5.4,5.4,5.3,5.35,746,0
IVE,5,20210210,110500,5.6,5.6,5.6,5.6,1,0
IVE,5,20210210,164000,5.35,5.35,5.35,5.35,246,0
IVE,5,20210211,091500,5.35,5.35,5.3,5.3,1000,0
IVE,5,20210211,092000,5.3,5.3,5.3,5.3,250,0
IVE,5,20210211,100500,5.4,5.4,5.4,5.4,292,0
IVE,5,20210211,101500,5.6,5.6,5.6,5.6,2,0
IVE,5,20210211,104500,5.35,5.35,5.35,5.35,90,0
