<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVO,5,20210204,090000,5.3,5.3,5.3,5.3,100,0
IVO,5,20210204,091000,5.301,5.301,5.2,5.2,2770,0
IVO,5,20210204,091500,5.348,5.348,5.348,5.348,50,0
IVO,5,20210204,094000,5.335,5.44,5.335,5.44,1775,0
IVO,5,20210204,094500,5.538,5.538,5.5,5.5,238,0
IVO,5,20210204,095500,5.494,5.5,5.494,5.5,1700,0
IVO,5,20210204,104500,5.35,5.35,5.33,5.35,656,0
IVO,5,20210204,111000,5.332,5.332,5.332,5.332,100,0
IVO,5,20210204,111500,5.32,5.32,5.32,5.32,200,0
IVO,5,20210204,113500,5.322,5.322,5.322,5.322,170,0
IVO,5,20210204,115000,5.4,5.4,5.4,5.4,200,0
IVO,5,20210204,120500,5.4,5.4,5.4,5.4,50,0
IVO,5,20210204,121000,5.4,5.4,5.4,5.4,10,0
IVO,5,20210204,123000,5.362,5.362,5.362,5.362,98,0
IVO,5,20210204,132500,5.362,5.362,5.362,5.362,98,0
IVO,5,20210204,133000,5.362,5.362,5.362,5.362,104,0
IVO,5,20210204,134500,5.371,5.371,5.371,5.371,150,0
IVO,5,20210204,135500,5.37,5.37,5.37,5.37,469,0
IVO,5,20210204,140000,5.36,5.36,5.36,5.36,532,0
IVO,5,20210204,141500,5.36,5.36,5.36,5.36,80,0
IVO,5,20210204,143000,5.36,5.36,5.36,5.36,316,0
IVO,5,20210204,155500,5.449,5.449,5.449,5.449,8,0
IVO,5,20210205,090500,5.45,5.45,5.38,5.38,975,0
IVO,5,20210205,091500,5.311,5.311,5.311,5.311,120,0
IVO,5,20210205,092000,5.378,5.378,5.378,5.378,125,0
IVO,5,20210205,092500,5.378,5.378,5.312,5.312,300,0
IVO,5,20210205,093500,5.312,5.312,5.312,5.312,119,0
IVO,5,20210205,094500,5.314,5.314,5.311,5.311,589,0
IVO,5,20210205,095500,5.311,5.311,5.3,5.3,1264,0
IVO,5,20210205,100000,5.3,5.3,5.3,5.3,172,0
IVO,5,20210205,100500,5.3,5.311,5.3,5.311,1368,0
IVO,5,20210205,101000,5.31,5.31,5.31,5.31,891,0
IVO,5,20210205,101500,5.31,5.31,5.31,5.31,808,0
IVO,5,20210205,105000,5.39,5.39,5.39,5.39,300,0
IVO,5,20210205,115500,5.31,5.31,5.31,5.31,300,0
IVO,5,20210205,120500,5.389,5.389,5.389,5.389,79,0
IVO,5,20210205,121000,5.388,5.388,5.388,5.388,300,0
IVO,5,20210205,121500,5.389,5.389,5.389,5.389,53,0
IVO,5,20210205,131000,5.311,5.36,5.25,5.36,950,0
IVO,5,20210205,131500,5.36,5.9,5.36,5.9,10000,0
IVO,5,20210205,132000,5.565,5.565,5.565,5.565,250,0
IVO,5,20210205,132500,5.56,5.68,5.56,5.6,1400,0
IVO,5,20210205,134000,5.67,5.67,5.67,5.67,200,0
IVO,5,20210205,141000,5.6,5.6,5.6,5.6,400,0
IVO,5,20210205,144500,5.66,5.66,5.66,5.66,80,0
IVO,5,20210205,145500,5.66,5.66,5.6,5.6,471,0
IVO,5,20210205,150000,5.67,5.67,5.67,5.67,130,0
IVO,5,20210205,152000,5.675,5.675,5.675,5.675,180,0
IVO,5,20210205,154000,5.661,5.661,5.661,5.661,500,0
IVO,5,20210205,154500,5.724,5.725,5.724,5.725,1846,0
IVO,5,20210205,155000,5.725,5.725,5.725,5.725,333,0
IVO,5,20210205,155500,5.725,5.725,5.725,5.725,67,0
IVO,5,20210205,161000,5.73,5.73,5.73,5.73,552,0
IVO,5,20210205,161500,5.73,5.73,5.73,5.73,148,0
IVO,5,20210205,162000,5.77,5.77,5.77,5.77,10,0
IVO,5,20210205,163500,5.77,5.77,5.77,5.77,1377,0
IVO,5,20210205,164500,5.7,5.7,5.7,5.7,200,0
IVO,5,20210208,090000,5.8,5.8,5.75,5.75,100,0
IVO,5,20210208,091000,5.701,5.701,5.7,5.7,3830,0
IVO,5,20210208,093000,5.698,5.7,5.698,5.7,550,0
IVO,5,20210208,100500,5.724,5.724,5.72,5.72,232,0
IVO,5,20210208,102000,5.701,5.701,5.7,5.7,800,0
IVO,5,20210208,103000,5.788,5.788,5.788,5.788,86,0
IVO,5,20210208,103500,5.6,5.6,5.6,5.6,500,0
IVO,5,20210208,110000,5.51,5.51,5.5,5.5,500,0
IVO,5,20210208,111500,5.5,5.68,5.5,5.68,130,0
IVO,5,20210208,122000,5.5,5.5,5.5,5.5,50,0
IVO,5,20210208,124000,5.59,5.59,5.59,5.59,50,0
IVO,5,20210208,130000,5.501,5.501,5.5,5.5,665,0
IVO,5,20210208,141000,5.59,5.59,5.59,5.59,1,0
IVO,5,20210208,142000,5.59,5.59,5.59,5.59,276,0
IVO,5,20210208,143000,5.59,5.59,5.59,5.59,178,0
IVO,5,20210208,145000,5.501,5.501,5.5,5.5,883,0
IVO,5,20210208,145500,5.49,5.49,5.49,5.49,50,0
IVO,5,20210208,151500,5.5,5.5,5.5,5.5,25,0
IVO,5,20210208,152000,5.466,5.466,5.464,5.464,270,0
IVO,5,20210208,154000,5.464,5.464,5.411,5.411,110,0
IVO,5,20210208,155000,5.53,5.53,5.53,5.53,9,0
IVO,5,20210208,163500,5.45,5.45,5.45,5.45,450,0
IVO,5,20210208,164000,5.53,5.53,5.53,5.53,372,0
IVO,5,20210209,090000,5.5,5.5,5.5,5.5,93,0
IVO,5,20210209,091500,5.499,5.499,5.499,5.499,343,0
IVO,5,20210209,093500,5.49,5.49,5.49,5.49,100,0
IVO,5,20210209,100500,5.49,5.49,5.42,5.42,500,0
IVO,5,20210209,101500,5.42,5.42,5.36,5.36,1000,0
IVO,5,20210209,102500,5.498,5.498,5.498,5.498,50,0
IVO,5,20210209,105000,5.47,5.47,5.47,5.47,182,0
IVO,5,20210209,114000,5.46,5.46,5.46,5.46,50,0
IVO,5,20210209,114500,5.46,5.46,5.46,5.46,1000,0
IVO,5,20210209,120000,5.38,5.38,5.354,5.354,1736,0
IVO,5,20210209,124500,5.33,5.33,5.33,5.33,250,0
IVO,5,20210209,130000,5.32,5.32,5.32,5.32,50,0
IVO,5,20210209,130500,5.449,5.449,5.449,5.449,99,0
IVO,5,20210209,140500,5.44,5.448,5.44,5.448,683,0
IVO,5,20210209,141000,5.35,5.35,5.35,5.35,16,0
IVO,5,20210209,145500,5.4,5.4,5.4,5.4,2020,0
IVO,5,20210209,152000,5.448,5.45,5.448,5.45,520,0
IVO,5,20210209,152500,5.45,5.45,5.45,5.45,500,0
IVO,5,20210209,153000,5.45,5.45,5.45,5.45,207,0
IVO,5,20210209,153500,5.45,5.45,5.45,5.45,796,0
IVO,5,20210209,154000,5.45,5.45,5.45,5.45,300,0
IVO,5,20210209,155500,5.48,5.48,5.48,5.48,1000,0
IVO,5,20210209,160500,5.479,5.7,5.479,5.7,4909,0
IVO,5,20210209,161000,5.61,5.61,5.55,5.55,1050,0
IVO,5,20210209,162000,5.55,5.55,5.55,5.55,700,0
IVO,5,20210209,162500,5.55,5.6,5.55,5.6,1748,0
IVO,5,20210209,163000,5.511,5.678,5.511,5.678,1956,0
IVO,5,20210209,163500,5.747,5.9,5.747,5.9,4770,0
IVO,5,20210209,164000,5.9,5.988,5.9,5.9,5448,0
IVO,5,20210209,164500,5.81,5.816,5.81,5.81,1055,0
IVO,5,20210210,090000,5.858,5.858,5.82,5.858,603,0
IVO,5,20210210,090500,5.858,5.858,5.81,5.81,596,0
IVO,5,20210210,091000,5.81,5.82,5.81,5.82,54,0
IVO,5,20210210,092000,5.859,5.96,5.859,5.96,550,0
IVO,5,20210210,094000,5.9,5.96,5.9,5.96,1000,0
IVO,5,20210210,095000,5.822,5.822,5.822,5.822,250,0
IVO,5,20210210,095500,5.82,5.82,5.612,5.62,4783,0
IVO,5,20210210,101000,5.72,5.72,5.72,5.72,200,0
IVO,5,20210210,102000,5.605,5.605,5.605,5.605,3,0
IVO,5,20210210,104000,5.66,5.66,5.65,5.65,200,0
IVO,5,20210210,112000,5.65,5.65,5.65,5.65,450,0
IVO,5,20210210,113000,5.65,5.65,5.55,5.55,3734,0
IVO,5,20210210,113500,5.6,5.6,5.6,5.6,300,0
