<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JJB,5,20210204,090000,4.58,4.58,4.58,4.58,108,0
JJB,5,20210204,091000,4.58,4.58,4.58,4.58,100,0
JJB,5,20210204,093500,4.58,4.6,4.58,4.6,1608,0
JJB,5,20210204,094000,4.6,4.6,4.6,4.6,29,0
JJB,5,20210204,101000,4.62,4.62,4.62,4.62,100,0
JJB,5,20210204,102000,4.48,4.48,4.48,4.48,1000,0
JJB,5,20210204,102500,4.49,4.49,4.48,4.48,500,0
JJB,5,20210204,114000,4.52,4.52,4.52,4.52,200,0
JJB,5,20210204,121000,4.62,4.62,4.62,4.62,950,0
JJB,5,20210204,131000,4.66,4.66,4.66,4.66,213,0
JJB,5,20210204,140000,4.59,4.59,4.59,4.59,196,0
JJB,5,20210204,140500,4.5,4.5,4.5,4.5,79,0
JJB,5,20210204,160000,4.55,4.55,4.55,4.55,655,0
JJB,5,20210204,160500,4.55,4.59,4.55,4.59,30,0
JJB,5,20210204,164500,4.53,4.59,4.53,4.59,530,0
JJB,5,20210205,092500,4.59,4.59,4.59,4.59,10,0
JJB,5,20210205,093000,4.52,4.52,4.5,4.5,1079,0
JJB,5,20210205,111000,4.59,4.59,4.59,4.59,500,0
JJB,5,20210205,112000,4.59,4.59,4.59,4.59,200,0
JJB,5,20210205,115500,4.59,4.59,4.59,4.59,153,0
JJB,5,20210205,122500,4.59,4.59,4.59,4.59,14,0
JJB,5,20210205,123000,4.6,4.6,4.6,4.6,236,0
JJB,5,20210205,124500,4.6,4.6,4.6,4.6,650,0
JJB,5,20210205,125000,4.6,4.6,4.6,4.6,650,0
JJB,5,20210205,130000,4.55,4.55,4.51,4.51,200,0
JJB,5,20210205,131500,4.55,4.55,4.55,4.55,1286,0
JJB,5,20210205,140000,4.55,4.55,4.55,4.55,64,0
JJB,5,20210205,151500,4.58,4.58,4.58,4.58,150,0
JJB,5,20210205,161000,4.58,4.6,4.58,4.6,2500,0
JJB,5,20210205,161500,4.6,4.6,4.6,4.6,500,0
JJB,5,20210205,164000,4.6,4.6,4.6,4.6,130,0
JJB,5,20210205,164500,4.6,4.6,4.6,4.6,1947,0
JJB,5,20210208,090000,4.65,4.65,4.65,4.65,60,0
JJB,5,20210208,092000,4.51,4.51,4.48,4.48,1000,0
JJB,5,20210208,104500,4.64,4.64,4.64,4.64,500,0
JJB,5,20210208,121500,4.64,4.64,4.64,4.64,228,0
JJB,5,20210208,135500,4.6,4.6,4.6,4.6,108,0
JJB,5,20210208,141500,4.6,4.6,4.6,4.6,92,0
JJB,5,20210208,143500,4.51,4.51,4.51,4.51,101,0
JJB,5,20210208,150000,4.52,4.52,4.51,4.51,940,0
JJB,5,20210208,150500,4.51,4.51,4.51,4.51,614,0
JJB,5,20210208,151000,4.51,4.6,4.51,4.6,201,0
JJB,5,20210208,161000,4.62,4.65,4.62,4.65,6500,0
JJB,5,20210208,164500,4.63,4.63,4.58,4.58,230,0
JJB,5,20210209,090500,4.6,4.6,4.6,4.6,10,0
JJB,5,20210209,091500,4.6,4.6,4.49,4.49,1734,0
JJB,5,20210209,093000,4.49,4.49,4.44,4.44,5325,0
JJB,5,20210209,093500,4.43,4.61,4.43,4.61,601,0
JJB,5,20210209,095500,4.61,4.62,4.61,4.62,1750,0
JJB,5,20210209,104000,4.62,4.63,4.62,4.63,250,0
JJB,5,20210209,112000,4.61,4.61,4.61,4.61,832,0
JJB,5,20210209,113000,4.61,4.61,4.61,4.61,568,0
JJB,5,20210209,120500,4.64,4.64,4.64,4.64,50,0
JJB,5,20210209,124500,4.55,4.55,4.55,4.55,250,0
JJB,5,20210209,130000,4.61,4.61,4.61,4.61,200,0
JJB,5,20210209,134000,4.55,4.55,4.54,4.54,1920,0
JJB,5,20210209,143500,4.54,4.54,4.54,4.54,200,0
JJB,5,20210209,150000,4.53,4.53,4.5,4.5,3000,0
JJB,5,20210209,164500,4.6,4.6,4.6,4.6,260,0
JJB,5,20210210,090000,4.6,4.6,4.6,4.6,10,0
JJB,5,20210210,091000,4.6,4.6,4.6,4.6,200,0
JJB,5,20210210,101000,4.5,4.5,4.41,4.41,4744,0
JJB,5,20210210,101500,4.4,4.4,4.4,4.4,1623,0
JJB,5,20210210,102000,4.54,4.54,4.54,4.54,330,0
JJB,5,20210210,104000,4.43,4.43,4.4,4.4,2500,0
JJB,5,20210210,105500,4.43,4.43,4.43,4.43,200,0
JJB,5,20210210,110000,4.52,4.52,4.52,4.52,300,0
JJB,5,20210210,110500,4.45,4.45,4.42,4.42,300,0
JJB,5,20210210,111500,4.43,4.43,4.42,4.42,1000,0
JJB,5,20210210,113500,4.42,4.42,4.42,4.42,558,0
JJB,5,20210210,121000,4.53,4.53,4.53,4.53,60,0
JJB,5,20210210,122000,4.45,4.45,4.42,4.42,1345,0
JJB,5,20210210,123000,4.48,4.5,4.48,4.5,2000,0
JJB,5,20210210,124000,4.49,4.49,4.49,4.49,100,0
JJB,5,20210210,142000,4.45,4.45,4.45,4.45,86,0
JJB,5,20210210,143000,4.5,4.5,4.5,4.5,15,0
JJB,5,20210210,143500,4.5,4.5,4.5,4.5,100,0
JJB,5,20210211,112000,4.55,4.55,4.55,4.55,10,0
JJB,5,20210211,123500,4.46,4.46,4.46,4.46,244,0
JJB,5,20210211,124000,4.42,4.42,4.42,4.42,711,0
JJB,5,20210211,131500,4.5,4.5,4.5,4.5,44,0
JJB,5,20210211,144500,4.43,4.43,4.43,4.43,208,0
JJB,5,20210211,145000,4.45,4.45,4.45,4.45,10,0
JJB,5,20210211,151000,4.45,4.45,4.45,4.45,820,0
JJB,5,20210211,154500,4.45,4.45,4.45,4.45,220,0
JJB,5,20210211,160000,4.43,4.43,4.42,4.42,940,0
JJB,5,20210211,164500,4.5,4.5,4.5,4.5,10,0
JJB,5,20210212,103000,4.5,4.51,4.5,4.51,446,0
JJB,5,20210212,103500,4.5,4.5,4.5,4.5,319,0
JJB,5,20210212,111500,4.41,4.41,4.41,4.41,310,0
JJB,5,20210212,113500,4.42,4.42,4.4,4.4,300,0
JJB,5,20210212,131500,4.42,4.42,4.42,4.42,233,0
JJB,5,20210212,135000,4.42,4.42,4.42,4.42,1087,0
JJB,5,20210212,135500,4.41,4.41,4.4,4.4,6041,0
JJB,5,20210212,141500,4.42,4.42,4.42,4.42,1200,0
JJB,5,20210212,142000,4.42,4.42,4.42,4.42,213,0
JJB,5,20210212,145500,4.43,4.43,4.43,4.43,1000,0
JJB,5,20210212,163000,4.5,4.5,4.5,4.5,1000,0
JJB,5,20210212,163500,4.55,4.59,4.55,4.59,1613,0
JJB,5,20210212,164500,4.58,4.58,4.46,4.46,960,0
JJB,5,20210215,090500,4.5,4.57,4.5,4.57,513,0
JJB,5,20210215,122500,4.55,4.55,4.55,4.55,100,0
JJB,5,20210215,123500,4.55,4.55,4.55,4.55,101,0
JJB,5,20210215,133500,4.52,4.52,4.52,4.52,47,0
JJB,5,20210215,135000,4.52,4.52,4.5,4.5,1000,0
JJB,5,20210215,135500,4.5,4.5,4.5,4.5,62,0
JJB,5,20210215,140000,4.5,4.5,4.5,4.5,938,0
JJB,5,20210215,142500,4.55,4.55,4.55,4.55,500,0
JJB,5,20210215,150000,4.55,4.55,4.55,4.55,250,0
JJB,5,20210216,090000,4.56,4.56,4.55,4.55,266,0
JJB,5,20210216,091000,4.56,4.56,4.56,4.56,15,0
JJB,5,20210216,091500,4.45,4.5,4.43,4.43,2000,0
JJB,5,20210216,092000,4.43,4.43,4.4,4.4,1455,0
JJB,5,20210216,092500,4.4,4.4,4.4,4.4,100,0
JJB,5,20210216,093000,4.41,4.41,4.41,4.41,100,0
JJB,5,20210216,100500,4.54,4.54,4.54,4.54,20,0
JJB,5,20210216,102000,4.54,4.54,4.54,4.54,661,0
JJB,5,20210216,104500,4.52,4.52,4.52,4.52,600,0
JJB,5,20210216,120000,4.52,4.52,4.52,4.52,15,0
JJB,5,20210216,120500,4.42,4.42,4.42,4.42,30,0
JJB,5,20210216,125000,4.52,4.57,4.52,4.57,3364,0
JJB,5,20210216,131000,4.45,4.45,4.45,4.45,200,0
JJB,5,20210216,152500,4.45,4.45,4.45,4.45,150,0
JJB,5,20210216,163500,4.55,4.55,4.55,4.55,100,0
JJB,5,20210216,164500,4.55,4.56,4.55,4.56,1175,0
JJB,5,20210217,090000,4.55,4.55,4.55,4.55,5,0
JJB,5,20210217,090500,4.44,4.44,4.44,4.44,490,0
JJB,5,20210217,091000,4.44,4.44,4.43,4.43,740,0
JJB,5,20210217,091500,4.43,4.43,4.43,4.43,600,0
JJB,5,20210217,094000,4.52,4.52,4.52,4.52,5,0
JJB,5,20210217,104500,4.52,4.52,4.52,4.52,200,0
JJB,5,20210217,110000,4.52,4.52,4.52,4.52,100,0
JJB,5,20210217,112000,4.52,4.52,4.52,4.52,193,0
JJB,5,20210217,112500,4.52,4.53,4.52,4.53,1280,0
JJB,5,20210217,121000,4.52,4.52,4.52,4.52,1,0
JJB,5,20210217,161500,4.55,4.55,4.55,4.55,18,0
JJB,5,20210218,090000,4.5,4.5,4.5,4.5,157,0
JJB,5,20210218,115500,4.55,4.55,4.55,4.55,1200,0
JJB,5,20210218,121500,4.55,4.55,4.55,4.55,200,0
JJB,5,20210218,122000,4.54,4.54,4.54,4.54,555,0
JJB,5,20210218,132500,4.54,4.57,4.54,4.57,1993,0
JJB,5,20210218,135000,4.57,4.57,4.57,4.57,7,0
JJB,5,20210218,141500,4.57,4.6,4.57,4.6,1200,0
JJB,5,20210218,154500,4.6,4.6,4.6,4.6,100,0
JJB,5,20210218,164500,4.52,4.52,4.52,4.52,316,0
JJB,5,20210219,092500,4.5,4.5,4.5,4.5,133,0
JJB,5,20210219,093500,4.47,4.47,4.47,4.47,100,0
JJB,5,20210219,094000,4.55,4.58,4.55,4.58,200,0
JJB,5,20210219,095000,4.57,4.57,4.57,4.57,1000,0
JJB,5,20210219,101500,4.48,4.57,4.48,4.57,300,0
JJB,5,20210219,104500,4.56,4.57,4.56,4.57,100,0
JJB,5,20210219,105500,4.57,4.57,4.57,4.57,989,0
JJB,5,20210222,090000,4.57,4.57,4.57,4.57,100,0
JJB,5,20210222,091000,4.51,4.51,4.51,4.51,700,0
JJB,5,20210222,095500,4.54,4.54,4.54,4.54,100,0
JJB,5,20210222,100000,4.54,4.54,4.54,4.54,100,0
JJB,5,20210222,101500,4.5,4.5,4.5,4.5,1000,0
JJB,5,20210222,105500,4.5,4.5,4.5,4.5,200,0
JJB,5,20210222,111000,4.5,4.5,4.5,4.5,100,0
JJB,5,20210222,113500,4.5,4.54,4.5,4.54,321,0
JJB,5,20210222,114500,4.5,4.5,4.5,4.5,811,0
JJB,5,20210222,115500,4.47,4.47,4.45,4.45,1133,0
JJB,5,20210222,120000,4.43,4.43,4.4,4.4,2630,0
JJB,5,20210222,125500,4.45,4.45,4.45,4.45,42,0
JJB,5,20210222,130000,4.41,4.41,4.41,4.41,689,0
JJB,5,20210222,130500,4.45,4.45,4.45,4.45,25,0
JJB,5,20210222,150500,4.49,4.49,4.49,4.49,475,0
JJB,5,20210222,152000,4.49,4.49,4.49,4.49,100,0
JJB,5,20210222,152500,4.49,4.49,4.49,4.49,100,0
JJB,5,20210222,162000,4.49,4.49,4.49,4.49,1,0
JJB,5,20210223,090500,4.41,4.41,4.41,4.41,30,0
JJB,5,20210223,094500,4.44,4.44,4.43,4.43,566,0
JJB,5,20210223,131000,4.43,4.43,4.43,4.43,240,0
JJB,5,20210223,134000,4.43,4.43,4.42,4.42,300,0
JJB,5,20210223,144500,4.49,4.49,4.49,4.49,221,0
JJB,5,20210223,155500,4.42,4.42,4.42,4.42,300,0
JJB,5,20210223,164500,4.5,4.5,4.5,4.5,40,0
JJB,5,20210224,113000,4.5,4.5,4.5,4.5,50,0
JJB,5,20210224,134500,4.5,4.5,4.5,4.5,250,0
JJB,5,20210224,151500,4.49,4.49,4.49,4.49,5,0
JJB,5,20210224,152500,4.41,4.41,4.4,4.4,600,0
JJB,5,20210224,162500,4.48,4.48,4.48,4.48,250,0
JJB,5,20210224,165500,4.5,4.5,4.5,4.5,1030,0
JJB,5,20210225,093000,4.55,4.55,4.55,4.55,25,0
JJB,5,20210225,111000,4.45,4.45,4.44,4.44,127,0
JJB,5,20210225,112000,4.44,4.44,4.44,4.44,600,0
JJB,5,20210225,113000,4.44,4.44,4.44,4.44,260,0
JJB,5,20210225,114000,4.44,4.44,4.44,4.44,13,0
JJB,5,20210225,130500,4.5,4.52,4.5,4.52,1100,0
JJB,5,20210225,133000,4.52,4.52,4.52,4.52,210,0
JJB,5,20210226,090000,4.51,4.51,4.51,4.51,877,0
JJB,5,20210226,092000,4.5,4.5,4.5,4.5,210,0
JJB,5,20210226,094500,4.4,4.52,4.4,4.52,1166,0
JJB,5,20210226,111500,4.5,4.5,4.5,4.5,221,0
JJB,5,20210226,153500,4.5,4.5,4.5,4.5,88,0
JJB,5,20210301,090000,4.52,4.56,4.52,4.56,469,0
JJB,5,20210301,105000,4.41,4.41,4.41,4.41,267,0
JJB,5,20210301,113000,4.54,4.54,4.54,4.54,5,0
JJB,5,20210301,151500,4.53,4.53,4.53,4.53,1,0
JJB,5,20210301,152500,4.51,4.51,4.51,4.51,120,0
JJB,5,20210301,154500,4.54,4.54,4.54,4.54,384,0
