<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JRH,5,20210204,090000,12.9,12.9,12.9,12.9,200,0
JRH,5,20210204,090500,12.9,13.2,12.9,13.2,300,0
JRH,5,20210204,091500,12.75,12.75,12.75,12.75,100,0
JRH,5,20210204,092000,12.7,13,12.7,13,157,0
JRH,5,20210204,092500,13.1,13.15,13.1,13.15,300,0
JRH,5,20210204,093500,13,13,13,13,156,0
JRH,5,20210204,094000,13.1,13.1,13.1,13.1,40,0
JRH,5,20210204,094500,13,13,13,13,3338,0
JRH,5,20210204,095000,13,13,13,13,500,0
JRH,5,20210204,100500,13,13,13,13,6,0
JRH,5,20210204,101000,13,13,13,13,20,0
JRH,5,20210204,102000,12.95,13,12.95,13,373,0
JRH,5,20210204,103500,12.85,12.85,12.85,12.85,110,0
JRH,5,20210204,114500,12.85,12.85,12.85,12.85,320,0
JRH,5,20210204,120000,12.95,12.95,12.95,12.95,500,0
JRH,5,20210204,122000,12.95,12.95,12.95,12.95,20,0
JRH,5,20210204,123500,12.95,12.95,12.85,12.85,1033,0
JRH,5,20210204,124500,12.95,12.95,12.95,12.95,300,0
JRH,5,20210204,125000,12.95,13.15,12.95,13.15,7814,0
JRH,5,20210204,125500,13,13,13,13,112,0
JRH,5,20210204,132500,13.15,13.15,13.15,13.15,191,0
JRH,5,20210204,135000,13.15,13.15,13.15,13.15,75,0
JRH,5,20210204,140500,13.1,13.1,13,13,300,0
JRH,5,20210204,142000,13.15,13.15,13,13,3639,0
JRH,5,20210204,144000,13.05,13.05,13.05,13.05,100,0
JRH,5,20210204,151500,12.9,12.9,12.9,12.9,55,0
JRH,5,20210204,155000,13.05,13.05,13.05,13.05,75,0
JRH,5,20210204,155500,13.05,13.05,13.05,13.05,144,0
JRH,5,20210204,161000,13.05,13.05,13.05,13.05,87,0
JRH,5,20210204,163000,13.05,13.05,13.05,13.05,400,0
JRH,5,20210204,163500,13,13,12.9,12.9,435,0
JRH,5,20210205,090000,13.05,13.7,13.05,13.5,3738,0
JRH,5,20210205,090500,13.8,13.8,13.8,13.8,76,0
JRH,5,20210205,091500,13.5,13.5,13.3,13.3,82,0
JRH,5,20210205,092000,13.25,13.25,13.2,13.2,658,0
JRH,5,20210205,092500,13.2,13.2,13.15,13.15,140,0
JRH,5,20210205,093000,13.2,13.4,13.2,13.35,1916,0
JRH,5,20210205,093500,13.4,13.4,13.4,13.4,592,0
JRH,5,20210205,094000,13.4,13.4,13.4,13.4,1692,0
JRH,5,20210205,094500,13.45,13.5,13.45,13.5,1370,0
JRH,5,20210205,095000,13.45,13.45,13.45,13.45,100,0
JRH,5,20210205,095500,13.45,13.45,13.45,13.45,12,0
JRH,5,20210205,100500,13.4,13.4,13.4,13.4,105,0
JRH,5,20210205,102000,13.45,13.5,13.45,13.5,1148,0
JRH,5,20210205,102500,13.45,13.5,13.45,13.5,513,0
JRH,5,20210205,103000,13.45,13.45,13.45,13.45,18,0
JRH,5,20210205,103500,13.45,13.45,13.45,13.45,145,0
JRH,5,20210205,104500,13.4,13.4,13.4,13.4,230,0
JRH,5,20210205,105000,13.45,13.45,13.45,13.45,140,0
JRH,5,20210205,105500,13.45,13.45,13.45,13.45,107,0
JRH,5,20210205,110000,13.45,13.45,13.45,13.45,200,0
JRH,5,20210205,111000,13.45,13.45,13.45,13.45,100,0
JRH,5,20210205,112000,13.4,13.45,13.4,13.45,52,0
JRH,5,20210205,114500,13.4,13.4,13.4,13.4,50,0
JRH,5,20210205,115000,13.45,13.5,13.45,13.5,532,0
JRH,5,20210205,120000,13.55,13.55,13.55,13.55,111,0
JRH,5,20210205,122000,13.4,13.4,13.4,13.4,848,0
JRH,5,20210205,125500,13.5,13.55,13.5,13.55,212,0
JRH,5,20210205,130000,13.55,13.7,13.55,13.7,717,0
JRH,5,20210205,130500,13.7,13.8,13.7,13.8,1580,0
JRH,5,20210205,131000,13.75,13.8,13.75,13.75,942,0
JRH,5,20210205,131500,13.65,13.65,13.6,13.6,576,0
JRH,5,20210205,135000,13.6,13.6,13.6,13.6,143,0
JRH,5,20210205,140000,13.55,13.55,13.55,13.55,50,0
JRH,5,20210205,140500,13.7,13.7,13.7,13.7,30,0
JRH,5,20210205,141000,13.7,13.7,13.7,13.7,37,0
JRH,5,20210205,142000,13.65,13.65,13.65,13.65,73,0
JRH,5,20210205,142500,13.65,13.65,13.65,13.65,150,0
JRH,5,20210205,143000,13.65,13.75,13.65,13.75,951,0
JRH,5,20210205,143500,13.6,13.6,13.5,13.5,5172,0
JRH,5,20210205,144500,13.6,13.6,13.6,13.6,110,0
JRH,5,20210205,150500,13.6,13.6,13.6,13.6,388,0
JRH,5,20210205,153500,13.7,13.7,13.6,13.6,502,0
JRH,5,20210205,155000,13.7,13.7,13.7,13.7,2,0
JRH,5,20210205,160000,13.55,13.7,13.55,13.7,151,0
JRH,5,20210205,162500,13.7,13.7,13.7,13.7,79,0
JRH,5,20210205,163500,13.7,13.8,13.7,13.8,1713,0
JRH,5,20210205,164000,13.6,13.6,13.6,13.6,364,0
JRH,5,20210205,164500,13.8,13.85,13.8,13.85,2513,0
JRH,5,20210208,090000,14.3,14.3,13.55,14.15,6270,0
JRH,5,20210208,090500,14.2,14.3,14.2,14.3,1774,0
JRH,5,20210208,091000,14.35,14.35,14.35,14.35,588,0
JRH,5,20210208,091500,14.4,14.4,14.4,14.4,550,0
JRH,5,20210208,092000,14.4,14.4,14.05,14.05,620,0
JRH,5,20210208,092500,14.05,14.05,14.05,14.05,491,0
JRH,5,20210208,093000,14,14,13.9,13.9,715,0
JRH,5,20210208,093500,14.05,14.1,14.05,14.1,435,0
JRH,5,20210208,094000,14.15,14.15,14.15,14.15,38,0
JRH,5,20210208,095000,14.2,14.2,14.2,14.2,33,0
JRH,5,20210208,095500,14.2,14.2,14.2,14.2,135,0
JRH,5,20210208,100000,14.2,14.2,14.2,14.2,100,0
JRH,5,20210208,100500,14.2,14.2,14.2,14.2,17,0
JRH,5,20210208,101500,14.2,14.2,14.2,14.2,34,0
JRH,5,20210208,102000,14.25,14.25,14.25,14.25,40,0
JRH,5,20210208,102500,14.25,14.25,14.25,14.25,119,0
JRH,5,20210208,103500,14.2,14.2,14.2,14.2,360,0
JRH,5,20210208,104000,14.25,14.25,14.25,14.25,230,0
JRH,5,20210208,104500,14.25,14.25,14.25,14.25,272,0
JRH,5,20210208,105000,14.25,14.25,14.25,14.25,44,0
JRH,5,20210208,105500,14.2,14.2,14.15,14.15,180,0
JRH,5,20210208,110000,14.15,14.4,14.15,14.4,3488,0
JRH,5,20210208,112500,14.3,14.3,14.3,14.3,34,0
JRH,5,20210208,113500,14.2,14.2,14.2,14.2,82,0
JRH,5,20210208,114000,14.25,14.3,14.25,14.3,166,0
JRH,5,20210208,114500,14.3,14.3,14.25,14.25,319,0
JRH,5,20210208,120000,14.3,14.3,14.3,14.3,8,0
JRH,5,20210208,120500,14.3,14.3,14.3,14.3,300,0
JRH,5,20210208,123000,14.25,14.25,14.25,14.25,277,0
JRH,5,20210208,125500,14.3,14.3,14.25,14.3,320,0
JRH,5,20210208,130500,14.25,14.25,14.2,14.2,1850,0
JRH,5,20210208,133000,14.3,14.3,14.3,14.3,175,0
JRH,5,20210208,133500,14.3,14.3,14.3,14.3,10,0
JRH,5,20210208,135000,14.3,14.3,14.2,14.2,470,0
JRH,5,20210208,135500,14.2,14.2,14.2,14.2,100,0
JRH,5,20210208,140500,14.3,14.35,14.3,14.35,615,0
JRH,5,20210208,141000,14.35,14.4,14.35,14.4,697,0
JRH,5,20210208,143000,14.35,14.35,14.35,14.35,118,0
JRH,5,20210208,144000,14.3,14.3,14.3,14.3,50,0
JRH,5,20210208,144500,14.3,14.3,14.3,14.3,150,0
JRH,5,20210208,145500,14.2,14.2,14.2,14.2,208,0
JRH,5,20210208,150500,14.15,14.15,14.15,14.15,150,0
JRH,5,20210208,152000,14.3,14.3,14.3,14.3,214,0
JRH,5,20210208,152500,14.3,14.3,14.3,14.3,175,0
JRH,5,20210208,154500,14.3,14.3,14.3,14.3,50,0
JRH,5,20210208,155500,14.3,14.3,14.3,14.3,311,0
JRH,5,20210208,160000,14.35,14.35,14.35,14.35,77,0
JRH,5,20210208,161500,14.35,14.35,14.35,14.35,100,0
JRH,5,20210208,162000,14.35,14.35,14.3,14.3,656,0
JRH,5,20210208,162500,14.3,14.4,14.3,14.4,2800,0
JRH,5,20210208,163000,14.25,14.25,14.25,14.25,400,0
JRH,5,20210208,164000,14.4,14.5,14.4,14.5,1132,0
JRH,5,20210208,164500,14.5,14.5,14.5,14.5,301,0
JRH,5,20210209,090000,14.55,14.55,14.55,14.55,899,0
JRH,5,20210209,091000,14.55,14.55,14.5,14.5,265,0
JRH,5,20210209,091500,14.55,14.65,14.55,14.65,1859,0
JRH,5,20210209,092000,14.65,14.8,14.65,14.8,965,0
JRH,5,20210209,092500,14.75,14.75,14.75,14.75,200,0
JRH,5,20210209,094000,14.65,14.75,14.65,14.75,765,0
JRH,5,20210209,094500,14.7,14.75,14.7,14.75,680,0
JRH,5,20210209,095000,14.65,14.65,14.65,14.65,15,0
JRH,5,20210209,095500,14.75,14.75,14.75,14.75,728,0
JRH,5,20210209,100500,14.75,14.75,14.75,14.75,67,0
JRH,5,20210209,101000,14.7,14.7,14.7,14.7,855,0
JRH,5,20210209,102500,14.7,14.7,14.7,14.7,100,0
JRH,5,20210209,104000,14.55,14.55,14.55,14.55,1093,0
JRH,5,20210209,104500,14.5,14.5,14.5,14.5,310,0
JRH,5,20210209,110500,14.6,14.6,14.6,14.6,50,0
JRH,5,20210209,111000,14.65,14.65,14.65,14.65,310,0
JRH,5,20210209,112500,14.7,14.7,14.7,14.7,138,0
JRH,5,20210209,113000,14.65,14.65,14.65,14.65,1053,0
JRH,5,20210209,114000,14.65,14.65,14.65,14.65,73,0
JRH,5,20210209,114500,14.65,14.65,14.65,14.65,73,0
JRH,5,20210209,122000,14.55,14.55,14.55,14.55,376,0
JRH,5,20210209,122500,14.55,14.55,14.55,14.55,40,0
JRH,5,20210209,123000,14.6,14.6,14.6,14.6,17,0
JRH,5,20210209,130000,14.6,14.6,14.6,14.6,8,0
JRH,5,20210209,130500,14.6,14.65,14.5,14.65,900,0
JRH,5,20210209,132000,14.65,14.65,14.65,14.65,400,0
JRH,5,20210209,134500,14.55,14.55,14.55,14.55,220,0
JRH,5,20210209,140000,14.55,14.55,14.55,14.55,200,0
JRH,5,20210209,140500,14.5,14.5,14.5,14.5,200,0
JRH,5,20210209,141500,14.5,14.65,14.5,14.65,643,0
JRH,5,20210209,143500,14.5,14.5,14.4,14.4,135,0
JRH,5,20210209,144000,14.3,14.3,14.3,14.3,40,0
JRH,5,20210209,144500,14.35,14.35,14.3,14.3,150,0
JRH,5,20210209,150000,14.5,14.5,14.5,14.5,200,0
JRH,5,20210209,152000,14.3,14.3,14.3,14.3,100,0
JRH,5,20210209,153000,14.3,14.3,14.15,14.15,410,0
JRH,5,20210209,154500,14.45,14.5,14.45,14.5,250,0
JRH,5,20210209,155500,14.15,14.15,14.15,14.15,63,0
JRH,5,20210209,161000,14.4,14.4,14.4,14.4,1,0
JRH,5,20210209,162500,14.4,14.4,14.4,14.4,10,0
JRH,5,20210209,163500,14.15,14.15,14.15,14.15,400,0
JRH,5,20210209,164500,14.35,14.35,14.35,14.35,21,0
JRH,5,20210210,090000,14.25,14.3,14.15,14.15,251,0
JRH,5,20210210,091500,14,14,13.9,13.9,1141,0
JRH,5,20210210,092000,13.9,13.9,13.9,13.9,340,0
JRH,5,20210210,092500,13.9,14,13.9,14,536,0
JRH,5,20210210,093000,13.9,13.9,13.7,13.8,615,0
JRH,5,20210210,093500,13.8,13.8,13.8,13.8,1,0
JRH,5,20210210,094000,13.8,13.8,13.8,13.8,134,0
JRH,5,20210210,095000,13.75,13.75,13.75,13.75,474,0
JRH,5,20210210,095500,13.75,13.75,13.7,13.7,2630,0
JRH,5,20210210,100500,13.8,13.95,13.8,13.95,234,0
JRH,5,20210210,102500,13.75,13.75,13.75,13.75,240,0
JRH,5,20210210,103500,14,14,14,14,50,0
JRH,5,20210210,105500,13.95,14.4,13.95,14.4,2000,0
JRH,5,20210210,110500,14.4,14.4,14.4,14.4,49,0
JRH,5,20210210,112500,14.2,14.2,14.2,14.2,111,0
JRH,5,20210210,113000,14.2,14.2,14.2,14.2,100,0
JRH,5,20210210,113500,13.9,13.9,13.8,13.8,1000,0
JRH,5,20210210,120500,13.8,14,13.7,14,1301,0
JRH,5,20210210,121000,14,14,14,14,10,0
JRH,5,20210210,123500,14,14,14,14,36,0
JRH,5,20210210,133000,14,14,14,14,640,0
JRH,5,20210210,133500,13.9,13.9,13.9,13.9,73,0
JRH,5,20210210,134000,13.9,13.9,13.9,13.9,50,0
JRH,5,20210210,134500,13.9,13.9,13.9,13.9,2,0
JRH,5,20210210,143500,14,14,14,14,1,0
JRH,5,20210210,151500,14,14,14,14,80,0
JRH,5,20210210,154000,14,14,14,14,50,0
JRH,5,20210210,161500,13.9,13.9,13.9,13.9,50,0
JRH,5,20210210,162000,13.8,13.9,13.8,13.9,300,0
JRH,5,20210210,163500,14,14,14,14,100,0
JRH,5,20210210,164500,13.8,13.8,13.8,13.8,72,0
JRH,5,20210211,090000,13.95,13.95,13.55,13.55,2270,0
JRH,5,20210211,090500,13.6,13.6,13.6,13.6,1200,0
JRH,5,20210211,091000,13.6,13.6,13.6,13.6,800,0
JRH,5,20210211,091500,13.6,13.6,13.6,13.6,1000,0
JRH,5,20210211,092000,13.55,13.6,13.5,13.6,1197,0
JRH,5,20210211,093000,13.55,13.55,13.5,13.5,500,0
JRH,5,20210211,093500,13.5,13.5,13.5,13.5,1408,0
JRH,5,20210211,094500,13.55,13.7,13.55,13.7,350,0
JRH,5,20210211,095000,13.45,13.45,13.45,13.45,100,0
JRH,5,20210211,095500,13.65,13.65,13.65,13.65,25,0
