<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWA,5,20210204,091000,0.92,0.92,0.92,0.92,1400,0
JWA,5,20210204,110500,0.958,0.958,0.958,0.958,2000,0
JWA,5,20210204,123000,0.92,0.92,0.91,0.91,1100,0
JWA,5,20210204,152000,0.94,0.94,0.94,0.94,1086,0
JWA,5,20210205,123000,0.94,0.94,0.94,0.94,1918,0
JWA,5,20210205,141500,0.902,0.902,0.9,0.9,2500,0
JWA,5,20210205,144000,0.948,0.948,0.948,0.948,2000,0
JWA,5,20210208,090000,0.946,0.946,0.946,0.946,5000,0
JWA,5,20210208,114000,0.946,0.946,0.946,0.946,200,0
JWA,5,20210208,114500,0.946,0.946,0.946,0.946,10329,0
JWA,5,20210208,141000,0.92,0.92,0.91,0.91,4671,0
JWA,5,20210208,150500,0.912,0.912,0.912,0.912,500,0
JWA,5,20210208,153000,0.912,0.912,0.912,0.912,1300,0
JWA,5,20210208,162000,0.912,0.912,0.91,0.91,2100,0
JWA,5,20210208,164500,0.93,0.93,0.93,0.93,5,0
JWA,5,20210209,110000,0.9,0.9,0.9,0.9,382,0
JWA,5,20210209,122500,0.9,0.9,0.9,0.9,2659,0
JWA,5,20210209,124500,0.9,0.92,0.9,0.92,342,0
JWA,5,20210209,164500,0.91,0.91,0.91,0.91,1811,0
JWA,5,20210210,094000,0.894,0.894,0.882,0.882,1067,0
JWA,5,20210210,113000,0.882,0.882,0.87,0.87,2000,0
JWA,5,20210210,114500,0.87,0.87,0.862,0.862,935,0
JWA,5,20210210,152000,0.866,0.866,0.86,0.86,6000,0
JWA,5,20210210,160500,0.9,0.9,0.9,0.9,300,0
JWA,5,20210211,125000,0.898,0.898,0.898,0.898,100,0
JWA,5,20210211,131500,0.898,0.898,0.898,0.898,1000,0
JWA,5,20210211,153000,0.89,0.89,0.89,0.89,27,0
JWA,5,20210212,130000,0.86,0.86,0.852,0.852,1946,0
JWA,5,20210212,140000,0.86,0.86,0.85,0.85,8000,0
JWA,5,20210212,140500,0.85,0.85,0.75,0.764,7000,0
JWA,5,20210212,150000,0.85,0.85,0.85,0.85,100,0
JWA,5,20210212,150500,0.85,0.85,0.85,0.85,2500,0
JWA,5,20210212,151000,0.85,0.88,0.85,0.88,4834,0
JWA,5,20210212,151500,0.88,0.88,0.88,0.88,1260,0
JWA,5,20210215,090000,0.88,0.88,0.88,0.88,5557,0
JWA,5,20210215,091000,0.88,0.88,0.88,0.88,956,0
JWA,5,20210215,092500,0.88,0.88,0.88,0.88,4400,0
JWA,5,20210215,143000,0.88,0.88,0.88,0.88,200,0
JWA,5,20210216,161500,0.88,0.88,0.88,0.88,456,0
JWA,5,20210216,163000,0.88,0.89,0.88,0.89,500,0
JWA,5,20210217,090000,0.91,0.938,0.91,0.938,1399,0
JWA,5,20210217,093000,0.87,0.87,0.87,0.87,25,0
JWA,5,20210217,095000,0.928,0.928,0.928,0.928,21,0
JWA,5,20210217,133000,0.87,0.87,0.87,0.87,500,0
JWA,5,20210217,133500,0.87,0.87,0.87,0.87,500,0
JWA,5,20210217,164500,0.9,0.9,0.9,0.9,10,0
JWA,5,20210218,092500,0.9,0.9,0.9,0.9,2516,0
JWA,5,20210218,101500,0.89,0.89,0.89,0.89,10000,0
JWA,5,20210218,102000,0.89,0.89,0.89,0.89,1402,0
JWA,5,20210218,104500,0.89,0.89,0.89,0.89,1500,0
JWA,5,20210218,105000,0.89,0.89,0.89,0.89,3000,0
JWA,5,20210218,105500,0.89,0.89,0.89,0.89,417,0
JWA,5,20210218,113000,0.9,0.9,0.9,0.9,780,0
JWA,5,20210218,122000,0.89,0.89,0.89,0.89,3680,0
JWA,5,20210218,142000,0.9,0.9,0.9,0.9,130,0
JWA,5,20210218,164500,0.926,0.926,0.926,0.926,100,0
JWA,5,20210219,143500,0.92,0.92,0.92,0.92,1,0
JWA,5,20210219,164000,0.92,0.998,0.92,0.998,16572,0
JWA,5,20210222,092500,0.92,0.92,0.92,0.92,1087,0
JWA,5,20210222,114000,0.91,0.92,0.91,0.92,24000,0
JWA,5,20210222,115500,0.91,0.91,0.91,0.91,1099,0
JWA,5,20210222,120000,0.9,0.9,0.9,0.9,4716,0
JWA,5,20210222,121500,0.9,0.9,0.9,0.9,5000,0
JWA,5,20210222,130500,0.92,0.988,0.92,0.988,1187,0
JWA,5,20210222,161000,0.984,0.988,0.984,0.988,8152,0
JWA,5,20210222,162000,0.988,0.988,0.988,0.988,21500,0
JWA,5,20210223,090000,0.988,0.988,0.988,0.988,348,0
JWA,5,20210223,091000,0.97,0.97,0.97,0.97,19727,0
JWA,5,20210223,110500,0.986,0.992,0.986,0.992,33666,0
JWA,5,20210223,111000,1,1,1,1,981,0
