<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
K2P,5,20210222,110000,21,24,21,23.78,10761,0
K2P,5,20210222,110500,22.3,24.58,22.3,24.3,3512,0
K2P,5,20210222,111000,24.3,28,24,27.5,3196,0
K2P,5,20210222,111500,26.5,27,24.22,26,712,0
K2P,5,20210222,112000,26,26.8,25.9,26.6,372,0
K2P,5,20210222,112500,25.52,26.5,25.5,25.5,460,0
K2P,5,20210222,113000,26,26,25.02,25.78,485,0
K2P,5,20210222,113500,25.98,26.3,25.98,26.3,427,0
K2P,5,20210222,114000,26.35,26.5,26,26.49,680,0
K2P,5,20210222,114500,26.39,26.45,25.55,25.55,172,0
K2P,5,20210222,115000,26,26.9,26,26.9,810,0
K2P,5,20210222,115500,27,28.5,27,28.5,2398,0
K2P,5,20210222,120000,28.5,28.9,28.4,28.5,564,0
K2P,5,20210222,120500,28,28,28,28,64,0
K2P,5,20210222,121000,28,28.25,26.3,28.25,456,0
K2P,5,20210222,121500,28.25,28.39,28.25,28.39,276,0
K2P,5,20210222,122000,28.4,29.9,28.39,29.9,2806,0
K2P,5,20210222,122500,29.9,30,29.9,30,2217,0
K2P,5,20210222,123000,29.99,30,29,29.9,92,0
K2P,5,20210222,123500,29.005,30,29,29.9,114,0
K2P,5,20210222,124000,29,29.895,28.5,29.895,268,0
K2P,5,20210222,124500,29.895,29.9,29.895,29.9,175,0
K2P,5,20210222,125000,29.9,30,29.9,30,659,0
K2P,5,20210222,125500,30,30,29,30,1256,0
K2P,5,20210222,130500,29.5,29.5,29.005,29.005,127,0
K2P,5,20210222,131500,28.61,28.61,28.6,28.6,59,0
K2P,5,20210222,132000,28.6,28.6,28.5,28.5,400,0
K2P,5,20210222,133500,29.4,29.45,29.4,29.45,48,0
K2P,5,20210222,134000,29.45,29.45,29.4,29.4,26,0
K2P,5,20210222,134500,29.45,29.88,29.45,29.88,499,0
K2P,5,20210222,135000,29.895,29.895,29.4,29.89,275,0
K2P,5,20210222,135500,29.89,29.89,29.89,29.89,153,0
K2P,5,20210222,140500,29.89,29.895,29.89,29.895,50,0
K2P,5,20210222,141000,29.8,29.8,29.8,29.8,50,0
K2P,5,20210222,142000,29.8,29.8,29.8,29.8,1,0
K2P,5,20210222,142500,29.5,29.5,29.5,29.5,25,0
K2P,5,20210222,143000,29.5,29.5,29.5,29.5,5,0
K2P,5,20210222,143500,29.5,29.5,29.5,29.5,100,0
K2P,5,20210222,144000,29.7,29.7,29.7,29.7,50,0
K2P,5,20210222,144500,29.7,29.7,29.5,29.5,148,0
K2P,5,20210222,145000,29.6,29.7,29.6,29.7,140,0
K2P,5,20210222,145500,29,29,29,29,60,0
K2P,5,20210222,150000,29,29.65,29,29.65,74,0
K2P,5,20210222,150500,29.65,29.65,29.65,29.65,21,0
K2P,5,20210222,151000,29.68,29.8,29.68,29.8,303,0
K2P,5,20210222,152500,29.75,29.75,29.5,29.5,37,0
K2P,5,20210222,153000,29.17,29.17,29.12,29.12,41,0
K2P,5,20210222,153500,28.7,28.7,28.7,28.7,11,0
K2P,5,20210222,154000,29.5,29.5,29.5,29.5,100,0
K2P,5,20210222,154500,29.5,30,29.5,30,5500,0
K2P,5,20210222,155000,29.9,29.9,29.5,29.5,195,0
