<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBJ,5,20210204,090000,16.7,16.7,16.5,16.5,102,0
KBJ,5,20210204,093500,16.6,16.6,16.6,16.6,10,0
KBJ,5,20210204,100500,16.1,16.1,16.1,16.1,300,0
KBJ,5,20210204,101000,16.5,16.5,16.5,16.5,10,0
KBJ,5,20210204,134500,16.5,16.5,16.5,16.5,60,0
KBJ,5,20210204,135500,16,16,16,16,53,0
KBJ,5,20210204,140500,16,16.5,16,16.5,50,0
KBJ,5,20210205,090000,16.5,16.5,16.5,16.5,276,0
KBJ,5,20210205,090500,16.4,16.5,16.4,16.5,89,0
KBJ,5,20210205,091000,16.4,16.4,16.4,16.4,32,0
KBJ,5,20210205,091500,16.5,16.5,16.5,16.5,729,0
KBJ,5,20210205,093000,16.7,16.7,16.7,16.7,10,0
KBJ,5,20210205,100500,16.1,16.1,16,16,526,0
KBJ,5,20210205,101000,16,16.5,16,16.5,219,0
KBJ,5,20210205,102500,16.4,16.4,16.4,16.4,126,0
KBJ,5,20210205,103000,16.5,16.5,16.5,16.5,10,0
KBJ,5,20210205,110000,16.4,16.4,16.4,16.4,50,0
KBJ,5,20210205,110500,16,16.5,16,16.5,160,0
KBJ,5,20210205,152000,16.1,16.1,15.9,15.9,575,0
KBJ,5,20210205,152500,16.4,16.5,16.4,16.5,30,0
KBJ,5,20210205,164500,16.5,16.5,16.5,16.5,29,0
KBJ,5,20210208,090000,17.2,17.2,17,17,105,0
KBJ,5,20210208,095500,16.1,16.1,16.1,16.1,430,0
KBJ,5,20210208,100000,16.6,16.6,16.6,16.6,5,0
KBJ,5,20210208,104000,16.5,16.9,16.5,16.9,982,0
KBJ,5,20210208,104500,16.9,16.9,16.9,16.9,45,0
KBJ,5,20210208,115500,16.6,16.7,16.6,16.7,55,0
KBJ,5,20210208,120500,16.6,16.7,16.6,16.7,33,0
KBJ,5,20210208,133500,16.6,16.9,16.6,16.9,530,0
KBJ,5,20210208,145000,16.8,16.9,16.8,16.9,437,0
KBJ,5,20210208,154500,16.5,16.5,16.5,16.5,165,0
KBJ,5,20210208,155000,16.8,17,16.8,17,1010,0
KBJ,5,20210208,155500,17,17.1,16.4,17.1,2487,0
KBJ,5,20210208,160000,17,17.1,17,17.1,438,0
KBJ,5,20210208,160500,17.1,17.5,17,17.2,6591,0
KBJ,5,20210208,161000,17.2,17.3,17.2,17.2,1085,0
KBJ,5,20210208,161500,17.2,17.3,17.2,17.3,431,0
KBJ,5,20210208,163000,17,17.2,17,17.2,140,0
KBJ,5,20210208,163500,17.2,17.2,17.2,17.2,390,0
KBJ,5,20210208,164000,17.1,17.2,17.1,17.2,738,0
KBJ,5,20210208,164500,17.2,17.2,17.2,17.2,324,0
KBJ,5,20210209,090000,17.4,17.4,17.4,17.4,5,0
KBJ,5,20210209,090500,16.3,16.4,16.3,16.4,449,0
KBJ,5,20210209,091000,16.3,16.3,16.3,16.3,443,0
KBJ,5,20210209,092500,16.3,16.3,16.3,16.3,800,0
KBJ,5,20210209,093000,16.3,16.3,16.3,16.3,300,0
KBJ,5,20210209,093500,17.2,17.2,17.2,17.2,5,0
KBJ,5,20210209,105000,16.7,16.7,16.7,16.7,205,0
KBJ,5,20210209,105500,17.2,17.3,17.2,17.3,455,0
KBJ,5,20210209,110000,17.2,17.5,17.2,17.5,1484,0
KBJ,5,20210209,110500,17.6,17.6,17.5,17.5,250,0
KBJ,5,20210209,111000,17.5,17.8,17.5,17.8,1069,0
KBJ,5,20210209,111500,17.2,17.8,16.4,17.8,2056,0
KBJ,5,20210209,112000,17,17,17,17,130,0
KBJ,5,20210209,112500,17,17.7,17,17.7,1175,0
KBJ,5,20210209,113000,17.7,17.8,17.7,17.8,350,0
KBJ,5,20210209,115000,17.5,17.5,17.5,17.5,56,0
KBJ,5,20210209,131000,17.5,17.6,17.5,17.6,550,0
KBJ,5,20210209,143500,17.1,17.4,17.1,17.4,103,0
KBJ,5,20210209,145500,17.4,17.4,17.4,17.4,326,0
KBJ,5,20210209,162500,17,17.3,17,17.3,520,0
