<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBT,5,20210204,090000,6.12,6.12,6.12,6.12,2,0
KBT,5,20210204,095000,5.99,6,5.99,6,840,0
KBT,5,20210204,095500,6,6,6,6,53,0
KBT,5,20210204,102500,5.95,5.95,5.95,5.95,781,0
KBT,5,20210204,115500,5.94,5.94,5.94,5.94,41,0
KBT,5,20210204,121500,5.94,5.94,5.93,5.93,800,0
KBT,5,20210204,122000,5.93,5.93,5.93,5.93,36,0
KBT,5,20210204,164500,5.93,5.98,5.93,5.98,83,0
KBT,5,20210205,090000,5.99,5.99,5.98,5.98,102,0
KBT,5,20210205,094500,5.99,5.99,5.99,5.99,398,0
KBT,5,20210205,101500,6.1,6.1,6.1,6.1,160,0
KBT,5,20210205,121000,6.07,6.07,6.07,6.07,10,0
KBT,5,20210205,122000,6.07,6.07,6.07,6.07,64,0
KBT,5,20210205,122500,6.08,6.1,6.08,6.1,524,0
KBT,5,20210205,123500,6.11,6.11,6.11,6.11,1000,0
KBT,5,20210205,131500,6.1,6.1,6.1,6.1,200,0
KBT,5,20210205,143000,6.08,6.08,6.07,6.07,851,0
KBT,5,20210205,160500,6.07,6.07,6.07,6.07,110,0
KBT,5,20210205,164500,6.09,6.09,6.09,6.09,53,0
KBT,5,20210208,090000,6.11,6.11,6.11,6.11,1001,0
KBT,5,20210208,090500,6.11,6.12,6.11,6.12,141,0
KBT,5,20210208,091000,6.09,6.09,6.09,6.09,704,0
KBT,5,20210208,095500,6.01,6.01,6.01,6.01,1000,0
KBT,5,20210208,104500,6.09,6.11,6.09,6.11,400,0
KBT,5,20210208,105000,6.1,6.11,6.1,6.1,1409,0
KBT,5,20210208,105500,6.1,6.1,6.1,6.1,1,0
KBT,5,20210208,113000,6.1,6.1,6.1,6.1,49,0
KBT,5,20210208,123500,6.1,6.1,6.1,6.1,346,0
KBT,5,20210208,124500,6.1,6.1,6.1,6.1,341,0
KBT,5,20210208,125500,6.1,6.12,6.1,6.12,1695,0
KBT,5,20210208,130000,6.16,6.2,6.16,6.2,1448,0
KBT,5,20210208,130500,6.19,6.2,6.19,6.2,415,0
KBT,5,20210208,131000,6.2,6.2,6.2,6.2,62,0
KBT,5,20210208,131500,6.19,6.19,6.19,6.19,743,0
KBT,5,20210208,140000,6.19,6.19,6.19,6.19,500,0
KBT,5,20210208,145000,6.21,6.21,6.21,6.21,1,0
