<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KLN,5,20210208,124000,0.76,0.76,0.655,0.655,2635,0
KLN,5,20210208,162500,0.755,0.755,0.755,0.755,200,0
KLN,5,20210209,094500,0.755,0.755,0.755,0.755,805,0
KLN,5,20210209,104000,0.79,0.79,0.79,0.79,1271,0
KLN,5,20210212,090000,0.85,0.85,0.85,0.85,839,0
KLN,5,20210212,145500,0.9,0.9,0.9,0.9,1125,0
KLN,5,20210212,151500,0.97,0.97,0.9,0.9,2000,0
KLN,5,20210215,104000,0.83,0.83,0.83,0.83,875,0
KLN,5,20210215,130500,0.86,0.86,0.86,0.86,1175,0
KLN,5,20210215,132500,0.88,0.88,0.88,0.88,1150,0
KLN,5,20210215,145000,0.89,0.99,0.89,0.99,11686,0
KLN,5,20210215,152000,1,1,1,1,2000,0
KLN,5,20210215,152500,1.1,1.1,0.995,0.995,550,0
KLN,5,20210215,153000,1.06,1.07,1.06,1.07,1750,0
KLN,5,20210215,153500,1.08,1.19,1.08,1.19,4750,0
KLN,5,20210215,154000,1.15,1.15,1.15,1.15,350,0
KLN,5,20210215,155000,1.19,1.19,1.19,1.19,3900,0
KLN,5,20210215,160000,1.2,1.2,1.2,1.2,3200,0
KLN,5,20210216,090500,1.44,1.44,1.44,1.44,28787,0
KLN,5,20210216,091000,1.4,1.4,1.16,1.16,3600,0
KLN,5,20210216,091500,1.16,1.16,1.16,1.16,400,0
KLN,5,20210216,092000,1.16,1.16,1.16,1.16,6578,0
KLN,5,20210216,092500,1.16,1.28,1.16,1.28,1302,0
KLN,5,20210216,093000,1.28,1.29,1.28,1.29,1600,0
KLN,5,20210216,093500,1.29,1.29,1.29,1.29,2639,0
KLN,5,20210216,094000,1.39,1.4,1.39,1.4,4220,0
KLN,5,20210216,094500,1.44,1.44,1.29,1.3,8398,0
KLN,5,20210216,095000,1.29,1.3,1.29,1.3,3500,0
KLN,5,20210216,095500,1.3,1.4,1.3,1.4,6497,0
KLN,5,20210216,100000,1.44,1.44,1.44,1.44,100,0
KLN,5,20210216,100500,1.44,1.44,1.4,1.4,2322,0
KLN,5,20210216,102000,1.4,1.4,1.4,1.4,100,0
KLN,5,20210216,103500,1.4,1.4,1.4,1.4,2778,0
KLN,5,20210216,104000,1.44,1.44,1.44,1.44,222,0
KLN,5,20210216,104500,1.36,1.36,1.16,1.16,7039,0
KLN,5,20210216,105000,1.16,1.16,1.16,1.16,500,0
KLN,5,20210216,110000,1.1,1.1,1.1,1.1,3670,0
KLN,5,20210216,111000,1.13,1.13,1.12,1.12,5000,0
KLN,5,20210216,112000,1.2,1.2,1.2,1.2,1497,0
