<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KME,5,20210204,110000,1.09,1.09,1.09,1.09,1,0
KME,5,20210205,110000,0.99,0.99,0.99,0.99,1551,0
KME,5,20210205,111500,0.99,0.99,0.99,0.99,62,0
KME,5,20210205,150000,0.99,0.99,0.99,0.99,1081,0
KME,5,20210205,150500,0.99,0.99,0.99,0.99,700,0
KME,5,20210208,110000,1.04,1.04,1.04,1.04,500,0
KME,5,20210208,150000,1.03,1.03,1.03,1.03,500,0
KME,5,20210209,110000,1.08,1.08,1.08,1.08,1,0
KME,5,20210209,150000,1.03,1.03,1.03,1.03,500,0
KME,5,20210210,110000,1.08,1.08,1.08,1.08,1,0
KME,5,20210211,110000,1,1,1,1,763,0
KME,5,20210211,150000,1.08,1.08,1.08,1.08,1,0
KME,5,20210212,110000,1.08,1.08,1.08,1.08,1,0
KME,5,20210215,110000,1.07,1.07,1.07,1.07,1,0
KME,5,20210216,110000,1.07,1.07,1.07,1.07,1,0
KME,5,20210217,110000,1.07,1.07,1.07,1.07,1,0
KME,5,20210218,110000,1.07,1.07,1.07,1.07,1,0
KME,5,20210219,110000,1.07,1.07,1.07,1.07,1,0
KME,5,20210219,150000,0.985,0.985,0.985,0.985,1000,0
KME,5,20210222,110000,1.07,1.07,1.07,1.07,1,0
KME,5,20210222,150000,1.07,1.07,1.07,1.07,2,0
KME,5,20210223,110000,1.07,1.07,1.07,1.07,986,0
KME,5,20210223,150000,1.07,1.07,1.07,1.07,569,0
KME,5,20210226,110000,1.02,1.02,1.02,1.02,1500,0
KME,5,20210226,150000,1.02,1.02,1.02,1.02,448,0
KME,5,20210226,152000,1.02,1.02,1.02,1.02,1050,0
KME,5,20210301,110000,1.1,1.1,1.1,1.1,1,0
KME,5,20210302,110000,1.1,1.1,1.1,1.1,1,0
KME,5,20210302,110500,1.1,1.1,1.1,1.1,222,0
KME,5,20210303,110000,1.03,1.03,1.03,1.03,723,0
KME,5,20210303,111500,1.03,1.03,1.03,1.03,4429,0
KME,5,20210304,110000,1.03,1.03,1.03,1.03,1500,0
KME,5,20210304,150000,1.03,1.03,1.03,1.03,1000,0
KME,5,20210304,151500,1.03,1.03,1.03,1.03,1000,0
KME,5,20210305,110000,1.02,1.02,1.02,1.02,100,0
KME,5,20210305,150000,1.02,1.02,1.02,1.02,3000,0
KME,5,20210308,110000,1.02,1.02,1.02,1.02,1400,0
KME,5,20210309,110000,1.04,1.04,1.04,1.04,1,0
KME,5,20210309,112500,1.04,1.04,1.04,1.04,2500,0
KME,5,20210310,150000,1.1,1.1,1.1,1.1,1,0
KME,5,20210311,110000,1.1,1.1,1.1,1.1,1007,0
KME,5,20210312,110000,1.1,1.1,1.1,1.1,4,0
KME,5,20210315,110000,1.1,1.1,1.1,1.1,1,0
KME,5,20210316,110000,1.1,1.1,1.1,1.1,1,0
KME,5,20210317,110000,1.1,1.1,1.1,1.1,2,0
KME,5,20210318,110000,1,1,1,1,5300,0
KME,5,20210318,150000,1.09,1.09,1.09,1.09,3,0
KME,5,20210319,110000,1.09,1.09,1.09,1.09,600,0
KME,5,20210322,110000,0.995,0.995,0.995,0.995,1104,0
KME,5,20210322,112500,0.995,0.995,0.995,0.995,2200,0
KME,5,20210322,150000,1.04,1.04,1.04,1.04,1,0
KME,5,20210323,110000,1.02,1.02,1.02,1.02,2,0
KME,5,20210323,150000,0.99,0.99,0.99,0.99,460,0
KME,5,20210324,110000,0.99,0.99,0.99,0.99,1000,0
KME,5,20210324,150000,1,1,1,1,1193,0
KME,5,20210325,110000,1.01,1.01,1.01,1.01,2000,0
KME,5,20210325,150000,1,1,1,1,2000,0
KME,5,20210326,110000,0.99,0.99,0.99,0.99,1000,0
KME,5,20210326,150000,0.995,0.995,0.995,0.995,500,0
