<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KOR,5,20210205,123000,5.1,5.1,5.1,5.1,195,0
KOR,5,20210208,094000,5,5,5,5,150,0
KOR,5,20210208,130500,5,5,5,5,50,0
KOR,5,20210208,131500,5,5,5,5,500,0
KOR,5,20210210,143500,5.15,5.15,5.15,5.15,390,0
KOR,5,20210211,093500,5.15,5.15,5.15,5.15,390,0
KOR,5,20210212,090000,5.3,6.35,5.3,6.35,4697,0
KOR,5,20210212,090500,6.35,6.35,6.35,6.35,1190,0
KOR,5,20210212,151000,6.8,6.8,6.8,6.8,1900,0
KOR,5,20210212,151500,7.05,7.05,7.05,7.05,608,0
KOR,5,20210212,154000,7.4,7.4,7.4,7.4,583,0
KOR,5,20210212,164500,7.6,7.6,7.6,7.6,599,0
KOR,5,20210215,090000,9,9,7.6,7.6,1612,0
KOR,5,20210215,091000,8.5,8.5,8.45,8.45,24,0
KOR,5,20210215,092000,9,9.55,9,9.55,1824,0
KOR,5,20210215,093000,9.4,9.4,9.4,9.4,1000,0
KOR,5,20210215,093500,9.45,9.5,9.45,9.5,322,0
KOR,5,20210215,094000,9.45,9.5,9.45,9.5,231,0
KOR,5,20210215,094500,9.45,9.45,9.45,9.45,10,0
KOR,5,20210215,095000,9.45,10,9.45,9.8,2317,0
KOR,5,20210215,100000,9.8,9.8,9.8,9.8,50,0
KOR,5,20210215,101500,9.8,10,9.8,9.9,236,0
KOR,5,20210215,102000,9.9,10,9.9,10,4914,0
KOR,5,20210216,093500,12,12,12,12,1074,0
KOR,5,20210216,094000,12.7,14,12.1,14,1011,0
KOR,5,20210216,094500,14,14,13.5,13.5,3053,0
KOR,5,20210216,095000,13,13.9,12.7,13.9,465,0
KOR,5,20210216,095500,13.9,14.4,13.9,14.4,518,0
KOR,5,20210216,100000,13.5,14.4,13.5,14.2,406,0
KOR,5,20210216,100500,14,14,13.5,13.5,500,0
KOR,5,20210216,101000,14.2,14.4,14.2,14.4,236,0
KOR,5,20210216,101500,14.4,14.4,14.4,14.4,26,0
KOR,5,20210216,102000,14.4,14.4,14,14.2,241,0
KOR,5,20210216,102500,14,14.4,14,14.4,109,0
KOR,5,20210216,103000,14,14.4,14,14.4,32,0
KOR,5,20210216,103500,14,14,14,14,4,0
KOR,5,20210216,104000,14.3,14.3,13.6,13.6,301,0
KOR,5,20210216,104500,14.2,14.2,13.6,13.6,58,0
KOR,5,20210216,105000,13.6,14.4,13.6,14,918,0
KOR,5,20210216,105500,14.4,14.4,14.4,14.4,17,0
