<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPC,5,20210204,090000,2.94,2.94,2.94,2.94,526,0
KPC,5,20210204,101000,2.8,2.92,2.52,2.92,2793,0
KPC,5,20210204,104000,2.72,2.72,2.72,2.72,380,0
KPC,5,20210204,113500,2.7,2.7,2.7,2.7,50,0
KPC,5,20210204,114000,2.7,2.72,2.7,2.72,700,0
KPC,5,20210204,121500,2.58,2.7,2.58,2.7,556,0
KPC,5,20210204,124000,2.4,2.42,2.36,2.36,2395,0
KPC,5,20210204,124500,2.36,2.4,2.36,2.4,928,0
KPC,5,20210204,125000,2.36,2.52,2.36,2.52,512,0
KPC,5,20210204,141000,2.38,2.38,2.36,2.36,1000,0
KPC,5,20210204,142500,2.48,2.48,2.48,2.48,100,0
KPC,5,20210204,150000,2.36,2.36,2.36,2.36,1130,0
KPC,5,20210204,151000,2.52,2.52,2.52,2.52,11,0
KPC,5,20210204,153000,2.48,2.54,2.48,2.54,987,0
KPC,5,20210204,160000,2.46,2.46,2.46,2.46,100,0
KPC,5,20210204,164500,2.36,2.68,2.36,2.68,1780,0
KPC,5,20210205,091000,2.52,2.52,2.52,2.52,405,0
KPC,5,20210205,094000,2.68,2.68,2.68,2.68,50,0
KPC,5,20210205,094500,2.46,2.46,2.46,2.46,1000,0
KPC,5,20210205,095500,2.66,2.66,2.66,2.66,15,0
KPC,5,20210205,101500,2.46,2.6,2.36,2.6,3312,0
KPC,5,20210205,102500,2.5,2.5,2.4,2.4,510,0
KPC,5,20210205,104000,2.64,2.64,2.5,2.5,417,0
KPC,5,20210205,104500,2.5,2.5,2.5,2.5,5,0
KPC,5,20210205,105000,2.44,2.44,2.44,2.44,174,0
KPC,5,20210205,111000,2.56,2.7,2.56,2.68,1164,0
KPC,5,20210205,111500,2.7,2.72,2.7,2.72,80,0
KPC,5,20210205,114000,2.68,2.68,2.68,2.68,369,0
KPC,5,20210205,115500,2.58,2.68,2.46,2.68,2012,0
KPC,5,20210205,122000,2.46,2.6,2.36,2.6,1512,0
KPC,5,20210205,125500,2.58,2.58,2.58,2.58,100,0
KPC,5,20210205,133000,2.52,2.52,2.4,2.4,1407,0
KPC,5,20210205,150000,2.4,2.4,2.4,2.4,258,0
