<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBD,5,20210210,120000,0.25,0.25,0.25,0.25,2002,0
LBD,5,20210210,123500,0.25,0.25,0.25,0.25,1200,0
LBD,5,20210217,110000,0.25,0.25,0.25,0.25,100,0
LBD,5,20210224,110000,0.25,0.25,0.25,0.25,1,0
LBD,5,20210310,110000,0.24,0.24,0.24,0.24,1,0
LBD,5,20210310,110500,0.24,0.24,0.24,0.24,672,0
LBD,5,20210310,113500,0.24,0.24,0.24,0.24,500,0
LBD,5,20210310,122000,0.24,0.24,0.24,0.24,500,0
LBD,5,20210317,110000,0.24,0.24,0.24,0.24,1801,0
LBD,5,20210317,111000,0.24,0.24,0.24,0.24,1882,0
LBD,5,20210324,110000,0.24,0.24,0.24,0.24,200,0
LBD,5,20210324,115500,0.24,0.24,0.24,0.24,500,0
LBD,5,20210324,121000,0.24,0.24,0.24,0.24,700,0
