<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGT,5,20210204,123500,1.06,1.06,1.06,1.06,500,0
LGT,5,20210204,124000,1.05,1.05,1.05,1.05,777,0
LGT,5,20210204,131000,1.05,1.05,1,1,12388,0
LGT,5,20210204,142000,1.08,1.08,1.08,1.08,258,0
LGT,5,20210204,151000,1.08,1.08,1.08,1.08,500,0
LGT,5,20210204,152500,1.02,1.08,1,1.08,3380,0
LGT,5,20210205,105000,0.995,0.995,0.995,0.995,130,0
LGT,5,20210205,124500,1.06,1.06,1.06,1.06,1600,0
LGT,5,20210205,125000,1.08,1.08,1.08,1.08,1,0
LGT,5,20210205,132500,1.08,1.08,1.08,1.08,1303,0
LGT,5,20210210,114000,0.995,0.995,0.99,0.99,7191,0
LGT,5,20210210,114500,0.97,0.97,0.97,0.97,1000,0
LGT,5,20210210,121000,0.97,0.97,0.95,0.95,6623,0
LGT,5,20210210,132500,0.995,0.995,0.995,0.995,1197,0
LGT,5,20210210,133000,0.95,0.95,0.94,0.94,1220,0
LGT,5,20210211,090000,1.08,1.08,1.08,1.08,5,0
LGT,5,20210211,092000,1.04,1.04,1.04,1.04,5000,0
LGT,5,20210211,110500,0.99,0.99,0.98,0.98,5000,0
LGT,5,20210211,111500,0.98,0.98,0.98,0.98,1000,0
LGT,5,20210211,113500,0.98,0.98,0.98,0.98,870,0
LGT,5,20210211,115000,1.01,1.01,1.01,1.01,5000,0
LGT,5,20210211,132500,0.98,0.98,0.94,0.94,12955,0
LGT,5,20210211,133500,0.99,1.01,0.99,1.01,2042,0
LGT,5,20210211,142500,1.01,1.01,1.01,1.01,3749,0
LGT,5,20210211,164500,0.98,0.98,0.98,0.98,1200,0
LGT,5,20210212,095000,1.05,1.05,1.05,1.05,10000,0
LGT,5,20210212,095500,1.05,1.05,1.05,1.05,1706,0
LGT,5,20210212,105000,1.04,1.04,1.04,1.04,2834,0
LGT,5,20210212,113000,1.05,1.05,1.05,1.05,7000,0
LGT,5,20210212,142500,1.03,1.03,0.98,0.98,11321,0
LGT,5,20210212,143000,1.04,1.04,1.04,1.04,1,0
LGT,5,20210212,155500,1.01,1.01,1.01,1.01,1800,0
LGT,5,20210212,164000,1.02,1.03,1.02,1.03,1028,0
LGT,5,20210215,111500,1.02,1.02,1.02,1.02,1768,0
LGT,5,20210215,120000,0.98,0.98,0.94,0.94,4700,0
LGT,5,20210215,141000,0.94,0.94,0.935,0.935,2800,0
LGT,5,20210215,162500,1.01,1.01,1.01,1.01,591,0
LGT,5,20210215,164500,1.01,1.01,1.01,1.01,100,0
LGT,5,20210217,093000,1.01,1.01,1.01,1.01,2300,0
LGT,5,20210217,120000,0.99,0.99,0.99,0.99,1700,0
LGT,5,20210217,143000,1.01,1.01,1.01,1.01,300,0
LGT,5,20210218,091000,0.935,0.935,0.93,0.93,3471,0
LGT,5,20210218,121500,0.93,0.93,0.93,0.93,6920,0
LGT,5,20210218,144000,0.93,0.93,0.93,0.93,200,0
LGT,5,20210218,155000,0.93,0.93,0.93,0.93,1951,0
LGT,5,20210219,095500,0.99,0.99,0.99,0.99,700,0
