<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKS,5,20210205,110000,0.2,0.2,0.2,0.2,8411,0
LKS,5,20210205,110500,0.2,0.2,0.2,0.2,8,0
LKS,5,20210205,150000,0.2,0.2,0.2,0.2,11589,0
LKS,5,20210208,150000,0.248,0.248,0.248,0.248,300,0
LKS,5,20210209,110000,0.244,0.244,0.244,0.244,150,0
LKS,5,20210210,110000,0.244,0.244,0.244,0.244,170,0
LKS,5,20210210,150000,0.244,0.244,0.244,0.244,100,0
LKS,5,20210211,110000,0.244,0.244,0.244,0.244,4048,0
LKS,5,20210212,150000,0.15,0.15,0.15,0.15,70929,0
LKS,5,20210212,152500,0.15,0.15,0.15,0.15,1001,0
LKS,5,20210215,110000,0.15,0.15,0.15,0.15,26456,0
LKS,5,20210215,150000,0.17,0.17,0.17,0.17,10000,0
LKS,5,20210215,150500,0.17,0.17,0.17,0.17,8000,0
LKS,5,20210216,110000,0.21,0.21,0.21,0.21,23830,0
LKS,5,20210216,150000,0.22,0.22,0.22,0.22,31598,0
LKS,5,20210217,110000,0.222,0.222,0.222,0.222,1010,0
LKS,5,20210217,150000,0.222,0.222,0.222,0.222,3000,0
LKS,5,20210218,110000,0.22,0.22,0.22,0.22,12600,0
LKS,5,20210219,110000,0.208,0.208,0.208,0.208,1364,0
LKS,5,20210222,110000,0.196,0.196,0.196,0.196,9779,0
LKS,5,20210224,110000,0.208,0.208,0.208,0.208,259,0
LKS,5,20210225,110000,0.222,0.222,0.222,0.222,10,0
LKS,5,20210225,150000,0.248,0.248,0.248,0.248,235,0
LKS,5,20210226,110000,0.25,0.25,0.25,0.25,10,0
LKS,5,20210301,110000,0.25,0.25,0.25,0.25,7010,0
LKS,5,20210302,110000,0.25,0.25,0.25,0.25,2410,0
LKS,5,20210302,112000,0.25,0.25,0.25,0.25,1000,0
LKS,5,20210303,110000,0.25,0.25,0.25,0.25,13323,0
LKS,5,20210304,110000,0.326,0.326,0.326,0.326,4400,0
LKS,5,20210304,110500,0.326,0.326,0.326,0.326,315,0
LKS,5,20210304,112000,0.326,0.326,0.326,0.326,185,0
LKS,5,20210304,150000,0.35,0.35,0.35,0.35,4200,0
LKS,5,20210305,152500,0.45,0.45,0.45,0.45,16500,0
LKS,5,20210308,110000,0.43,0.43,0.43,0.43,16910,0
LKS,5,20210308,110500,0.43,0.43,0.43,0.43,1938,0
LKS,5,20210308,111500,0.43,0.43,0.43,0.43,2062,0
LKS,5,20210308,112000,0.43,0.43,0.43,0.43,1000,0
LKS,5,20210308,150000,0.4,0.4,0.4,0.4,705,0
LKS,5,20210309,110000,0.4,0.4,0.4,0.4,10,0
LKS,5,20210309,150500,0.4,0.4,0.4,0.4,3000,0
LKS,5,20210309,151500,0.4,0.4,0.4,0.4,318,0
LKS,5,20210310,110000,0.39,0.39,0.39,0.39,263,0
LKS,5,20210310,150000,0.39,0.39,0.39,0.39,319,0
LKS,5,20210311,110000,0.41,0.41,0.41,0.41,110,0
LKS,5,20210312,150000,0.38,0.38,0.38,0.38,1,0
LKS,5,20210316,110000,0.38,0.38,0.38,0.38,89,0
LKS,5,20210316,150000,0.38,0.38,0.38,0.38,41,0
LKS,5,20210316,150500,0.38,0.38,0.38,0.38,48,0
LKS,5,20210317,110000,0.4,0.4,0.4,0.4,100,0
LKS,5,20210317,111000,0.4,0.4,0.4,0.4,910,0
LKS,5,20210317,150000,0.4,0.4,0.4,0.4,101,0
LKS,5,20210318,110000,0.4,0.4,0.4,0.4,4989,0
LKS,5,20210318,150000,0.39,0.39,0.39,0.39,1121,0
LKS,5,20210319,110000,0.39,0.39,0.39,0.39,10,0
LKS,5,20210324,150000,0.39,0.39,0.39,0.39,10,0
LKS,5,20210325,110000,0.39,0.39,0.39,0.39,10,0
LKS,5,20210326,110000,0.39,0.39,0.39,0.39,10,0
