<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPS,5,20210204,090000,0.182,0.2,0.182,0.2,274258,0
LPS,5,20210204,090500,0.199,0.199,0.19,0.197,107264,0
LPS,5,20210204,091000,0.197,0.199,0.197,0.198,88485,0
LPS,5,20210204,091500,0.198,0.198,0.195,0.198,29600,0
LPS,5,20210204,092500,0.192,0.196,0.191,0.196,23659,0
LPS,5,20210204,093000,0.192,0.196,0.192,0.196,14801,0
LPS,5,20210204,093500,0.196,0.197,0.196,0.196,46982,0
LPS,5,20210204,094000,0.198,0.198,0.196,0.196,45352,0
LPS,5,20210204,094500,0.193,0.193,0.19,0.19,24000,0
LPS,5,20210204,095000,0.19,0.19,0.183,0.183,83685,0
LPS,5,20210204,095500,0.183,0.183,0.18,0.182,219278,0
LPS,5,20210204,100000,0.193,0.193,0.193,0.193,355,0
LPS,5,20210204,100500,0.192,0.192,0.192,0.192,2000,0
LPS,5,20210204,101000,0.19,0.192,0.19,0.192,16000,0
LPS,5,20210204,102000,0.187,0.19,0.186,0.19,40000,0
LPS,5,20210204,102500,0.189,0.189,0.189,0.189,6000,0
LPS,5,20210204,103500,0.188,0.188,0.188,0.188,2180,0
LPS,5,20210204,105500,0.184,0.184,0.184,0.184,2000,0
LPS,5,20210204,110000,0.184,0.184,0.184,0.184,8645,0
LPS,5,20210204,111500,0.184,0.184,0.182,0.182,17500,0
LPS,5,20210204,113000,0.182,0.184,0.182,0.184,30922,0
LPS,5,20210204,113500,0.184,0.184,0.184,0.184,13000,0
LPS,5,20210204,115000,0.183,0.183,0.183,0.183,6203,0
LPS,5,20210204,115500,0.183,0.183,0.183,0.183,1820,0
LPS,5,20210204,121000,0.183,0.183,0.181,0.181,18985,0
LPS,5,20210204,121500,0.187,0.189,0.187,0.189,22000,0
LPS,5,20210204,123000,0.188,0.188,0.188,0.188,740,0
LPS,5,20210204,123500,0.185,0.185,0.185,0.185,10000,0
LPS,5,20210204,133000,0.182,0.182,0.18,0.18,100000,0
LPS,5,20210204,133500,0.181,0.181,0.18,0.18,5000,0
LPS,5,20210204,134000,0.183,0.183,0.183,0.183,2000,0
LPS,5,20210204,134500,0.184,0.184,0.184,0.184,1000,0
LPS,5,20210204,142500,0.184,0.185,0.184,0.185,9000,0
LPS,5,20210204,144000,0.185,0.185,0.185,0.185,5650,0
LPS,5,20210204,150000,0.182,0.182,0.182,0.182,1435,0
LPS,5,20210204,151000,0.185,0.185,0.185,0.185,9700,0
LPS,5,20210204,151500,0.185,0.187,0.185,0.187,30000,0
LPS,5,20210204,152000,0.187,0.187,0.187,0.187,13300,0
LPS,5,20210204,152500,0.186,0.186,0.186,0.186,20000,0
LPS,5,20210204,153500,0.185,0.185,0.185,0.185,14000,0
LPS,5,20210204,154000,0.187,0.187,0.187,0.187,16535,0
LPS,5,20210204,155000,0.187,0.187,0.187,0.187,3465,0
LPS,5,20210204,155500,0.187,0.191,0.187,0.191,89735,0
LPS,5,20210204,160000,0.19,0.191,0.19,0.191,4257,0
LPS,5,20210204,160500,0.191,0.191,0.19,0.19,94078,0
LPS,5,20210204,161500,0.19,0.19,0.19,0.19,2449,0
LPS,5,20210204,162000,0.186,0.186,0.185,0.185,2000,0
LPS,5,20210204,162500,0.183,0.183,0.183,0.183,1449,0
LPS,5,20210204,163000,0.185,0.185,0.185,0.185,20000,0
LPS,5,20210204,164500,0.183,0.192,0.183,0.192,146364,0
LPS,5,20210205,090000,0.192,0.192,0.192,0.192,984,0
LPS,5,20210205,091500,0.187,0.187,0.187,0.187,7342,0
LPS,5,20210205,092000,0.187,0.19,0.186,0.19,51987,0
LPS,5,20210205,092500,0.186,0.186,0.183,0.183,29000,0
LPS,5,20210205,093500,0.184,0.184,0.183,0.183,50000,0
LPS,5,20210205,101500,0.185,0.185,0.183,0.183,30000,0
LPS,5,20210205,102500,0.186,0.186,0.183,0.183,12000,0
LPS,5,20210205,104500,0.183,0.183,0.183,0.183,16116,0
LPS,5,20210205,105000,0.183,0.183,0.182,0.182,34978,0
LPS,5,20210205,110500,0.182,0.182,0.181,0.181,30415,0
LPS,5,20210205,112000,0.186,0.186,0.186,0.186,1000,0
LPS,5,20210205,112500,0.181,0.181,0.18,0.18,135708,0
LPS,5,20210205,114000,0.183,0.183,0.183,0.183,900,0
LPS,5,20210205,114500,0.183,0.197,0.183,0.197,256949,0
LPS,5,20210205,115000,0.196,0.226,0.196,0.224,1354659,0
LPS,5,20210205,115500,0.22,0.22,0.204,0.212,540893,0
LPS,5,20210205,120000,0.21,0.21,0.198,0.202,284472,0
LPS,5,20210205,120500,0.2,0.202,0.197,0.202,112807,0
LPS,5,20210205,121000,0.202,0.208,0.2,0.202,139037,0
LPS,5,20210205,121500,0.206,0.208,0.202,0.202,135702,0
LPS,5,20210205,122000,0.206,0.21,0.206,0.21,99712,0
