<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUG,5,20210204,093500,8.1,8.1,8.1,8.1,50,0
LUG,5,20210204,104000,8.1,8.1,8.1,8.1,250,0
LUG,5,20210204,120500,8.1,8.35,8.1,8.35,2350,0
LUG,5,20210204,140500,8.3,8.3,8.3,8.3,50,0
LUG,5,20210204,164000,8.3,8.3,8.3,8.3,100,0
LUG,5,20210205,090000,8.45,8.45,8.45,8.45,950,0
LUG,5,20210205,091500,8.3,8.3,8,8,3000,0
LUG,5,20210205,092000,8.4,8.45,8.4,8.45,393,0
LUG,5,20210205,095500,8.3,8.3,8.1,8.1,3000,0
LUG,5,20210205,100000,8.4,8.4,8.4,8.4,300,0
LUG,5,20210205,111000,8.45,8.9,8.45,8.9,924,0
LUG,5,20210205,111500,8.9,9.1,8.9,9.1,860,0
LUG,5,20210205,112000,9.1,9.1,8.9,8.9,897,0
LUG,5,20210205,112500,9,9,9,9,450,0
LUG,5,20210205,113000,9.05,9.05,9.05,9.05,483,0
LUG,5,20210205,113500,9.05,9.05,8.85,8.85,362,0
LUG,5,20210205,120000,9.05,9.05,9.05,9.05,183,0
LUG,5,20210205,120500,8.95,8.95,8.6,8.6,7626,0
LUG,5,20210205,121500,8.7,8.7,8.7,8.7,1000,0
LUG,5,20210205,122000,8.9,9,8.9,9,1012,0
LUG,5,20210205,122500,8.7,8.7,8.7,8.7,2000,0
LUG,5,20210205,123500,8.9,8.9,8.9,8.9,300,0
LUG,5,20210205,131000,9,9,9,9,2348,0
LUG,5,20210205,131500,8.9,8.9,8.7,8.7,653,0
LUG,5,20210205,142500,9,9,9,9,300,0
LUG,5,20210208,090000,8.95,8.95,8.95,8.95,249,0
LUG,5,20210208,092000,8.95,9.2,8.95,9.2,2368,0
LUG,5,20210208,092500,9.1,9.1,9.1,9.1,300,0
LUG,5,20210208,094000,9.2,9.3,9.2,9.3,100,0
LUG,5,20210208,095000,9.3,9.3,9.3,9.3,12,0
LUG,5,20210208,101000,9.05,9.05,9.05,9.05,4000,0
LUG,5,20210208,101500,9.25,9.3,9.25,9.3,200,0
LUG,5,20210208,102000,9.3,9.3,9.3,9.3,110,0
LUG,5,20210208,103500,9.3,9.3,9.3,9.3,108,0
LUG,5,20210208,105000,9.3,9.4,9.3,9.4,222,0
LUG,5,20210208,105500,9.4,9.55,9.4,9.55,592,0
LUG,5,20210208,113500,9.35,9.5,9.35,9.5,534,0
LUG,5,20210208,114000,9.55,9.55,9.55,9.55,101,0
LUG,5,20210208,115000,9.65,9.65,9.65,9.65,300,0
LUG,5,20210208,115500,9.65,9.65,9.5,9.5,455,0
LUG,5,20210208,120000,9.5,9.6,9.5,9.6,270,0
LUG,5,20210208,121000,9.6,9.6,9.6,9.6,200,0
LUG,5,20210208,132500,9.5,9.5,9.5,9.5,468,0
LUG,5,20210208,133500,9.5,9.5,9.5,9.5,250,0
LUG,5,20210208,140000,9.5,9.5,9.5,9.5,182,0
LUG,5,20210208,142500,9.6,9.6,9.6,9.6,475,0
LUG,5,20210208,144000,9.8,9.8,9.8,9.8,40,0
LUG,5,20210208,145500,9.65,9.65,9.65,9.65,1000,0
LUG,5,20210208,150000,9.8,9.85,9.8,9.85,110,0
LUG,5,20210208,155500,9.85,9.85,9.85,9.85,50,0
LUG,5,20210208,164500,9.8,9.8,9.8,9.8,45,0
LUG,5,20210209,090000,9.8,9.8,9.8,9.8,51,0
LUG,5,20210209,092500,9.5,9.5,9.5,9.5,500,0
LUG,5,20210209,093000,9.7,9.7,9.7,9.7,300,0
LUG,5,20210209,093500,9.7,9.7,9.7,9.7,500,0
LUG,5,20210209,104000,9.8,9.9,9.8,9.9,2578,0
LUG,5,20210209,104500,9.9,9.9,9.9,9.9,291,0
LUG,5,20210209,105500,10,10,10,10,250,0
LUG,5,20210209,110000,10,10.2,10,10,700,0
LUG,5,20210209,112500,10,10,10,10,150,0
LUG,5,20210209,113000,10,10,10,10,314,0
LUG,5,20210209,113500,10,10,10,10,200,0
LUG,5,20210209,114500,9.8,10,9.8,10,375,0
LUG,5,20210209,115000,10,10,10,10,321,0
LUG,5,20210209,120500,10,10,10,10,300,0
LUG,5,20210209,122000,10,10,10,10,39,0
LUG,5,20210209,122500,10,10,10,10,200,0
LUG,5,20210209,133500,10,10,10,10,800,0
LUG,5,20210209,142500,10,10,10,10,180,0
LUG,5,20210209,143500,9.7,9.7,9.7,9.7,180,0
LUG,5,20210209,144000,9.7,9.7,8.1,8.1,2136,0
LUG,5,20210209,145500,9.7,9.7,9.7,9.7,200,0
LUG,5,20210209,150500,9.7,10,9.7,10,200,0
LUG,5,20210209,154000,9.8,9.8,9.8,9.8,30,0
LUG,5,20210209,155000,9.8,10.1,9.5,9.5,3370,0
LUG,5,20210209,163000,9.9,9.9,9.9,9.9,50,0
LUG,5,20210209,164500,10,10,10,10,99,0
LUG,5,20210210,090000,9.95,9.95,9.95,9.95,327,0
LUG,5,20210210,092000,9.6,9.6,9.6,9.6,40,0
LUG,5,20210210,093500,9.95,9.95,9.95,9.95,2000,0
LUG,5,20210210,095000,9.6,9.6,9.6,9.6,150,0
LUG,5,20210210,104500,9.8,9.95,9.8,9.95,1501,0
LUG,5,20210210,113000,9.8,9.8,9.8,9.8,100,0
LUG,5,20210210,131500,9.6,9.6,9.6,9.6,1450,0
LUG,5,20210210,133000,9.6,9.6,9.6,9.6,300,0
LUG,5,20210210,152000,9.6,9.6,9.6,9.6,104,0
LUG,5,20210210,153000,9.5,9.5,9.5,9.5,166,0
LUG,5,20210210,155000,9.6,9.6,9.6,9.6,100,0
LUG,5,20210211,090000,9.5,9.5,9.5,9.5,34,0
LUG,5,20210211,094500,9.5,9.5,9.5,9.5,721,0
LUG,5,20210211,095000,9.5,9.5,9.5,9.5,501,0
LUG,5,20210211,102000,9.65,9.65,9.6,9.65,255,0
LUG,5,20210211,104500,9.65,9.65,9.65,9.65,66,0
LUG,5,20210211,105000,9.6,9.6,9.6,9.6,150,0
LUG,5,20210211,111500,9.5,9.5,9.5,9.5,150,0
LUG,5,20210211,113000,9.6,9.7,9.6,9.7,1000,0
LUG,5,20210211,115000,9.3,9.3,9.3,9.3,300,0
LUG,5,20210211,115500,9.3,9.3,9.3,9.3,100,0
LUG,5,20210211,124500,9.2,9.2,9.2,9.2,350,0
LUG,5,20210211,131500,9,9,9,9,100,0
LUG,5,20210211,132000,8.9,8.9,8.9,8.9,100,0
LUG,5,20210211,135500,8.9,8.9,8.85,8.85,500,0
LUG,5,20210211,140000,8.8,8.8,8.7,8.7,550,0
LUG,5,20210211,140500,8.8,8.8,8.8,8.8,100,0
LUG,5,20210211,142000,9,9,9,9,220,0
LUG,5,20210211,144500,9.15,9.15,9.15,9.15,200,0
LUG,5,20210211,145000,9.05,9.05,9,9,500,0
LUG,5,20210211,150000,9.2,9.2,9.2,9.2,91,0
LUG,5,20210211,150500,9.2,9.2,9.2,9.2,136,0
LUG,5,20210211,151000,9,9,9,9,700,0
LUG,5,20210211,153000,9.2,9.2,9.2,9.2,100,0
LUG,5,20210211,154000,9.3,9.3,9.3,9.3,300,0
LUG,5,20210211,155000,9.3,9.3,9.3,9.3,227,0
LUG,5,20210211,160500,9.3,9.75,9.3,9.75,2303,0
LUG,5,20210212,101000,9.3,9.3,9.2,9.2,400,0
LUG,5,20210212,103000,9.2,9.2,9.2,9.2,100,0
LUG,5,20210212,112500,9.3,9.3,9.3,9.3,128,0
LUG,5,20210212,113500,9.3,9.3,9.3,9.3,300,0
LUG,5,20210212,115000,9.5,9.5,9.5,9.5,40,0
LUG,5,20210212,124500,9.45,9.5,9.45,9.5,250,0
LUG,5,20210212,164500,9.2,9.2,9.2,9.2,830,0
LUG,5,20210215,092500,9,9.2,8.65,9.2,5100,0
LUG,5,20210215,102000,9.1,9.1,9.1,9.1,130,0
LUG,5,20210215,103500,8.9,8.9,8.8,8.8,552,0
LUG,5,20210215,132000,9.1,9.1,9.1,9.1,180,0
LUG,5,20210215,135500,9.1,9.1,9.1,9.1,230,0
LUG,5,20210215,141500,8.85,8.85,8.85,8.85,100,0
LUG,5,20210215,143500,8.85,8.85,8.85,8.85,100,0
LUG,5,20210215,144500,8.8,8.8,8.8,8.8,310,0
LUG,5,20210215,153500,8.85,8.85,8.85,8.85,10,0
LUG,5,20210215,155000,8.8,8.8,8.5,8.5,2490,0
LUG,5,20210215,155500,8.5,8.6,8.5,8.6,346,0
LUG,5,20210215,161000,8.8,8.8,8.8,8.8,100,0
LUG,5,20210215,163500,8.8,8.8,8.8,8.8,165,0
LUG,5,20210215,164500,8.6,8.6,8.6,8.6,750,0
LUG,5,20210216,091500,8.6,8.6,8.6,8.6,304,0
LUG,5,20210216,093000,8.6,8.6,8.6,8.6,96,0
LUG,5,20210216,103000,8.8,8.8,8.8,8.8,150,0
LUG,5,20210216,105500,8.8,9.05,8.8,9.05,630,0
LUG,5,20210216,112500,8.9,8.9,8.9,8.9,83,0
LUG,5,20210216,114500,8.9,8.9,8.9,8.9,300,0
LUG,5,20210216,131000,8.7,8.7,8.7,8.7,100,0
LUG,5,20210216,132000,8.7,8.7,8.7,8.7,27,0
LUG,5,20210217,090000,9,9,9,9,300,0
LUG,5,20210217,091500,9,9,9,9,350,0
LUG,5,20210217,115500,9,9.2,9,9.2,510,0
LUG,5,20210217,120000,9.4,9.6,9.4,9.6,490,0
LUG,5,20210217,121000,9,9.3,9,9,725,0
LUG,5,20210217,121500,8.85,8.85,8.6,8.6,3500,0
LUG,5,20210217,145500,9,9,9,9,30,0
LUG,5,20210217,152000,8.8,8.8,8.8,8.8,55,0
LUG,5,20210218,111000,9.05,9.05,9.05,9.05,150,0
LUG,5,20210218,144500,9,9.1,9,9.05,194,0
LUG,5,20210219,090000,9.1,9.1,9.1,9.1,10,0
LUG,5,20210219,090500,9,9,9,9,119,0
LUG,5,20210219,091500,9.1,9.5,9,9,3640,0
LUG,5,20210219,134500,9,9,9,9,215,0
LUG,5,20210219,160500,9,9,9,9,5,0
LUG,5,20210222,090000,8.7,8.7,8.7,8.7,300,0
LUG,5,20210222,090500,9,9.45,9,9.45,6300,0
LUG,5,20210222,110500,9.2,9.35,9.2,9.35,2300,0
LUG,5,20210222,112000,9.35,9.35,9.35,9.35,5000,0
LUG,5,20210222,125500,9,9,9,9,500,0
LUG,5,20210223,135500,8.9,8.9,8.9,8.9,465,0
LUG,5,20210223,140000,8.8,8.8,8.8,8.8,1,0
LUG,5,20210223,162500,8.7,8.7,8.7,8.7,900,0
LUG,5,20210223,163000,8.7,8.7,8.7,8.7,300,0
LUG,5,20210223,164500,9,9,9,9,30,0
LUG,5,20210224,090000,8.8,9.25,8.8,9.25,5300,0
LUG,5,20210224,102000,8.8,8.8,8.8,8.8,110,0
LUG,5,20210224,104000,8.8,8.8,8.8,8.8,90,0
LUG,5,20210224,113500,8.7,8.7,8.7,8.7,30,0
LUG,5,20210224,130000,8.7,8.7,8.7,8.7,270,0
LUG,5,20210224,134000,8.8,8.8,8.8,8.8,700,0
LUG,5,20210224,160000,9,9,9,9,110,0
LUG,5,20210225,090000,9,9.15,9,9.15,4300,0
LUG,5,20210225,091000,9,9,9,9,300,0
LUG,5,20210225,092500,8.8,8.8,8.8,8.8,200,0
LUG,5,20210225,102000,8.75,8.75,8.75,8.75,100,0
LUG,5,20210225,105000,8.75,8.75,8.75,8.75,400,0
LUG,5,20210225,140500,9,9,9,9,150,0
LUG,5,20210225,143500,8.8,8.8,8.8,8.8,300,0
LUG,5,20210225,153500,8.7,8.7,8.45,8.45,2350,0
LUG,5,20210225,154000,8.5,8.5,8.5,8.5,300,0
LUG,5,20210225,154500,8.35,8.35,8.3,8.3,3600,0
LUG,5,20210225,163000,8.35,8.35,8.35,8.35,180,0
LUG,5,20210226,091000,8.6,8.6,8.2,8.2,3150,0
LUG,5,20210226,100000,8.4,8.4,8.4,8.4,1,0
LUG,5,20210226,110000,8.4,8.4,8.4,8.4,150,0
LUG,5,20210226,140500,8.15,8.15,7.9,7.9,3293,0
LUG,5,20210226,144500,8.2,8.55,8.2,8.55,301,0
LUG,5,20210226,154000,8.4,8.4,8.4,8.4,10,0
LUG,5,20210301,090000,8.4,8.4,8.4,8.4,400,0
LUG,5,20210301,115000,8.4,8.4,8.4,8.4,300,0
LUG,5,20210301,150500,8.5,8.5,8.5,8.5,200,0
LUG,5,20210301,164000,8.5,8.6,8.5,8.6,201,0
LUG,5,20210302,090000,8.6,8.75,8.6,8.75,399,0
LUG,5,20210302,090500,8.6,8.6,8.6,8.6,10,0
LUG,5,20210302,095500,8.6,8.75,8.6,8.75,801,0
LUG,5,20210302,134000,8.75,8.75,8.75,8.75,56,0
LUG,5,20210302,153500,8.75,8.8,8.75,8.8,188,0
LUG,5,20210303,090500,8.8,8.95,8.8,8.95,3300,0
LUG,5,20210303,111500,8.75,8.75,8.75,8.75,135,0
LUG,5,20210303,112500,8.75,8.75,8.75,8.75,440,0
LUG,5,20210303,120000,8.8,8.8,8.8,8.8,227,0
LUG,5,20210303,150500,8.9,8.9,8.9,8.9,300,0
LUG,5,20210303,155500,8.7,8.7,8.7,8.7,300,0
