<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUK,5,20210204,090000,0.85,0.85,0.85,0.85,10000,0
LUK,5,20210204,090500,0.82,0.82,0.82,0.82,936,0
LUK,5,20210204,092500,0.84,0.85,0.84,0.85,1301,0
LUK,5,20210204,111500,0.85,0.85,0.85,0.85,300,0
LUK,5,20210204,112000,0.875,0.875,0.875,0.875,99,0
LUK,5,20210205,095500,0.875,0.875,0.875,0.875,340,0
LUK,5,20210208,090000,0.875,0.875,0.875,0.875,41,0
LUK,5,20210208,102000,0.87,0.87,0.87,0.87,200,0
LUK,5,20210210,094000,0.81,0.81,0.8,0.8,2971,0
LUK,5,20210210,103000,0.8,0.8,0.75,0.75,3729,0
LUK,5,20210210,110000,0.8,0.8,0.8,0.8,1999,0
LUK,5,20210210,155500,0.82,0.82,0.82,0.82,50,0
LUK,5,20210212,122000,0.74,0.74,0.74,0.74,100,0
LUK,5,20210212,122500,0.8,0.8,0.8,0.8,5,0
LUK,5,20210212,135500,0.8,0.8,0.8,0.8,100,0
LUK,5,20210212,160500,0.8,0.82,0.8,0.82,3415,0
LUK,5,20210212,164500,0.885,0.885,0.885,0.885,150,0
LUK,5,20210215,090000,0.87,0.87,0.87,0.87,1373,0
LUK,5,20210215,103500,0.815,0.815,0.81,0.81,3565,0
LUK,5,20210215,104000,0.86,0.86,0.86,0.86,61,0
LUK,5,20210216,090500,0.82,0.82,0.82,0.82,2362,0
LUK,5,20210216,092000,0.82,0.82,0.82,0.82,2638,0
LUK,5,20210216,093000,0.88,0.88,0.88,0.88,255,0
LUK,5,20210216,105500,0.85,0.85,0.85,0.85,80,0
LUK,5,20210216,113500,0.85,0.85,0.85,0.85,80,0
LUK,5,20210216,152000,0.83,0.83,0.83,0.83,2000,0
LUK,5,20210219,133500,0.87,0.87,0.87,0.87,5,0
LUK,5,20210222,104500,0.86,0.86,0.86,0.86,1621,0
LUK,5,20210222,144000,0.86,0.86,0.86,0.86,15,0
LUK,5,20210223,090000,0.8,0.8,0.8,0.8,1250,0
LUK,5,20210223,131500,0.78,0.78,0.78,0.78,1200,0
LUK,5,20210223,133000,0.78,0.78,0.78,0.78,83,0
LUK,5,20210224,091000,0.76,0.76,0.76,0.76,1316,0
LUK,5,20210224,144500,0.75,0.75,0.75,0.75,1000,0
LUK,5,20210225,134500,0.76,0.76,0.76,0.76,13,0
LUK,5,20210225,135500,0.72,0.72,0.72,0.72,774,0
LUK,5,20210225,144500,0.72,0.72,0.72,0.72,26,0
LUK,5,20210225,153500,0.71,0.71,0.71,0.71,650,0
LUK,5,20210225,161000,0.7,0.7,0.7,0.7,1324,0
LUK,5,20210301,143500,0.75,0.75,0.75,0.75,100,0
LUK,5,20210302,095500,0.76,0.76,0.76,0.76,100,0
LUK,5,20210304,090000,0.7,0.7,0.68,0.68,3099,0
LUK,5,20210304,090500,0.69,0.72,0.69,0.72,1500,0
LUK,5,20210304,091500,0.68,0.72,0.68,0.72,2970,0
LUK,5,20210304,145500,0.68,0.68,0.66,0.66,1000,0
LUK,5,20210304,151000,0.69,0.72,0.69,0.72,1500,0
LUK,5,20210305,141000,0.74,0.74,0.74,0.74,50,0
LUK,5,20210309,141500,0.68,0.68,0.68,0.68,1153,0
LUK,5,20210310,101500,0.74,0.74,0.74,0.74,50,0
LUK,5,20210310,102000,0.74,0.74,0.74,0.74,162,0
LUK,5,20210310,105000,0.66,0.66,0.66,0.66,1500,0
LUK,5,20210310,105500,0.63,0.63,0.63,0.63,9000,0
LUK,5,20210310,110000,0.63,0.63,0.63,0.63,4989,0
LUK,5,20210311,124000,0.68,0.68,0.68,0.68,5,0
LUK,5,20210315,092000,0.68,0.73,0.68,0.73,1500,0
LUK,5,20210317,144000,0.73,0.73,0.73,0.73,101,0
LUK,5,20210318,162000,0.725,0.725,0.725,0.725,13,0
LUK,5,20210323,160500,0.725,0.74,0.725,0.74,9459,0
LUK,5,20210323,161500,0.76,0.76,0.76,0.76,40,0
LUK,5,20210324,092500,0.725,0.725,0.72,0.72,1930,0
LUK,5,20210325,104500,0.72,0.72,0.72,0.72,2769,0
LUK,5,20210325,105000,0.74,0.74,0.74,0.74,1380,0
LUK,5,20210325,112000,0.72,0.72,0.72,0.72,64,0
LUK,5,20210325,113500,0.74,0.74,0.74,0.74,550,0
LUK,5,20210325,115000,0.725,0.725,0.725,0.725,2620,0
LUK,5,20210325,124500,0.725,0.725,0.725,0.725,380,0
LUK,5,20210325,134000,0.72,0.72,0.72,0.72,970,0
LUK,5,20210325,161000,0.725,0.725,0.725,0.725,1900,0
