<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
M4B,5,20210210,110000,14.1,14.1,14.1,14.1,1590,0
M4B,5,20210210,122500,14.1,14.1,14.1,14.1,200,0
M4B,5,20210217,110000,14.1,14.1,14.1,14.1,500,0
M4B,5,20210224,110000,14.1,14.1,14.1,14.1,600,0
M4B,5,20210310,090000,14.1,14.1,14.1,14.1,590,0
M4B,5,20210310,091500,14.1,14.1,14.1,14.1,10,0
M4B,5,20210310,095500,16.9,16.9,14.2,14.2,25,0
M4B,5,20210310,100500,14.4,14.4,14.4,14.4,160,0
M4B,5,20210310,103500,14.1,14.1,14.1,14.1,15,0
M4B,5,20210310,122000,14.4,14.4,14.4,14.4,60,0
M4B,5,20210310,164500,14.4,14.4,14.4,14.4,1,0
M4B,5,20210311,090000,14.4,14.4,14.4,14.4,9,0
M4B,5,20210311,100000,15,15,15,15,18,0
M4B,5,20210311,164500,14.4,14.4,14.4,14.4,482,0
M4B,5,20210312,090000,12.3,12.3,12.3,12.3,30,0
M4B,5,20210312,094500,12.5,12.5,12.5,12.5,10,0
M4B,5,20210312,104500,12.6,12.6,12.6,12.6,10,0
M4B,5,20210312,110000,12.7,12.7,12.7,12.7,10,0
M4B,5,20210312,113000,12.8,12.8,12.8,12.8,10,0
M4B,5,20210312,160500,14.7,14.7,14.7,14.7,20,0
M4B,5,20210312,161000,16.6,16.6,16.6,16.6,100,0
M4B,5,20210312,162000,16.6,16.6,15,15,180,0
M4B,5,20210312,163500,15.5,15.5,14.4,15,450,0
M4B,5,20210312,164500,14.4,14.4,14.4,14.4,394,0
M4B,5,20210315,090000,15.8,15.8,15.8,15.8,16,0
M4B,5,20210315,093500,15.8,15.8,15.8,15.8,9,0
M4B,5,20210315,112500,15.1,15.1,15,15,530,0
M4B,5,20210315,145000,14.5,14.5,14.5,14.5,200,0
M4B,5,20210316,090000,14.8,14.8,14.8,14.8,10,0
M4B,5,20210316,105500,14.8,14.8,14.8,14.8,89,0
M4B,5,20210316,113000,14.8,14.8,14.8,14.8,10,0
M4B,5,20210317,090000,14.8,14.8,14.8,14.8,10,0
M4B,5,20210317,091000,14.8,14.8,14.8,14.8,10,0
M4B,5,20210317,130000,14.8,14.8,14.8,14.8,20,0
M4B,5,20210317,132500,14.8,15.6,14.8,15.6,61,0
M4B,5,20210317,134500,15.6,15.6,15.6,15.6,20,0
M4B,5,20210317,141000,14.5,14.5,14.5,14.5,200,0
M4B,5,20210318,090000,14.8,14.8,14.8,14.8,10,0
M4B,5,20210318,101000,14,14.7,14,14.7,85,0
M4B,5,20210319,090000,14.7,14.7,14.7,14.7,31,0
M4B,5,20210319,111500,14.7,14.7,14.7,14.7,9,0
M4B,5,20210319,133500,14.7,14.7,14.7,14.7,25,0
M4B,5,20210319,141500,14.8,14.8,14.8,14.8,10,0
M4B,5,20210319,142000,14.8,14.8,14.8,14.8,35,0
M4B,5,20210322,090000,14.8,14.8,14.8,14.8,10,0
M4B,5,20210322,120500,14.8,14.8,14.8,14.8,68,0
M4B,5,20210322,154500,14,14,14,14,110,0
M4B,5,20210323,090000,14.4,14.4,14.4,14.4,10,0
M4B,5,20210323,124500,13.9,13.9,13.9,13.9,100,0
M4B,5,20210323,125500,13.7,13.7,13.4,13.4,400,0
M4B,5,20210324,090000,13.5,13.5,13.5,13.5,10,0
M4B,5,20210324,161500,13.5,13.5,13.5,13.5,105,0
M4B,5,20210325,095500,13,13,13,13,120,0
M4B,5,20210326,090000,13.1,13.1,13.1,13.1,10,0
