<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAD,5,20210204,090500,1.9,1.9,1.9,1.9,30,0
MAD,5,20210204,094500,2,2.08,2,2.08,1250,0
MAD,5,20210204,100000,2.04,2.04,2.04,2.04,250,0
MAD,5,20210205,094000,2.06,2.08,2.06,2.08,250,0
MAD,5,20210205,113000,2.08,2.08,2.08,2.08,970,0
MAD,5,20210205,115000,2.04,2.04,2.04,2.04,981,0
MAD,5,20210205,123500,2.08,2.08,2.04,2.04,397,0
MAD,5,20210205,135000,2.08,2.16,2.08,2.16,800,0
MAD,5,20210208,095500,2.16,2.16,2.16,2.16,431,0
MAD,5,20210208,100000,2.26,2.26,2.26,2.26,150,0
MAD,5,20210208,104500,2.24,2.24,2.24,2.24,69,0
MAD,5,20210208,132000,2.1,2.1,1.99,1.99,2994,0
MAD,5,20210208,133500,2.02,2.02,2.02,2.02,284,0
MAD,5,20210208,141500,2.08,2.08,2.08,2.08,216,0
MAD,5,20210209,103000,2.08,2.08,2.08,2.08,500,0
MAD,5,20210209,110000,2.08,2.26,2.08,2.26,646,0
MAD,5,20210209,110500,2.26,2.26,2.26,2.26,769,0
MAD,5,20210209,111000,2.3,2.32,2.3,2.32,1000,0
MAD,5,20210209,123500,2.32,2.32,2.32,2.32,429,0
MAD,5,20210209,124500,2.28,2.28,2.28,2.28,1000,0
MAD,5,20210209,130000,2.28,2.28,2.26,2.26,2000,0
MAD,5,20210209,131500,2.32,2.32,2.32,2.32,500,0
MAD,5,20210209,132000,2.28,2.32,2.28,2.32,2029,0
MAD,5,20210209,133000,2.32,2.48,2.3,2.48,8018,0
MAD,5,20210209,133500,2.48,2.48,2.46,2.48,4770,0
MAD,5,20210209,134000,2.48,2.48,2.48,2.48,1100,0
MAD,5,20210209,134500,2.48,2.48,2.48,2.48,550,0
MAD,5,20210209,135500,2.46,2.46,2.46,2.46,1405,0
MAD,5,20210209,141500,2.44,2.44,2.44,2.44,230,0
MAD,5,20210209,142000,2.42,2.48,2.4,2.48,2303,0
MAD,5,20210209,145000,2.46,2.46,2.4,2.4,1084,0
