<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBF,5,20210204,091000,3.38,3.38,3.38,3.38,300,0
MBF,5,20210204,091500,3.38,3.38,3.38,3.38,51,0
MBF,5,20210204,093000,3.34,3.34,3.34,3.34,369,0
MBF,5,20210204,095000,3.34,3.34,3.34,3.34,623,0
MBF,5,20210204,102500,3.38,3.38,3.38,3.38,651,0
MBF,5,20210204,103000,3.3,3.3,3.3,3.3,1,0
MBF,5,20210204,105000,3.36,3.36,3.36,3.36,150,0
MBF,5,20210204,110000,3.38,3.4,3.38,3.4,558,0
MBF,5,20210204,115000,3.4,3.4,3.4,3.4,850,0
MBF,5,20210204,115500,3.42,3.42,3.42,3.42,150,0
MBF,5,20210204,120000,3.42,3.42,3.42,3.42,600,0
MBF,5,20210204,123000,3.4,3.4,3.4,3.4,500,0
MBF,5,20210204,124500,3.4,3.4,3.4,3.4,500,0
MBF,5,20210204,134000,3.4,3.4,3.4,3.4,300,0
MBF,5,20210204,144500,3.4,3.4,3.4,3.4,200,0
MBF,5,20210204,145000,3.4,3.4,3.4,3.4,300,0
MBF,5,20210204,160000,3.4,3.42,3.4,3.42,192,0
MBF,5,20210205,093000,3.36,3.36,3.34,3.34,2200,0
MBF,5,20210205,103000,3.36,3.36,3.36,3.36,110,0
MBF,5,20210205,114000,3.4,3.4,3.4,3.4,100,0
MBF,5,20210205,115000,3.34,3.34,3.26,3.26,1300,0
MBF,5,20210205,121000,3.3,3.3,3.26,3.26,760,0
MBF,5,20210205,121500,3.4,3.44,3.4,3.44,2000,0
MBF,5,20210205,122500,3.44,3.46,3.44,3.46,352,0
MBF,5,20210205,132500,3.4,3.4,3.4,3.4,220,0
MBF,5,20210205,141500,3.32,3.32,3.32,3.32,1000,0
MBF,5,20210205,143500,3.32,3.32,3.3,3.3,3107,0
MBF,5,20210205,164000,3.38,3.38,3.38,3.38,1,0
MBF,5,20210208,091500,3.26,3.26,3.26,3.26,333,0
MBF,5,20210208,094000,3.26,3.26,3.2,3.2,2800,0
MBF,5,20210208,094500,3.22,3.22,3.22,3.22,12,0
MBF,5,20210208,102000,3.26,3.26,3.26,3.26,500,0
MBF,5,20210208,103000,3.3,3.3,3.3,3.3,331,0
MBF,5,20210208,120500,3.26,3.26,3.26,3.26,369,0
MBF,5,20210208,124500,3.26,3.26,3.24,3.24,1000,0
MBF,5,20210208,135000,3.28,3.28,3.28,3.28,120,0
MBF,5,20210208,135500,3.28,3.28,3.28,3.28,221,0
MBF,5,20210208,150500,3.28,3.28,3.28,3.28,550,0
MBF,5,20210208,155500,3.28,3.28,3.26,3.26,128,0
MBF,5,20210208,161500,3.26,3.26,3.26,3.26,1500,0
MBF,5,20210208,164500,3.3,3.3,3.3,3.3,50,0
MBF,5,20210209,092500,3.36,3.36,3.26,3.26,217,0
MBF,5,20210209,095500,3.26,3.26,3.26,3.26,1000,0
MBF,5,20210209,100000,3.26,3.26,3.26,3.26,1000,0
MBF,5,20210209,115500,3.26,3.26,3.26,3.26,120,0
MBF,5,20210209,124500,3.36,3.38,3.36,3.38,1582,0
MBF,5,20210209,153000,3.36,3.38,3.36,3.38,1000,0
MBF,5,20210209,155000,3.36,3.38,3.36,3.38,1000,0
MBF,5,20210209,161500,3.34,3.34,3.34,3.34,447,0
MBF,5,20210209,162000,3.34,3.38,3.3,3.3,1022,0
MBF,5,20210209,164500,3.38,3.38,3.38,3.38,10,0
MBF,5,20210210,111000,3.3,3.3,3.3,3.3,475,0
MBF,5,20210210,123500,3.38,3.38,3.38,3.38,7,0
MBF,5,20210211,091000,3.4,3.4,3.4,3.4,59,0
MBF,5,20210211,091500,3.5,3.52,3.5,3.52,2323,0
MBF,5,20210211,092000,3.54,3.54,3.54,3.54,100,0
MBF,5,20210211,092500,3.54,3.7,3.54,3.7,5871,0
MBF,5,20210211,093000,3.66,3.66,3.66,3.66,96,0
MBF,5,20210211,093500,3.64,3.64,3.64,3.64,100,0
MBF,5,20210211,094000,3.6,3.6,3.58,3.58,331,0
MBF,5,20210211,094500,3.52,3.52,3.5,3.5,775,0
MBF,5,20210211,095000,3.52,3.58,3.52,3.58,2887,0
MBF,5,20210211,095500,3.58,3.6,3.58,3.6,464,0
MBF,5,20210211,100000,3.58,3.58,3.58,3.58,800,0
MBF,5,20210211,103500,3.58,3.58,3.58,3.58,150,0
MBF,5,20210211,104500,3.58,3.58,3.58,3.58,3150,0
MBF,5,20210211,105000,3.58,3.6,3.58,3.58,9101,0
MBF,5,20210211,105500,3.64,3.68,3.64,3.68,1753,0
MBF,5,20210211,110000,3.66,3.66,3.66,3.66,289,0
MBF,5,20210211,111500,3.58,3.58,3.58,3.58,1000,0
MBF,5,20210211,113000,3.6,3.6,3.6,3.6,800,0
MBF,5,20210211,113500,3.6,3.66,3.6,3.66,1500,0
MBF,5,20210211,114500,3.66,3.66,3.66,3.66,1250,0
MBF,5,20210211,115000,3.66,3.68,3.6,3.6,820,0
MBF,5,20210211,115500,3.6,3.6,3.6,3.6,500,0
MBF,5,20210211,120000,3.68,3.74,3.68,3.74,4913,0
