<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCE,5,20210208,110000,0.68,0.68,0.68,0.68,12100,0
MCE,5,20210208,110500,0.68,0.68,0.68,0.68,1685,0
MCE,5,20210208,150000,0.68,0.68,0.68,0.68,6684,0
MCE,5,20210209,110000,0.68,0.68,0.68,0.68,4000,0
MCE,5,20210211,150000,0.68,0.68,0.68,0.68,4025,0
MCE,5,20210212,110000,0.8,0.8,0.8,0.8,106500,0
MCE,5,20210212,111000,0.8,0.8,0.8,0.8,200,0
MCE,5,20210212,112500,0.8,0.8,0.8,0.8,270,0
MCE,5,20210212,150000,0.8,0.8,0.8,0.8,76191,0
MCE,5,20210212,151000,0.8,0.8,0.8,0.8,190,0
MCE,5,20210212,152000,0.8,0.8,0.8,0.8,1500,0
MCE,5,20210215,110000,0.8,0.8,0.8,0.8,4492,0
MCE,5,20210215,110500,0.8,0.8,0.8,0.8,293,0
MCE,5,20210215,112000,0.8,0.8,0.8,0.8,3000,0
MCE,5,20210215,150000,0.82,0.82,0.82,0.82,2236,0
MCE,5,20210215,150500,0.82,0.82,0.82,0.82,500,0
MCE,5,20210216,110000,0.77,0.77,0.77,0.77,3413,0
MCE,5,20210216,150000,0.625,0.625,0.625,0.625,5300,0
MCE,5,20210216,150500,0.625,0.625,0.625,0.625,3000,0
MCE,5,20210217,110000,0.655,0.655,0.655,0.655,1550,0
MCE,5,20210217,111500,0.655,0.655,0.655,0.655,228,0
MCE,5,20210217,112500,0.655,0.655,0.655,0.655,152,0
MCE,5,20210217,150000,0.67,0.67,0.67,0.67,4600,0
MCE,5,20210217,150500,0.67,0.67,0.67,0.67,1000,0
MCE,5,20210218,110000,0.67,0.67,0.67,0.67,3000,0
MCE,5,20210218,150000,0.77,0.77,0.77,0.77,8026,0
MCE,5,20210218,150500,0.77,0.77,0.77,0.77,1300,0
MCE,5,20210218,151000,0.77,0.77,0.77,0.77,674,0
MCE,5,20210219,110000,0.75,0.75,0.75,0.75,3300,0
MCE,5,20210219,110500,0.75,0.75,0.75,0.75,7000,0
MCE,5,20210219,150000,0.75,0.75,0.75,0.75,86,0
MCE,5,20210222,112000,0.75,0.75,0.75,0.75,2740,0
MCE,5,20210222,150000,0.75,0.75,0.75,0.75,3000,0
MCE,5,20210223,110000,0.75,0.75,0.75,0.75,2000,0
MCE,5,20210223,150000,0.75,0.75,0.75,0.75,2000,0
MCE,5,20210224,110000,0.77,0.77,0.77,0.77,6,0
MCE,5,20210224,150000,0.75,0.75,0.75,0.75,380,0
MCE,5,20210225,110000,0.8,0.8,0.8,0.8,21826,0
MCE,5,20210225,110500,0.8,0.8,0.8,0.8,2060,0
MCE,5,20210225,111500,0.8,0.8,0.8,0.8,500,0
MCE,5,20210225,150000,0.8,0.8,0.8,0.8,4170,0
MCE,5,20210226,110000,0.83,0.83,0.83,0.83,100,0
MCE,5,20210226,110500,0.83,0.83,0.83,0.83,816,0
MCE,5,20210226,150000,0.84,0.84,0.84,0.84,3000,0
MCE,5,20210301,110000,0.89,0.89,0.89,0.89,24400,0
MCE,5,20210301,150000,0.89,0.89,0.89,0.89,2000,0
MCE,5,20210301,150500,0.89,0.89,0.89,0.89,4320,0
MCE,5,20210301,152000,0.89,0.89,0.89,0.89,5000,0
MCE,5,20210302,110000,0.89,0.89,0.89,0.89,2200,0
MCE,5,20210303,110000,0.87,0.87,0.87,0.87,2620,0
MCE,5,20210303,150000,0.85,0.85,0.85,0.85,3000,0
MCE,5,20210304,110000,0.82,0.82,0.82,0.82,20000,0
MCE,5,20210305,110000,0.84,0.84,0.84,0.84,1000,0
MCE,5,20210308,150000,0.81,0.81,0.81,0.81,5621,0
MCE,5,20210309,110000,0.86,0.86,0.86,0.86,6000,0
MCE,5,20210311,110000,0.84,0.84,0.84,0.84,200,0
MCE,5,20210312,150000,0.8,0.8,0.8,0.8,3000,0
MCE,5,20210315,110000,0.86,0.86,0.86,0.86,5000,0
MCE,5,20210315,150000,0.85,0.85,0.85,0.85,12739,0
MCE,5,20210317,150000,0.85,0.85,0.85,0.85,100,0
MCE,5,20210318,110000,0.86,0.86,0.86,0.86,3000,0
MCE,5,20210318,111000,0.86,0.86,0.86,0.86,2000,0
MCE,5,20210319,150000,0.87,0.87,0.87,0.87,700,0
MCE,5,20210322,110000,0.95,0.95,0.95,0.95,5000,0
MCE,5,20210322,150000,0.96,0.96,0.96,0.96,4800,0
MCE,5,20210322,151500,0.96,0.96,0.96,0.96,800,0
MCE,5,20210322,152000,0.96,0.96,0.96,0.96,4400,0
MCE,5,20210323,110000,0.99,0.99,0.99,0.99,3800,0
MCE,5,20210323,150000,1.5,1.5,1.5,1.5,7645,0
MCE,5,20210323,151000,1.5,1.5,1.5,1.5,15,0
MCE,5,20210324,110000,1.3,1.3,1.3,1.3,2242,0
MCE,5,20210324,110500,1.3,1.3,1.3,1.3,550,0
MCE,5,20210324,150000,1.3,1.3,1.3,1.3,1680,0
MCE,5,20210325,110000,1.3,1.3,1.3,1.3,1662,0
MCE,5,20210325,150000,1.2,1.2,1.2,1.2,1000,0
MCE,5,20210326,110000,1.15,1.15,1.15,1.15,1250,0
MCE,5,20210326,150000,1.1,1.1,1.1,1.1,2500,0
