<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDA,5,20210204,090000,1.04,1.04,1.03,1.03,20131,0
MDA,5,20210204,090500,1.04,1.04,1.04,1.04,200,0
MDA,5,20210204,091000,1.04,1.05,1.04,1.05,5010,0
MDA,5,20210204,091500,1.04,1.04,1.04,1.04,900,0
MDA,5,20210204,092000,1.03,1.04,1.03,1.04,9850,0
MDA,5,20210204,092500,1.04,1.04,1.04,1.04,1840,0
MDA,5,20210204,093000,1.05,1.06,1.05,1.05,33719,0
MDA,5,20210204,094000,1.05,1.05,1.04,1.04,2722,0
MDA,5,20210204,095000,1.05,1.05,1.05,1.05,1519,0
MDA,5,20210204,100000,1.04,1.04,1.04,1.04,2473,0
MDA,5,20210204,100500,1.05,1.05,1.04,1.04,5000,0
MDA,5,20210204,101500,1.05,1.05,1.05,1.05,6600,0
MDA,5,20210204,102500,1.04,1.04,1.03,1.03,91159,0
MDA,5,20210204,103500,1.03,1.03,1.03,1.03,3085,0
MDA,5,20210204,104000,1.03,1.03,1.03,1.03,915,0
MDA,5,20210204,104500,1.03,1.03,1.03,1.03,5000,0
MDA,5,20210204,105000,1.03,1.03,1.02,1.03,5901,0
MDA,5,20210204,111000,1.03,1.03,1.03,1.03,1000,0
MDA,5,20210204,111500,1.03,1.03,1.03,1.03,190,0
MDA,5,20210204,112000,1.03,1.03,1.03,1.03,459,0
MDA,5,20210204,113000,1.03,1.03,1.03,1.03,100,0
MDA,5,20210204,113500,1.04,1.04,1.04,1.04,3000,0
MDA,5,20210204,114000,1.03,1.03,1.03,1.03,2000,0
MDA,5,20210204,115500,1.03,1.03,1.01,1.01,129318,0
MDA,5,20210204,120000,1.01,1.02,1.01,1.01,195271,0
MDA,5,20210204,120500,1.03,1.03,1.03,1.03,17000,0
MDA,5,20210204,121000,1.03,1.03,1.03,1.03,50,0
MDA,5,20210204,121500,1.03,1.03,1.02,1.02,150,0
MDA,5,20210204,124500,1.03,1.03,1.03,1.03,950,0
MDA,5,20210204,125000,1.03,1.03,1.03,1.03,2043,0
MDA,5,20210204,125500,1.02,1.02,1.02,1.02,1,0
MDA,5,20210204,130500,1.02,1.04,1.02,1.04,2900,0
MDA,5,20210204,131000,1.03,1.04,1.02,1.04,8001,0
MDA,5,20210204,133000,1.03,1.03,1.03,1.03,1000,0
MDA,5,20210204,133500,1.04,1.04,1.04,1.04,2750,0
MDA,5,20210204,134000,1.02,1.02,1.02,1.02,1,0
MDA,5,20210204,134500,1.04,1.04,1.02,1.04,1179,0
MDA,5,20210204,135000,1.02,1.04,1.02,1.04,501,0
MDA,5,20210204,135500,1.03,1.03,1.03,1.03,2000,0
MDA,5,20210204,140000,1.03,1.03,1.03,1.03,500,0
MDA,5,20210204,143500,1.04,1.04,1.04,1.04,1,0
MDA,5,20210204,144000,1.04,1.04,1.04,1.04,5300,0
MDA,5,20210204,145000,1.04,1.05,1.04,1.05,9000,0
MDA,5,20210204,150500,1.03,1.03,1.03,1.03,3000,0
MDA,5,20210204,151500,1.03,1.03,1.03,1.03,1000,0
MDA,5,20210204,153000,1.04,1.04,1.04,1.04,7122,0
MDA,5,20210204,154500,1.04,1.04,1.04,1.04,20,0
MDA,5,20210204,160500,1.04,1.04,1.04,1.04,4750,0
MDA,5,20210204,161000,1.04,1.04,1.04,1.04,1100,0
MDA,5,20210204,161500,1.04,1.04,1.04,1.04,150,0
MDA,5,20210204,162000,1.04,1.04,1.04,1.04,6893,0
MDA,5,20210204,162500,1.04,1.04,1.03,1.04,2205,0
MDA,5,20210204,164000,1.03,1.03,1.02,1.02,7000,0
MDA,5,20210204,164500,1.03,1.05,1.02,1.05,6912,0
MDA,5,20210205,090000,1.08,1.13,1.08,1.12,607028,0
MDA,5,20210205,090500,1.11,1.11,1.07,1.09,66241,0
MDA,5,20210205,091000,1.09,1.1,1.07,1.08,36700,0
MDA,5,20210205,091500,1.07,1.07,1.06,1.07,32692,0
MDA,5,20210205,092000,1.06,1.08,1.06,1.08,34993,0
MDA,5,20210205,092500,1.08,1.09,1.08,1.09,21600,0
MDA,5,20210205,093000,1.09,1.09,1.08,1.08,5005,0
MDA,5,20210205,094000,1.08,1.08,1.07,1.07,4745,0
MDA,5,20210205,094500,1.07,1.08,1.07,1.08,7500,0
MDA,5,20210205,095000,1.08,1.08,1.08,1.08,2100,0
MDA,5,20210205,095500,1.07,1.07,1.07,1.07,3500,0
MDA,5,20210205,100000,1.08,1.08,1.07,1.08,14573,0
MDA,5,20210205,100500,1.08,1.08,1.08,1.08,21817,0
MDA,5,20210205,101000,1.08,1.09,1.08,1.08,20047,0
MDA,5,20210205,102000,1.08,1.08,1.08,1.08,2016,0
MDA,5,20210205,102500,1.07,1.07,1.07,1.07,4685,0
MDA,5,20210205,103000,1.06,1.07,1.06,1.07,25500,0
MDA,5,20210205,103500,1.07,1.07,1.05,1.05,95248,0
MDA,5,20210205,104000,1.05,1.05,1.05,1.05,31660,0
MDA,5,20210205,104500,1.05,1.06,1.05,1.06,33267,0
MDA,5,20210205,105000,1.05,1.05,1.05,1.05,6964,0
MDA,5,20210205,105500,1.06,1.07,1.06,1.07,14171,0
MDA,5,20210205,110000,1.07,1.07,1.07,1.07,200,0
MDA,5,20210205,111500,1.06,1.06,1.06,1.06,844,0
MDA,5,20210205,112000,1.06,1.06,1.06,1.06,10000,0
MDA,5,20210205,112500,1.05,1.05,1.05,1.05,15880,0
