<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDB,5,20210204,090000,4.42,4.42,4.42,4.42,10,0
MDB,5,20210204,091000,4.34,4.34,4.18,4.18,2760,0
MDB,5,20210204,091500,4.12,4.12,4.12,4.12,1786,0
MDB,5,20210204,092000,4.14,4.14,4.1,4.1,2680,0
MDB,5,20210204,092500,4.24,4.24,4.18,4.18,710,0
MDB,5,20210204,093000,4.12,4.12,4.12,4.12,1500,0
MDB,5,20210204,093500,4.22,4.22,4.22,4.22,50,0
MDB,5,20210204,094500,4.12,4.12,4.1,4.1,634,0
MDB,5,20210204,100500,4.2,4.2,4.1,4.1,2500,0
MDB,5,20210204,102000,4.12,4.12,4.12,4.12,486,0
MDB,5,20210204,102500,4.12,4.12,4.12,4.12,250,0
MDB,5,20210204,103500,4.2,4.2,4.2,4.2,110,0
MDB,5,20210204,104000,4.14,4.14,4.12,4.12,1000,0
MDB,5,20210204,112500,4.14,4.14,4.14,4.14,130,0
MDB,5,20210204,113000,4.16,4.16,4.16,4.16,33,0
MDB,5,20210204,115000,4.2,4.2,4.2,4.2,2371,0
MDB,5,20210204,115500,4.18,4.18,4.16,4.16,1000,0
MDB,5,20210204,120000,4.16,4.16,4.16,4.16,500,0
MDB,5,20210204,122500,4.16,4.16,4.16,4.16,100,0
MDB,5,20210204,123000,4.16,4.16,4.16,4.16,130,0
MDB,5,20210204,124500,4.16,4.16,4.16,4.16,256,0
MDB,5,20210204,130000,4.16,4.22,4.16,4.22,10,0
MDB,5,20210204,131500,4.14,4.14,4.1,4.1,2391,0
MDB,5,20210204,133000,4.2,4.2,4.2,4.2,10,0
MDB,5,20210204,145500,4.14,4.14,4.14,4.14,1000,0
MDB,5,20210204,150000,4.2,4.2,4.2,4.2,10,0
MDB,5,20210204,152500,4.14,4.2,4.14,4.2,510,0
MDB,5,20210204,154000,4.14,4.14,4.14,4.14,1820,0
MDB,5,20210204,154500,4.2,4.2,4.2,4.2,10,0
MDB,5,20210204,163500,4.14,4.14,4.02,4.02,2858,0
MDB,5,20210204,164000,4.1,4.1,4.1,4.1,50,0
