<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDN,5,20210204,103500,0.65,0.65,0.65,0.65,40,0
MDN,5,20210204,152500,0.65,0.65,0.55,0.55,7510,0
MDN,5,20210204,155000,0.545,0.545,0.545,0.545,370,0
MDN,5,20210204,160000,0.545,0.65,0.545,0.65,121,0
MDN,5,20210204,164500,0.545,0.545,0.545,0.545,280,0
MDN,5,20210208,114500,0.63,0.65,0.63,0.65,300,0
MDN,5,20210208,164500,0.585,0.585,0.585,0.585,500,0
MDN,5,20210209,103500,0.65,0.65,0.65,0.65,40,0
MDN,5,20210210,102000,0.65,0.65,0.65,0.65,30,0
MDN,5,20210210,161000,0.65,0.65,0.65,0.65,2544,0
MDN,5,20210211,103500,0.58,0.58,0.58,0.58,1220,0
MDN,5,20210215,101500,0.575,0.575,0.55,0.55,1240,0
MDN,5,20210215,102000,0.54,0.54,0.54,0.54,1304,0
MDN,5,20210215,155000,0.57,0.57,0.57,0.57,300,0
MDN,5,20210219,111500,0.55,0.55,0.55,0.55,200,0
MDN,5,20210219,112000,0.54,0.54,0.54,0.54,2300,0
MDN,5,20210222,110500,0.545,0.545,0.54,0.54,400,0
MDN,5,20210224,103000,0.54,0.54,0.54,0.54,50,0
MDN,5,20210225,132500,0.56,0.56,0.56,0.56,50,0
MDN,5,20210226,115000,0.58,0.58,0.58,0.58,145,0
MDN,5,20210303,100000,0.54,0.54,0.54,0.54,300,0
MDN,5,20210305,104500,0.54,0.54,0.54,0.54,100,0
MDN,5,20210308,105000,0.54,0.54,0.54,0.54,200,0
MDN,5,20210308,144500,0.58,0.6,0.58,0.6,105,0
MDN,5,20210309,133500,0.6,0.6,0.6,0.6,150,0
MDN,5,20210310,101000,0.605,0.605,0.605,0.605,100,0
MDN,5,20210310,101500,0.605,0.605,0.605,0.605,561,0
MDN,5,20210311,113500,0.6,0.6,0.6,0.6,50,0
MDN,5,20210312,110500,0.6,0.6,0.6,0.6,50,0
MDN,5,20210312,133500,0.56,0.56,0.56,0.56,100,0
MDN,5,20210312,134000,0.55,0.55,0.54,0.54,650,0
MDN,5,20210312,164500,0.6,0.6,0.6,0.6,219,0
MDN,5,20210316,094000,0.62,0.62,0.62,0.62,400,0
MDN,5,20210319,103000,0.63,0.63,0.63,0.63,50,0
MDN,5,20210319,110000,0.6,0.6,0.6,0.6,100,0
MDN,5,20210322,100500,0.6,0.6,0.6,0.6,200,0
MDN,5,20210323,100000,0.6,0.6,0.6,0.6,50,0
MDN,5,20210324,101500,0.6,0.6,0.6,0.6,30,0
MDN,5,20210325,101500,0.6,0.6,0.6,0.6,20,0
MDN,5,20210326,103000,0.6,0.6,0.6,0.6,50,0
