<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MER,5,20210204,123000,1.07,1.07,1.07,1.07,37491,0
MER,5,20210204,130500,1.07,1.07,1.07,1.07,93,0
MER,5,20210204,153000,1.07,1.1,1.07,1.1,100,0
MER,5,20210208,104500,1.11,1.11,1.11,1.11,200,0
MER,5,20210209,090500,1.11,1.11,1.11,1.11,107,0
MER,5,20210209,091000,1.11,1.11,1.11,1.11,1893,0
MER,5,20210209,131000,1.1,1.12,1.1,1.12,4327,0
MER,5,20210209,154500,1.11,1.11,1.11,1.11,1000,0
MER,5,20210210,090000,1.11,1.11,1.11,1.11,20,0
MER,5,20210210,114500,1.07,1.07,1.06,1.06,240,0
MER,5,20210210,142000,1.11,1.11,1.11,1.11,1180,0
MER,5,20210210,152500,1.12,1.12,1.12,1.12,3000,0
MER,5,20210210,153000,1.13,1.14,1.13,1.14,1000,0
MER,5,20210210,160000,1.14,1.15,1.14,1.15,2780,0
MER,5,20210210,160500,1.15,1.15,1.15,1.15,2000,0
MER,5,20210210,163500,1.15,1.15,1.15,1.15,2366,0
MER,5,20210211,090000,1.15,1.15,1.15,1.15,933,0
MER,5,20210211,090500,1.15,1.15,1.15,1.15,225,0
MER,5,20210211,091000,1.15,1.15,1.15,1.15,2000,0
MER,5,20210211,094000,1.15,1.15,1.13,1.13,2112,0
MER,5,20210211,101000,1.16,1.16,1.16,1.16,1840,0
MER,5,20210211,101500,1.16,1.16,1.16,1.16,1500,0
MER,5,20210211,104500,1.16,1.16,1.16,1.16,1804,0
MER,5,20210211,105000,1.16,1.16,1.16,1.16,500,0
MER,5,20210211,105500,1.16,1.16,1.16,1.16,700,0
MER,5,20210211,111500,1.16,1.16,1.16,1.16,29,0
MER,5,20210211,112000,1.17,1.17,1.17,1.17,657,0
MER,5,20210211,141500,1.15,1.15,1.15,1.15,1500,0
MER,5,20210211,142000,1.12,1.12,1.12,1.12,500,0
MER,5,20210211,154000,1.17,1.17,1.17,1.17,1800,0
MER,5,20210211,160000,1.17,1.17,1.17,1.17,766,0
MER,5,20210212,090000,1.17,1.17,1.17,1.17,5897,0
MER,5,20210212,132500,1.17,1.17,1.17,1.17,1897,0
MER,5,20210212,151500,1.18,1.18,1.18,1.18,1220,0
MER,5,20210215,090500,1.18,1.18,1.18,1.18,20,0
MER,5,20210215,094500,1.18,1.18,1.18,1.18,1650,0
MER,5,20210215,155000,1.18,1.19,1.18,1.19,2000,0
MER,5,20210216,090000,1.19,1.19,1.19,1.19,600,0
MER,5,20210216,090500,1.19,1.2,1.19,1.2,2500,0
MER,5,20210216,091000,1.2,1.23,1.2,1.23,4000,0
MER,5,20210216,091500,1.23,1.23,1.16,1.16,3500,0
MER,5,20210216,101500,1.22,1.23,1.22,1.23,3000,0
MER,5,20210216,104500,1.21,1.21,1.21,1.21,830,0
MER,5,20210216,145000,1.16,1.16,1.16,1.16,2830,0
MER,5,20210216,151000,1.16,1.2,1.16,1.2,190,0
MER,5,20210216,163500,1.2,1.2,1.2,1.2,1580,0
MER,5,20210217,101000,1.2,1.2,1.2,1.2,20,0
MER,5,20210218,104500,1.15,1.15,1.15,1.15,2800,0
MER,5,20210218,134500,1.19,1.19,1.19,1.19,2,0
MER,5,20210218,150500,1.15,1.15,1.12,1.12,2150,0
MER,5,20210222,125500,1.16,1.16,1.16,1.16,75,0
MER,5,20210223,151500,1.12,1.12,1.07,1.07,3864,0
MER,5,20210223,152000,1.07,1.07,1.07,1.07,136,0
MER,5,20210301,090000,1.06,1.06,1.06,1.06,500,0
MER,5,20210301,094500,1.06,1.06,1.05,1.05,2000,0
MER,5,20210301,112000,1.05,1.05,1.05,1.05,1200,0
MER,5,20210301,133000,1.07,1.07,1.07,1.07,940,0
MER,5,20210301,155000,1.09,1.1,1.09,1.1,2365,0
MER,5,20210302,091500,1.1,1.1,1.1,1.1,10,0
MER,5,20210303,091000,1.1,1.1,1.1,1.1,10,0
MER,5,20210304,090000,1.1,1.1,1.1,1.1,15,0
MER,5,20210304,112500,1.11,1.12,1.11,1.12,9500,0
MER,5,20210305,091500,1.12,1.12,1.12,1.12,20,0
MER,5,20210308,094000,1.09,1.09,1.07,1.07,600,0
MER,5,20210308,120500,1.06,1.06,1.06,1.06,2790,0
MER,5,20210309,091500,1.06,1.06,1.06,1.06,10,0
MER,5,20210310,092000,1.06,1.06,1.06,1.06,20,0
MER,5,20210310,132000,1.06,1.06,1.06,1.06,500,0
MER,5,20210311,090000,1.06,1.06,1.06,1.06,10,0
MER,5,20210311,160500,1.1,1.1,1.1,1.1,10,0
MER,5,20210312,090000,1.1,1.1,1.1,1.1,906,0
MER,5,20210315,090000,1.09,1.09,1.09,1.09,50,0
MER,5,20210315,145000,1.09,1.1,1.09,1.1,951,0
MER,5,20210316,090000,1.06,1.06,1.06,1.06,215,0
MER,5,20210316,135000,1.06,1.06,1.05,1.05,2894,0
MER,5,20210316,162000,1.03,1.03,1.03,1.03,906,0
MER,5,20210323,090000,1.02,1.02,1.02,1.02,2550,0
MER,5,20210323,094500,1.02,1.02,1.02,1.02,1100,0
MER,5,20210323,095000,1.02,1.02,0.97,0.98,2050,0
MER,5,20210323,095500,0.96,0.96,0.94,0.94,500,0
MER,5,20210323,100500,0.98,0.98,0.98,0.98,2333,0
MER,5,20210323,111000,0.99,1.01,0.99,1.01,500,0
MER,5,20210324,090000,0.91,0.91,0.91,0.91,683,0
MER,5,20210324,090500,0.92,0.92,0.92,0.92,2833,0
MER,5,20210324,091000,0.99,0.99,0.96,0.96,1222,0
MER,5,20210324,093500,1.02,1.02,1.02,1.02,200,0
MER,5,20210324,102000,0.98,0.98,0.98,0.98,100,0
MER,5,20210325,090000,0.97,0.97,0.97,0.97,200,0
MER,5,20210325,092000,0.98,1,0.98,1,1728,0
MER,5,20210325,133500,0.97,0.97,0.97,0.97,50,0
MER,5,20210325,141500,1.01,1.01,1.01,1.01,483,0
MER,5,20210325,142000,1.02,1.02,1.02,1.02,467,0
MER,5,20210325,144500,0.97,0.97,0.95,0.95,200,0
MER,5,20210325,165500,1.01,1.01,1.01,1.01,5,0
