<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFD,5,20210204,100000,4.2,4.2,4.2,4.2,375,0
MFD,5,20210204,140500,4.28,4.28,4.28,4.28,41,0
MFD,5,20210204,143000,4.2,4.2,4.2,4.2,461,0
MFD,5,20210204,145000,4.16,4.16,4.14,4.14,358,0
MFD,5,20210204,150000,4.16,4.16,4.14,4.14,541,0
MFD,5,20210204,161500,4.2,4.2,4.2,4.2,27,0
MFD,5,20210204,164500,4.3,4.3,4.3,4.3,29,0
MFD,5,20210205,090000,4.34,4.34,4.34,4.34,24,0
MFD,5,20210205,140000,4.3,4.3,4.3,4.3,230,0
MFD,5,20210205,144000,4.3,4.3,4.3,4.3,1,0
MFD,5,20210205,164500,4.3,4.3,4.3,4.3,261,0
MFD,5,20210208,090000,4.14,4.28,4.14,4.28,125,0
MFD,5,20210208,095500,4.2,4.2,4.2,4.2,225,0
MFD,5,20210208,164500,4.22,4.22,4.22,4.22,1,0
MFD,5,20210209,091500,4.14,4.14,4.14,4.14,600,0
MFD,5,20210209,092500,4.1,4.1,4,4,1000,0
MFD,5,20210209,093000,3.86,3.86,3.86,3.86,1,0
MFD,5,20210209,093500,4,4,4,4,500,0
MFD,5,20210209,123500,4,4,4,4,60,0
MFD,5,20210210,090000,4,4,4,4,930,0
MFD,5,20210210,135000,4,4,4,4,18,0
MFD,5,20210210,140000,3.98,3.98,3.98,3.98,182,0
MFD,5,20210211,094000,4.12,4.12,4.12,4.12,10,0
MFD,5,20210211,103000,4.12,4.12,4.12,4.12,496,0
MFD,5,20210211,103500,4.2,4.2,4.2,4.2,51,0
MFD,5,20210211,131500,4.2,4.2,4.2,4.2,198,0
MFD,5,20210211,141000,4.2,4.2,4.2,4.2,279,0
MFD,5,20210211,143000,4.34,4.34,4.34,4.34,30,0
MFD,5,20210211,145000,4.36,4.36,4.36,4.36,25,0
MFD,5,20210212,092000,4.36,4.36,4.36,4.36,25,0
MFD,5,20210212,113500,4.36,4.36,4.36,4.36,20,0
MFD,5,20210212,144500,4.36,4.36,4.36,4.36,2100,0
MFD,5,20210212,145500,4.36,4.4,4.36,4.4,62,0
MFD,5,20210212,150000,4.56,4.94,4.56,4.94,165,0
MFD,5,20210212,160500,4.7,4.96,4.7,4.96,500,0
MFD,5,20210212,163000,4.84,4.84,4.84,4.84,1,0
MFD,5,20210212,163500,4.36,4.84,4.36,4.84,10,0
MFD,5,20210212,164500,4.84,4.96,4.84,4.96,1104,0
MFD,5,20210215,090000,4.92,4.94,4.24,4.94,646,0
MFD,5,20210215,090500,4.28,4.28,4.24,4.24,1041,0
MFD,5,20210215,091000,4.92,4.92,4.6,4.6,525,0
MFD,5,20210215,092500,4.84,4.84,4.84,4.84,98,0
MFD,5,20210215,100000,4.84,4.88,4.84,4.88,200,0
MFD,5,20210215,120000,4.88,4.88,4.88,4.88,14,0
MFD,5,20210215,122000,4.88,4.88,4.88,4.88,37,0
MFD,5,20210215,125500,4.64,4.64,4.62,4.62,597,0
MFD,5,20210215,130000,4.6,4.6,4.52,4.52,502,0
MFD,5,20210215,132000,4.6,4.6,4.6,4.6,713,0
MFD,5,20210215,141500,4.6,4.6,4.6,4.6,599,0
MFD,5,20210215,153500,4.6,4.82,4.6,4.82,190,0
