<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLB,5,20210204,090000,7.9,7.9,7.9,7.9,1,0
MLB,5,20210204,102500,7.55,7.55,7.55,7.55,100,0
MLB,5,20210204,103000,7.9,7.9,7.9,7.9,9,0
MLB,5,20210204,103500,7.9,7.9,7.9,7.9,290,0
MLB,5,20210204,104500,8,8,8,8,165,0
MLB,5,20210204,124000,8,8,8,8,2,0
MLB,5,20210204,131000,7.95,8,7.95,8,670,0
MLB,5,20210204,155000,8,8,8,8,1073,0
MLB,5,20210204,164500,8.05,8.05,8.05,8.05,20,0
MLB,5,20210205,090000,8.05,8.05,8.05,8.05,500,0
MLB,5,20210205,095500,8.05,8.05,8.05,8.05,240,0
MLB,5,20210205,112000,7.9,7.9,7.9,7.9,282,0
MLB,5,20210205,144000,8,8,8,8,100,0
MLB,5,20210205,145500,7.9,7.9,7.6,7.6,3347,0
MLB,5,20210205,150000,7.6,7.6,7.6,7.6,100,0
MLB,5,20210205,151000,7.6,7.6,7.6,7.6,1553,0
MLB,5,20210205,151500,7.7,8,7.7,8,270,0
MLB,5,20210205,153000,8,8,8,8,1315,0
MLB,5,20210205,161000,8,8,8,8,370,0
MLB,5,20210205,164500,8.05,8.05,8.05,8.05,221,0
MLB,5,20210208,090000,8.05,8.05,8.05,8.05,1,0
MLB,5,20210208,114500,7.9,7.9,7.9,7.9,1500,0
MLB,5,20210208,150000,7.85,7.85,7.8,7.8,1100,0
MLB,5,20210208,153500,7.8,7.8,7.8,7.8,900,0
MLB,5,20210208,164500,8.05,8.05,8.05,8.05,1,0
MLB,5,20210209,092500,7.95,7.95,7.95,7.95,400,0
MLB,5,20210209,140000,7.95,7.95,7.95,7.95,6,0
MLB,5,20210209,142000,7.95,7.95,7.9,7.9,994,0
MLB,5,20210209,150000,7.9,7.9,7.9,7.9,632,0
MLB,5,20210209,155000,7.9,7.9,7.9,7.9,874,0
MLB,5,20210209,163500,8.05,8.05,8.05,8.05,2,0
MLB,5,20210210,101000,8.05,8.05,8.05,8.05,1,0
MLB,5,20210210,111000,7.8,7.8,7.8,7.8,2154,0
MLB,5,20210210,111500,8.05,8.05,8.05,8.05,30,0
MLB,5,20210211,090000,8.05,8.05,8.05,8.05,24,0
MLB,5,20210211,095000,8.05,8.05,8.05,8.05,550,0
MLB,5,20210211,100000,7.9,8.4,7.9,8.4,2800,0
MLB,5,20210211,101000,8.5,8.7,8.5,8.7,500,0
MLB,5,20210211,114500,8.6,8.6,8.6,8.6,22,0
MLB,5,20210211,121000,8.6,8.6,8.6,8.6,100,0
MLB,5,20210212,090000,8.5,8.5,8.5,8.5,300,0
MLB,5,20210212,111500,8.45,8.6,8.45,8.6,300,0
MLB,5,20210212,130500,8.6,8.8,8.6,8.8,2000,0
MLB,5,20210212,163000,8.6,8.6,8.6,8.6,53,0
MLB,5,20210212,163500,8.15,8.15,8.1,8.1,1884,0
MLB,5,20210212,164500,8.1,8.6,8.1,8.6,1222,0
MLB,5,20210215,090000,8.75,8.75,8.75,8.75,349,0
MLB,5,20210215,090500,8.7,8.7,8.7,8.7,450,0
MLB,5,20210215,091000,8.7,8.7,8.7,8.7,350,0
MLB,5,20210215,093500,8.6,8.6,8.6,8.6,560,0
MLB,5,20210215,095500,8.7,8.7,8.7,8.7,200,0
MLB,5,20210215,101500,8.7,8.7,8.7,8.7,200,0
MLB,5,20210215,103000,8.7,8.7,8.7,8.7,787,0
MLB,5,20210215,112500,8.65,8.65,8.65,8.65,900,0
MLB,5,20210215,120000,8.5,8.5,8.5,8.5,23,0
MLB,5,20210215,125000,8.4,8.4,8.4,8.4,240,0
MLB,5,20210215,131500,8.4,8.4,8.4,8.4,15,0
MLB,5,20210215,143500,8.4,8.4,8.4,8.4,198,0
MLB,5,20210215,144500,8.4,8.4,8.4,8.4,329,0
MLB,5,20210215,145000,8.45,8.45,8.45,8.45,350,0
MLB,5,20210215,150500,8.5,8.5,8.5,8.5,1477,0
MLB,5,20210215,164000,8.65,8.65,8.65,8.65,1,0
MLB,5,20210216,090000,8.65,8.65,8.65,8.65,1,0
MLB,5,20210216,092000,8.65,8.65,8.65,8.65,173,0
MLB,5,20210216,124500,8.75,8.75,8.75,8.75,185,0
MLB,5,20210216,130000,8.75,8.75,8.75,8.75,299,0
MLB,5,20210217,090000,8.75,8.75,8.75,8.75,1,0
MLB,5,20210217,100000,8.75,8.75,8.75,8.75,200,0
MLB,5,20210217,140500,8.35,8.35,8.2,8.2,1640,0
MLB,5,20210217,143000,8.25,8.25,8.25,8.25,300,0
MLB,5,20210217,161500,8.2,8.2,8.2,8.2,92,0
MLB,5,20210217,162000,8.15,8.15,8.15,8.15,81,0
MLB,5,20210217,163500,8.25,8.25,8.25,8.25,1,0
MLB,5,20210217,164500,8.15,8.15,8.15,8.15,100,0
MLB,5,20210218,090000,8.35,8.35,8.35,8.35,1,0
MLB,5,20210218,095000,8.35,8.35,8.35,8.35,35,0
MLB,5,20210218,101500,8.35,8.35,8.35,8.35,205,0
MLB,5,20210218,102500,8.4,8.4,8.4,8.4,5,0
MLB,5,20210218,130000,8.35,8.35,8.35,8.35,400,0
MLB,5,20210218,134000,8.05,8.05,8.05,8.05,584,0
MLB,5,20210218,135000,8.3,8.3,8.3,8.3,10,0
MLB,5,20210218,143000,8.25,8.25,8.25,8.25,200,0
MLB,5,20210218,160000,8.3,8.3,8.3,8.3,100,0
MLB,5,20210218,164500,8.4,8.4,8.4,8.4,1,0
MLB,5,20210219,090000,8.4,8.4,8.4,8.4,4,0
MLB,5,20210219,114000,8.3,8.3,8.3,8.3,120,0
MLB,5,20210219,122500,8.4,8.4,8.4,8.4,194,0
MLB,5,20210219,140000,8.05,8.05,7.9,7.9,1359,0
MLB,5,20210219,142500,8.1,8.1,8.1,8.1,249,0
MLB,5,20210219,145500,8.1,8.1,8.05,8.05,446,0
MLB,5,20210219,151500,8.05,8.05,8.05,8.05,2113,0
MLB,5,20210219,154500,8.1,8.1,8.1,8.1,249,0
MLB,5,20210219,155500,8.05,8.15,8.05,8.15,259,0
MLB,5,20210219,162000,8.1,8.1,8.1,8.1,249,0
MLB,5,20210219,164500,8.2,8.7,8.2,8.7,581,0
MLB,5,20210222,090000,8.55,8.55,8.5,8.5,36,0
MLB,5,20210222,101500,8.5,8.5,8.5,8.5,118,0
MLB,5,20210222,104000,8.5,8.5,8.5,8.5,829,0
MLB,5,20210222,122500,8.5,8.5,8.5,8.5,236,0
MLB,5,20210222,142500,8.1,8.1,8.1,8.1,247,0
