<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLP,5,20210216,090000,2,2,2,2,50,0
MLP,5,20210217,103000,2,2.08,2,2.08,500,0
MLP,5,20210217,111500,2,2,2,2,4,0
MLP,5,20210301,090500,2.08,2.08,2.08,2.08,100,0
MLP,5,20210322,093500,2,2,2,2,200,0
MLP,5,20210322,114500,1.9,1.9,1.6,1.6,200,0
MLP,5,20210322,121000,1.6,1.6,1.6,1.6,150,0
MLP,5,20210322,124500,1.6,1.6,1.6,1.6,2182,0
MLP,5,20210322,130500,1.65,1.65,1.65,1.65,50,0
MLP,5,20210322,131000,1.75,1.85,1.75,1.85,100,0
MLP,5,20210322,133500,1.8,1.8,1.8,1.8,604,0
MLP,5,20210322,144000,1.7,1.7,1.7,1.7,50,0
MLP,5,20210322,161000,1.8,1.8,1.8,1.8,1,0
MLP,5,20210323,115500,1.7,1.85,1.7,1.85,150,0
MLP,5,20210324,090500,1.75,1.75,1.6,1.6,150,0
MLP,5,20210324,093000,1.6,1.6,1.6,1.6,850,0
MLP,5,20210324,095000,1.7,1.75,1.7,1.7,150,0
MLP,5,20210324,104000,1.6,1.6,1.6,1.6,300,0
MLP,5,20210324,112500,1.6,1.6,1.6,1.6,1683,0
MLP,5,20210324,145000,1.6,1.6,1.6,1.6,950,0
MLP,5,20210325,094500,1.5,1.5,1.5,1.5,100,0
MLP,5,20210325,095000,1.4,1.5,1.3,1.5,400,0
MLP,5,20210325,105000,1.3,1.3,1.3,1.3,2283,0
MLP,5,20210325,131000,1.4,1.4,1.4,1.4,3033,0
MLP,5,20210325,142500,1.5,1.5,1.5,1.5,350,0
MLP,5,20210326,124000,1.5,1.5,1.5,1.5,147,0
