<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLT,5,20210204,093000,4.8,4.8,4.8,4.8,200,0
MLT,5,20210204,100500,4.89,4.89,4.89,4.89,10,0
MLT,5,20210204,104000,4.85,4.85,4.85,4.85,1000,0
MLT,5,20210204,111000,4.85,4.85,4.85,4.85,734,0
MLT,5,20210204,114500,4.85,4.85,4.85,4.85,190,0
MLT,5,20210204,141500,4.9,4.9,4.9,4.9,300,0
MLT,5,20210204,142000,5.16,5.16,5.16,5.16,1,0
MLT,5,20210204,143000,5.16,5.16,5.16,5.16,50,0
MLT,5,20210204,155500,4.85,4.85,4.85,4.85,1076,0
MLT,5,20210204,160000,5,5,5,5,1,0
MLT,5,20210205,122000,4.8,4.8,4.8,4.8,1200,0
MLT,5,20210205,130000,4.9,5,4.9,5,1000,0
MLT,5,20210208,090000,5,5,5,5,200,0
MLT,5,20210208,105500,4.71,4.71,4.71,4.71,200,0
MLT,5,20210208,110000,4.71,4.71,4.71,4.71,23,0
MLT,5,20210208,152500,4.97,4.97,4.97,4.97,200,0
MLT,5,20210208,163000,4.71,4.98,4.71,4.98,1251,0
MLT,5,20210209,124000,4.73,4.73,4.73,4.73,191,0
MLT,5,20210209,141500,4.73,4.94,4.73,4.94,1201,0
MLT,5,20210209,145000,4.73,4.73,4.73,4.73,87,0
MLT,5,20210209,145500,4.94,4.94,4.94,4.94,10,0
MLT,5,20210209,150500,4.94,4.94,4.94,4.94,49,0
MLT,5,20210209,164500,4.74,4.91,4.74,4.91,379,0
MLT,5,20210210,090000,4.93,4.93,4.91,4.91,521,0
MLT,5,20210210,091000,4.9,4.9,4.9,4.9,11,0
MLT,5,20210210,102500,4.88,4.88,4.88,4.88,173,0
MLT,5,20210210,151000,4.74,4.74,4.7,4.7,1082,0
MLT,5,20210210,152000,4.88,4.88,4.88,4.88,10,0
MLT,5,20210210,164000,4.61,4.61,4.6,4.6,1853,0
MLT,5,20210210,164500,4.88,4.88,4.88,4.88,10,0
MLT,5,20210211,093000,4.7,5.6,4.7,4.99,6449,0
MLT,5,20210211,163500,4.78,4.78,4.75,4.75,3199,0
MLT,5,20210211,164500,4.95,4.95,4.95,4.95,90,0
MLT,5,20210212,090000,5,5,4.67,5,2148,0
MLT,5,20210212,093000,4.7,5,4.7,5,126,0
MLT,5,20210212,100000,4.71,4.71,4.7,4.7,640,0
MLT,5,20210212,100500,5,5,4.75,4.8,106,0
MLT,5,20210212,104000,4.8,4.9,4.8,4.9,500,0
MLT,5,20210212,104500,4.75,4.9,4.7,4.9,401,0
MLT,5,20210212,105000,4.7,4.9,4.7,4.9,207,0
MLT,5,20210212,110500,4.7,4.89,4.7,4.89,269,0
MLT,5,20210212,111000,4.7,4.7,4.7,4.7,300,0
MLT,5,20210212,111500,4.89,4.89,4.89,4.89,1,0
MLT,5,20210212,112500,4.57,4.79,4.51,4.79,2401,0
MLT,5,20210212,132500,4.7,4.77,4.7,4.77,241,0
MLT,5,20210212,154500,4.7,4.7,4.7,4.7,10,0
MLT,5,20210212,155500,4.65,4.65,4.65,4.65,1297,0
MLT,5,20210212,160500,4.65,4.65,4.52,4.52,1273,0
MLT,5,20210212,161000,4.52,4.52,4.52,4.52,50,0
MLT,5,20210212,161500,4.52,4.52,4.51,4.51,2030,0
MLT,5,20210212,162000,4.51,4.51,4.51,4.51,335,0
MLT,5,20210212,162500,4.5,4.5,4.5,4.5,75,0
MLT,5,20210212,163000,4.5,4.5,4.5,4.5,880,0
MLT,5,20210212,163500,4.5,4.5,4.5,4.5,300,0
MLT,5,20210212,164500,4.7,4.7,4.43,4.43,240,0
MLT,5,20210215,090000,4.45,4.45,4.4,4.4,1726,0
MLT,5,20210215,091000,4.3,4.3,4.3,4.3,725,0
MLT,5,20210215,091500,4.45,4.5,4.45,4.5,42,0
MLT,5,20210215,101500,4.45,4.5,4.45,4.5,526,0
MLT,5,20210215,103000,4.64,4.64,4.64,4.64,236,0
MLT,5,20210215,111000,4.64,4.65,4.64,4.65,110,0
MLT,5,20210215,114000,4.65,4.69,4.65,4.69,859,0
MLT,5,20210215,123000,4.69,4.7,4.69,4.7,2295,0
MLT,5,20210215,125000,4.77,4.8,4.77,4.8,78,0
MLT,5,20210215,134000,4.6,4.6,4.6,4.6,300,0
MLT,5,20210215,140500,4.74,4.74,4.74,4.74,500,0
MLT,5,20210215,144500,4.74,4.77,4.74,4.77,200,0
MLT,5,20210215,150500,4.77,4.77,4.77,4.77,43,0
MLT,5,20210215,151500,4.77,4.77,4.77,4.77,400,0
MLT,5,20210215,154000,4.65,4.65,4.65,4.65,70,0
MLT,5,20210215,155000,4.79,4.79,4.79,4.79,10,0
MLT,5,20210216,103500,4.79,4.91,4.79,4.91,1000,0
MLT,5,20210216,104000,4.91,4.92,4.91,4.92,350,0
MLT,5,20210216,105000,4.95,4.98,4.95,4.98,1300,0
MLT,5,20210216,105500,4.98,4.98,4.98,4.98,20,0
MLT,5,20210216,112000,4.97,4.98,4.97,4.98,320,0
MLT,5,20210216,145500,4.8,4.8,4.8,4.8,100,0
MLT,5,20210216,150500,4.9,4.9,4.9,4.9,2,0
MLT,5,20210217,094000,4.7,4.7,4.7,4.7,380,0
MLT,5,20210217,105500,4.97,4.97,4.97,4.97,90,0
