<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMA,5,20210204,090500,1.28,1.28,1.28,1.28,2000,0
MMA,5,20210204,110000,1.3,1.3,1.3,1.3,600,0
MMA,5,20210204,120000,1.4,1.4,1.4,1.4,100,0
MMA,5,20210208,114500,1.45,1.45,1.45,1.45,100,0
MMA,5,20210209,092500,1.5,1.5,1.5,1.5,371,0
MMA,5,20210209,161500,1.5,1.6,1.5,1.6,629,0
MMA,5,20210212,090000,1.6,1.6,1.41,1.41,1289,0
MMA,5,20210212,090500,1.6,1.6,1.6,1.6,1000,0
MMA,5,20210212,092000,1.6,1.6,1.6,1.6,120,0
MMA,5,20210212,112500,1.6,1.6,1.6,1.6,2032,0
MMA,5,20210212,121000,1.6,1.7,1.6,1.7,700,0
MMA,5,20210215,090000,1.7,1.7,1.7,1.7,3000,0
MMA,5,20210215,105000,1.7,1.7,1.7,1.7,200,0
MMA,5,20210215,105500,1.7,1.7,1.7,1.7,1000,0
MMA,5,20210215,110000,1.7,1.79,1.7,1.79,400,0
MMA,5,20210215,112000,1.79,1.9,1.79,1.9,700,0
MMA,5,20210215,114000,1.89,1.89,1.89,1.89,1250,0
MMA,5,20210215,121500,1.85,1.85,1.85,1.85,265,0
MMA,5,20210215,123000,1.8,1.8,1.8,1.8,1055,0
MMA,5,20210215,131500,1.8,1.8,1.8,1.8,1100,0
MMA,5,20210215,132000,1.8,1.8,1.8,1.8,935,0
MMA,5,20210215,132500,1.8,1.8,1.8,1.8,165,0
MMA,5,20210215,152500,1.8,1.8,1.8,1.8,290,0
MMA,5,20210216,091500,1.8,1.8,1.8,1.8,3000,0
MMA,5,20210216,110000,1.8,1.8,1.8,1.8,215,0
MMA,5,20210216,121000,1.77,1.77,1.7,1.7,3143,0
MMA,5,20210218,164500,1.61,1.61,1.6,1.6,753,0
MMA,5,20210219,090000,1.78,1.78,1.78,1.78,744,0
MMA,5,20210219,100500,1.77,1.77,1.77,1.77,397,0
MMA,5,20210219,133500,1.7,1.7,1.7,1.7,3000,0
MMA,5,20210219,141000,1.77,1.8,1.77,1.8,10000,0
MMA,5,20210219,145000,1.8,1.8,1.7,1.7,1000,0
MMA,5,20210224,111500,1.6,1.6,1.6,1.6,557,0
MMA,5,20210224,114500,1.6,1.6,1.6,1.6,498,0
MMA,5,20210225,124500,1.65,1.65,1.65,1.65,100,0
MMA,5,20210311,090000,1.7,1.89,1.7,1.89,300,0
MMA,5,20210312,115500,1.8,1.88,1.8,1.88,2598,0
MMA,5,20210322,102000,1.7,1.7,1.7,1.7,100,0
MMA,5,20210322,163000,1.7,1.7,1.7,1.7,297,0
MMA,5,20210326,123500,1.7,1.7,1.7,1.7,707,0
