<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMD,5,20210204,110000,14.1,14.1,14.1,14.1,70,0
MMD,5,20210204,150000,14.1,14.1,14.1,14.1,12,0
MMD,5,20210209,110000,14,14,14,14,40,0
MMD,5,20210210,110000,14.09,14.09,14.09,14.09,3,0
MMD,5,20210210,150000,14.09,14.09,14.09,14.09,3,0
MMD,5,20210211,110000,14.09,14.09,14.09,14.09,5,0
MMD,5,20210211,150000,13,13,13,13,17,0
MMD,5,20210211,151000,13,13,13,13,300,0
MMD,5,20210212,150000,13,13,13,13,300,0
MMD,5,20210215,110000,12.61,12.61,12.61,12.61,60,0
MMD,5,20210215,111000,12.61,12.61,12.61,12.61,5,0
MMD,5,20210215,112500,12.61,12.61,12.61,12.61,5,0
MMD,5,20210215,150000,13,13,13,13,16,0
MMD,5,20210216,150000,13,13,13,13,48,0
MMD,5,20210217,110000,13,13,13,13,2,0
MMD,5,20210218,150000,12.6,12.6,12.6,12.6,55,0
MMD,5,20210219,110000,12.8,12.8,12.8,12.8,1,0
MMD,5,20210222,110000,12,12,12,12,5,0
MMD,5,20210222,150000,12,12,12,12,8,0
MMD,5,20210222,152500,12,12,12,12,20,0
MMD,5,20210223,110000,11.2,11.2,11.2,11.2,30,0
MMD,5,20210223,150000,11,11,11,11,20,0
MMD,5,20210224,110000,10.7,10.7,10.7,10.7,240,0
MMD,5,20210224,112500,10.7,10.7,10.7,10.7,5,0
MMD,5,20210225,110000,11,11,11,11,185,0
MMD,5,20210226,110000,13.1,13.1,13.1,13.1,22,0
MMD,5,20210226,150000,13.5,13.5,13.5,13.5,376,0
MMD,5,20210301,110000,13.996,13.996,13.996,13.996,105,0
MMD,5,20210301,150000,13.994,13.994,13.994,13.994,20,0
MMD,5,20210302,110000,13.996,13.996,13.996,13.996,17,0
MMD,5,20210302,150000,13.996,13.996,13.996,13.996,11,0
MMD,5,20210303,110000,14.498,14.498,14.498,14.498,35,0
MMD,5,20210304,110000,14.5,14.5,14.5,14.5,6,0
MMD,5,20210304,150000,12,12,12,12,15,0
MMD,5,20210304,152500,12,12,12,12,5,0
MMD,5,20210305,110000,14.198,14.198,14.198,14.198,5,0
MMD,5,20210305,111000,14.198,14.198,14.198,14.198,10,0
MMD,5,20210305,150000,14.2,14.2,14.2,14.2,5,0
MMD,5,20210308,110000,13.98,13.98,13.98,13.98,20,0
MMD,5,20210308,150000,13.5,13.5,13.5,13.5,5,0
MMD,5,20210309,110000,11.5,11.5,11.5,11.5,65,0
MMD,5,20210309,150000,11.5,11.5,11.5,11.5,10,0
MMD,5,20210309,151000,11.5,11.5,11.5,11.5,925,0
MMD,5,20210310,110000,11.1,11.1,11.1,11.1,1757,0
MMD,5,20210310,110500,11.1,11.1,11.1,11.1,51,0
MMD,5,20210310,111500,11.1,11.1,11.1,11.1,10,0
MMD,5,20210310,112000,11.1,11.1,11.1,11.1,10,0
MMD,5,20210310,150000,11.2,11.2,11.2,11.2,220,0
MMD,5,20210310,151500,11.2,11.2,11.2,11.2,1867,0
MMD,5,20210310,152500,11.2,11.2,11.2,11.2,403,0
MMD,5,20210311,110000,11.1,11.1,11.1,11.1,1115,0
MMD,5,20210311,112000,11.1,11.1,11.1,11.1,500,0
MMD,5,20210311,150000,12.4,12.4,12.4,12.4,1500,0
MMD,5,20210312,110000,12.4,12.4,12.4,12.4,105,0
MMD,5,20210312,110500,12.4,12.4,12.4,12.4,5,0
MMD,5,20210315,110000,12.4,12.4,12.4,12.4,15,0
MMD,5,20210316,110000,12,12,12,12,5,0
MMD,5,20210316,111000,12,12,12,12,20,0
MMD,5,20210316,111500,12,12,12,12,5,0
MMD,5,20210317,110000,11.4,11.4,11.4,11.4,15,0
MMD,5,20210317,150000,10,10,10,10,41,0
MMD,5,20210317,150500,10,10,10,10,170,0
MMD,5,20210317,152000,10,10,10,10,2000,0
MMD,5,20210318,110000,10,10,10,10,2066,0
MMD,5,20210318,150000,10,10,10,10,10,0
MMD,5,20210319,110000,10,10,10,10,64,0
MMD,5,20210319,150000,10,10,10,10,12,0
MMD,5,20210319,152500,10,10,10,10,159,0
MMD,5,20210322,110000,11.3,11.3,11.3,11.3,12,0
MMD,5,20210322,150000,11.3,11.3,11.3,11.3,15,0
MMD,5,20210323,110000,11.1,11.1,11.1,11.1,20,0
MMD,5,20210323,150000,11,11,11,11,17,0
MMD,5,20210324,110000,10.6,10.6,10.6,10.6,5,0
MMD,5,20210324,110500,10.6,10.6,10.6,10.6,20,0
MMD,5,20210324,112000,10.6,10.6,10.6,10.6,75,0
MMD,5,20210324,150000,10.9,10.9,10.9,10.9,10,0
MMD,5,20210325,110000,10.5,10.5,10.5,10.5,15,0
MMD,5,20210325,150000,10,10,10,10,5,0
MMD,5,20210326,110000,10,10,10,10,14,0
