<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNS,5,20210204,090000,117,117,116,116,128,0
MNS,5,20210204,090500,115,115,115,115,89,0
MNS,5,20210204,091000,115,116,115,115,130,0
MNS,5,20210204,093000,115,115,115,115,72,0
MNS,5,20210204,093500,115,116,115,116,98,0
MNS,5,20210204,094000,118,118,118,118,19,0
MNS,5,20210204,101000,118,118,118,118,14,0
MNS,5,20210204,102000,118,118,118,118,68,0
MNS,5,20210204,103500,118,119,118,119,96,0
MNS,5,20210204,104000,119,119,119,119,10,0
MNS,5,20210204,104500,118,118,118,118,15,0
MNS,5,20210204,105500,118,118,118,118,16,0
MNS,5,20210204,111000,118,118,118,118,47,0
MNS,5,20210204,111500,119,119,119,119,50,0
MNS,5,20210204,112500,119,122,119,122,319,0
MNS,5,20210204,113000,122,123,122,122,30,0
MNS,5,20210204,113500,120,120,118,118,95,0
MNS,5,20210204,115000,120,120,120,120,21,0
MNS,5,20210204,120000,120,120,120,120,14,0
MNS,5,20210204,121500,120,120,120,120,15,0
MNS,5,20210204,122000,119,119,119,119,26,0
MNS,5,20210204,123500,119,119,118,118,40,0
MNS,5,20210204,125500,120,120,120,120,21,0
MNS,5,20210204,131000,120,120,120,120,17,0
MNS,5,20210204,152000,118,118,118,118,49,0
MNS,5,20210204,153000,117,117,117,117,20,0
MNS,5,20210204,153500,117,117,116,116,60,0
MNS,5,20210204,154500,122,122,122,122,23,0
MNS,5,20210204,155000,121,121,121,121,18,0
MNS,5,20210204,155500,118,118,118,118,6,0
MNS,5,20210204,162000,119,119,119,119,20,0
MNS,5,20210204,162500,119,119,119,119,14,0
MNS,5,20210204,163500,118,118,118,118,50,0
MNS,5,20210204,164000,118,118,118,118,100,0
MNS,5,20210204,164500,118,119,118,119,14,0
MNS,5,20210205,090000,120,120,120,120,100,0
MNS,5,20210205,091000,120,120,120,120,45,0
MNS,5,20210205,092500,121,121,121,121,180,0
MNS,5,20210205,093500,120,120,120,120,75,0
MNS,5,20210205,094000,119,119,119,119,10,0
MNS,5,20210205,094500,118,118,118,118,18,0
MNS,5,20210205,100500,119,119,118,118,25,0
MNS,5,20210205,102500,119,119,118,118,20,0
MNS,5,20210205,104000,120,122,120,122,23,0
MNS,5,20210205,114000,120,120,119,119,100,0
MNS,5,20210205,114500,119,119,119,119,20,0
MNS,5,20210205,115500,120,120,119,119,23,0
MNS,5,20210205,120000,121,121,121,121,1,0
MNS,5,20210205,121000,119,119,119,119,8,0
MNS,5,20210205,122000,119,119,119,119,1,0
MNS,5,20210205,124500,119,119,119,119,5,0
MNS,5,20210205,125500,119,119,119,119,11,0
MNS,5,20210205,130000,119,119,119,119,26,0
MNS,5,20210205,130500,120,120,120,120,85,0
MNS,5,20210205,131500,121,123,121,123,169,0
MNS,5,20210205,132000,120,120,120,120,20,0
MNS,5,20210205,134000,119,123,119,123,18,0
MNS,5,20210205,140500,123,123,123,123,25,0
MNS,5,20210205,141000,122,123,122,123,20,0
MNS,5,20210205,142000,122,122,122,122,7,0
MNS,5,20210205,143000,122,122,122,122,4,0
MNS,5,20210205,144000,120,120,120,120,3,0
MNS,5,20210205,150500,121,121,120,120,34,0
MNS,5,20210205,152500,120,121,120,121,19,0
MNS,5,20210205,153500,121,121,121,121,5,0
MNS,5,20210205,154000,123,123,120,120,105,0
MNS,5,20210205,162500,120,120,120,120,40,0
MNS,5,20210205,163500,121,121,121,121,24,0
MNS,5,20210205,164500,122,123,122,123,41,0
MNS,5,20210208,090000,125,126,125,125,83,0
MNS,5,20210208,090500,125,126,125,126,35,0
MNS,5,20210208,091000,126,126,124,124,24,0
MNS,5,20210208,092000,125,125,125,125,57,0
MNS,5,20210208,092500,126,126,125,125,121,0
MNS,5,20210208,093500,126,126,125,125,7,0
MNS,5,20210208,094000,124,124,124,124,100,0
MNS,5,20210208,094500,125,126,125,126,370,0
MNS,5,20210208,095000,126,126,126,126,34,0
MNS,5,20210208,100500,124,124,124,124,4,0
MNS,5,20210208,104000,125,126,125,126,16,0
MNS,5,20210208,104500,125,125,125,125,24,0
MNS,5,20210208,105000,125,125,125,125,30,0
MNS,5,20210208,110500,126,126,126,126,24,0
MNS,5,20210208,112000,126,126,126,126,147,0
MNS,5,20210208,113000,126,126,125,125,158,0
MNS,5,20210208,113500,124,124,124,124,56,0
MNS,5,20210208,115500,124,124,123,123,40,0
MNS,5,20210208,120500,125,125,125,125,15,0
MNS,5,20210208,130000,124,124,124,124,20,0
MNS,5,20210208,131000,124,124,124,124,5,0
MNS,5,20210208,132000,124,124,124,124,68,0
MNS,5,20210208,132500,123,123,123,123,25,0
MNS,5,20210208,134000,123,123,123,123,25,0
MNS,5,20210208,140500,124,124,124,124,10,0
MNS,5,20210208,150500,123,123,123,123,20,0
MNS,5,20210208,152000,124,124,123,123,139,0
MNS,5,20210208,154500,122,122,122,122,10,0
MNS,5,20210208,155500,122,123,122,123,10,0
MNS,5,20210208,161500,122,122,122,122,26,0
MNS,5,20210208,162000,121,123,121,121,42,0
MNS,5,20210208,163500,123,123,123,123,19,0
MNS,5,20210208,164500,121,123,121,123,7,0
MNS,5,20210209,090000,121,121,118,120,141,0
MNS,5,20210209,091000,120,120,120,120,36,0
MNS,5,20210209,091500,120,120,119,119,17,0
MNS,5,20210209,093500,121,121,121,121,30,0
MNS,5,20210209,100500,120,120,120,120,21,0
MNS,5,20210209,102000,119,119,119,119,5,0
MNS,5,20210209,104500,119,119,118,118,207,0
MNS,5,20210209,105000,120,120,120,120,1,0
MNS,5,20210209,112500,120,120,120,120,9,0
MNS,5,20210209,120500,119,119,119,119,30,0
MNS,5,20210209,121500,118,118,118,118,43,0
MNS,5,20210209,122500,118,118,117,117,26,0
MNS,5,20210209,124000,118,118,117,117,31,0
MNS,5,20210209,124500,118,118,118,118,5,0
MNS,5,20210209,125000,118,118,118,118,9,0
MNS,5,20210209,130500,119,119,119,119,175,0
MNS,5,20210209,132500,119,119,119,119,50,0
MNS,5,20210209,135000,118,118,118,118,10,0
MNS,5,20210209,135500,119,119,119,119,10,0
MNS,5,20210209,140500,120,120,120,120,15,0
MNS,5,20210209,143000,119,119,118,118,10,0
MNS,5,20210209,144500,120,120,120,120,3,0
MNS,5,20210209,150000,118,118,117,117,201,0
MNS,5,20210209,162500,119,119,119,119,17,0
MNS,5,20210209,163500,119,120,119,120,31,0
MNS,5,20210209,164500,120,120,120,120,29,0
MNS,5,20210210,090000,120,120,120,120,123,0
MNS,5,20210210,090500,121,123,121,123,122,0
MNS,5,20210210,091000,121,123,121,123,66,0
MNS,5,20210210,091500,123,124,123,124,172,0
MNS,5,20210210,092000,124,124,124,124,394,0
MNS,5,20210210,092500,124,125,124,124,191,0
MNS,5,20210210,093500,124,124,124,124,20,0
MNS,5,20210210,100500,123,123,122,122,120,0
MNS,5,20210210,101000,121,121,121,121,26,0
MNS,5,20210210,101500,123,123,123,123,30,0
MNS,5,20210210,103000,124,124,124,124,3,0
MNS,5,20210210,104000,123,123,123,123,32,0
MNS,5,20210210,120000,123,123,123,123,6,0
MNS,5,20210210,120500,123,123,121,121,13,0
MNS,5,20210210,121000,121,121,121,121,42,0
MNS,5,20210210,124500,121,121,121,121,50,0
MNS,5,20210210,131000,121,121,121,121,100,0
MNS,5,20210210,141500,121,122,121,122,34,0
MNS,5,20210210,145500,121,121,121,121,5,0
MNS,5,20210210,150500,120,120,120,120,27,0
MNS,5,20210210,151000,123,123,123,123,87,0
MNS,5,20210210,163000,120,120,120,120,100,0
MNS,5,20210210,164000,122,122,122,122,1,0
MNS,5,20210210,164500,121,121,120,120,19,0
MNS,5,20210211,090000,120,120,119,119,30,0
MNS,5,20210211,091500,123,123,123,123,6,0
MNS,5,20210211,093000,120,120,120,120,14,0
MNS,5,20210211,094500,119,119,118,118,20,0
MNS,5,20210211,101000,118,118,118,118,29,0
MNS,5,20210211,101500,118,118,118,118,8,0
MNS,5,20210211,102000,118,118,118,118,5,0
MNS,5,20210211,102500,117,117,117,117,102,0
MNS,5,20210211,103000,117,117,117,117,10,0
MNS,5,20210211,104000,117,117,117,117,278,0
MNS,5,20210211,104500,117,117,117,117,148,0
MNS,5,20210211,111000,119,119,119,119,10,0
MNS,5,20210211,120500,118,118,118,118,10,0
MNS,5,20210211,121500,118,118,117,117,40,0
MNS,5,20210211,122500,119,120,119,120,20,0
MNS,5,20210211,125500,118,118,118,118,7,0
MNS,5,20210211,133000,118,118,117,117,100,0
MNS,5,20210211,143500,118,118,118,118,40,0
MNS,5,20210211,144000,118,118,118,118,5,0
MNS,5,20210211,144500,118,118,118,118,5,0
MNS,5,20210211,145500,118,118,118,118,45,0
MNS,5,20210211,150500,118,118,118,118,5,0
MNS,5,20210211,151500,118,118,117,117,22,0
MNS,5,20210211,152000,120,120,120,120,17,0
MNS,5,20210211,161500,120,120,120,120,5,0
MNS,5,20210211,162500,119,119,119,119,8,0
MNS,5,20210211,163500,119,119,119,119,35,0
MNS,5,20210211,164000,119,119,119,119,15,0
MNS,5,20210211,164500,120,120,120,120,62,0
MNS,5,20210212,090000,122,122,122,122,158,0
MNS,5,20210212,090500,121,121,118,118,81,0
MNS,5,20210212,091000,115,118,115,118,60,0
MNS,5,20210212,091500,118,120,118,120,10,0
MNS,5,20210212,092500,118,118,118,118,30,0
MNS,5,20210212,093000,120,120,120,120,5,0
MNS,5,20210212,093500,120,122,120,122,94,0
MNS,5,20210212,094000,121,122,121,122,119,0
MNS,5,20210212,094500,120,120,120,120,65,0
MNS,5,20210212,102500,122,122,120,122,61,0
MNS,5,20210212,103000,123,123,123,123,21,0
MNS,5,20210212,103500,120,120,120,120,70,0
MNS,5,20210212,105500,121,121,118,118,65,0
MNS,5,20210212,111000,119,119,119,119,28,0
MNS,5,20210212,111500,119,119,119,119,20,0
MNS,5,20210212,112000,121,122,121,122,39,0
MNS,5,20210212,112500,123,123,123,123,30,0
MNS,5,20210212,113000,121,121,121,121,18,0
MNS,5,20210212,114500,122,122,122,122,16,0
MNS,5,20210212,115000,122,122,122,122,11,0
MNS,5,20210212,122000,121,121,121,121,45,0
MNS,5,20210212,124500,122,122,122,122,9,0
MNS,5,20210212,125000,122,123,122,123,101,0
MNS,5,20210212,130000,123,123,123,123,50,0
MNS,5,20210212,130500,123,123,123,123,300,0
MNS,5,20210212,131000,122,122,122,122,1,0
MNS,5,20210212,132000,121,121,121,121,26,0
MNS,5,20210212,132500,120,120,120,120,19,0
MNS,5,20210212,134500,120,120,120,120,10,0
MNS,5,20210212,135000,121,121,121,121,18,0
MNS,5,20210212,135500,120,120,120,120,5,0
MNS,5,20210212,140000,120,120,120,120,100,0
MNS,5,20210212,142000,120,120,120,120,70,0
MNS,5,20210212,142500,119,119,119,119,20,0
MNS,5,20210212,143000,120,120,120,120,33,0
MNS,5,20210212,143500,119,119,119,119,10,0
MNS,5,20210212,144000,120,120,120,120,50,0
MNS,5,20210212,144500,120,120,120,120,50,0
MNS,5,20210212,145000,120,120,119,120,162,0
MNS,5,20210212,145500,120,120,119,119,50,0
MNS,5,20210212,150000,119,119,119,119,104,0
MNS,5,20210212,152500,119,119,119,119,55,0
MNS,5,20210212,154500,119,119,116,116,536,0
MNS,5,20210212,155000,116,116,116,116,15,0
MNS,5,20210212,155500,116,116,116,116,469,0
MNS,5,20210212,160000,117,119,112,119,654,0
MNS,5,20210212,160500,115,118,115,115,191,0
MNS,5,20210212,161500,115,119,115,119,168,0
MNS,5,20210212,162000,115,115,114,114,343,0
MNS,5,20210212,162500,115,115,112,112,853,0
MNS,5,20210212,163000,115,117,115,117,62,0
MNS,5,20210212,163500,117,117,117,117,45,0
MNS,5,20210212,164000,115,115,113,115,410,0
MNS,5,20210212,164500,114,116,114,115,201,0
MNS,5,20210215,090000,113,113,106,110,1268,0
MNS,5,20210215,090500,109,110,107,108,431,0
MNS,5,20210215,091000,107,107,105,107,440,0
MNS,5,20210215,091500,107,111,107,111,642,0
MNS,5,20210215,092000,110,111,110,110,167,0
MNS,5,20210215,092500,110,110,110,110,25,0
MNS,5,20210215,093000,109,110,108,108,225,0
MNS,5,20210215,093500,108,109,108,109,102,0
MNS,5,20210215,094000,109,109,109,109,270,0
MNS,5,20210215,094500,108,109,108,109,252,0
