<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOE,5,20210204,090000,2.2,2.2,2.2,2.2,1,0
MOE,5,20210204,090500,2.2,2.2,2.16,2.16,82,0
MOE,5,20210204,091500,2.18,2.18,2.18,2.18,10,0
MOE,5,20210204,092500,2.28,2.28,2.28,2.28,20,0
MOE,5,20210204,094000,2.18,2.18,2.18,2.18,312,0
MOE,5,20210204,103500,2.26,2.28,2.26,2.28,50,0
MOE,5,20210204,121000,2.2,2.2,2.18,2.18,60,0
MOE,5,20210204,122000,2.18,2.18,2.18,2.18,1300,0
MOE,5,20210204,124500,2.2,2.26,2.2,2.26,150,0
MOE,5,20210204,125500,2.18,2.18,2.18,2.18,1,0
MOE,5,20210204,131500,2.16,2.16,2.16,2.16,50,0
MOE,5,20210204,132000,2.14,2.16,2.14,2.14,70,0
MOE,5,20210204,142000,2.16,2.26,2.16,2.26,210,0
MOE,5,20210204,154500,2.18,2.18,2.18,2.18,1,0
MOE,5,20210204,155000,2.26,2.26,2.26,2.26,1,0
MOE,5,20210204,160000,2.18,2.18,2.18,2.18,1,0
MOE,5,20210204,163000,2.24,2.26,2.24,2.26,220,0
MOE,5,20210205,092500,2.26,2.28,2.26,2.28,195,0
MOE,5,20210205,100500,2.28,2.28,2.28,2.28,110,0
MOE,5,20210205,110500,2.26,2.26,2.26,2.26,50,0
MOE,5,20210205,130000,2.26,2.28,2.26,2.28,160,0
MOE,5,20210205,132000,2.26,2.26,2.26,2.26,40,0
MOE,5,20210205,144000,2.2,2.2,2.16,2.16,500,0
MOE,5,20210205,144500,2.12,2.12,2.12,2.12,1525,0
MOE,5,20210205,145000,2.1,2.1,2.1,2.1,1,0
MOE,5,20210205,145500,2.16,2.24,2.12,2.24,305,0
MOE,5,20210205,150000,2.1,2.1,2.02,2.02,120,0
MOE,5,20210205,151000,2.06,2.18,2.06,2.18,1010,0
MOE,5,20210205,151500,2.18,2.18,2.06,2.06,501,0
MOE,5,20210205,152500,2.06,2.06,2.06,2.06,599,0
MOE,5,20210205,153000,2.18,2.18,2.18,2.18,1,0
MOE,5,20210205,153500,2.02,2.02,2.02,2.02,1,0
MOE,5,20210205,154000,2.06,2.1,2.04,2.04,554,0
MOE,5,20210205,154500,2.1,2.12,2.1,2.12,560,0
MOE,5,20210205,155000,2.12,2.14,2.12,2.14,31,0
MOE,5,20210205,155500,2.12,2.12,2.12,2.12,5,0
MOE,5,20210205,163000,2.12,2.26,2.12,2.26,2980,0
MOE,5,20210205,163500,2.12,2.12,2.12,2.12,9,0
MOE,5,20210205,164000,2.24,2.24,2.24,2.24,12,0
MOE,5,20210208,093000,2.16,2.18,2.16,2.18,820,0
MOE,5,20210208,094000,2.12,2.12,2.12,2.12,1,0
MOE,5,20210208,094500,2.12,2.12,2.1,2.1,584,0
MOE,5,20210208,100000,2.1,2.1,2.1,2.1,50,0
MOE,5,20210208,111000,2.1,2.1,2.08,2.08,710,0
MOE,5,20210208,111500,2.08,2.08,2.08,2.08,40,0
MOE,5,20210208,120500,2.08,2.08,2.08,2.08,60,0
MOE,5,20210208,140500,2.16,2.18,2.16,2.18,80,0
MOE,5,20210208,150500,2.12,2.12,2.12,2.12,1304,0
MOE,5,20210208,152000,2.12,2.12,2.12,2.12,29245,0
MOE,5,20210208,160000,2.12,2.12,2.12,2.12,23451,0
MOE,5,20210208,162000,2.18,2.24,2.18,2.24,1000,0
MOE,5,20210208,163000,2.24,2.28,2.24,2.28,1250,0
MOE,5,20210209,102500,2.26,2.26,2.26,2.26,10,0
MOE,5,20210209,125000,2.24,2.28,2.24,2.28,2010,0
MOE,5,20210209,125500,2.28,2.36,2.28,2.36,5050,0
MOE,5,20210209,130500,2.34,2.36,2.34,2.36,1500,0
MOE,5,20210209,155500,2.22,2.22,2.18,2.18,400,0
MOE,5,20210209,160000,2.26,2.3,2.26,2.3,105,0
MOE,5,20210210,090500,2.2,2.36,2.2,2.36,3367,0
MOE,5,20210210,091000,2.36,2.36,2.36,2.36,1000,0
MOE,5,20210210,091500,2.36,2.36,2.36,2.36,1000,0
MOE,5,20210210,151000,2.26,2.26,2.22,2.22,200,0
MOE,5,20210210,151500,2.22,2.32,2.2,2.32,2960,0
MOE,5,20210210,154000,2.3,2.34,2.3,2.34,320,0
MOE,5,20210211,090000,2.34,2.36,2.26,2.26,1131,0
MOE,5,20210211,090500,2.36,2.38,2.36,2.38,720,0
MOE,5,20210211,115000,2.26,2.3,2.1,2.3,6661,0
MOE,5,20210211,115500,2.14,2.14,2.14,2.14,10,0
MOE,5,20210211,120000,2.26,2.26,2.26,2.26,1,0
MOE,5,20210211,130500,2.14,2.14,2.14,2.14,40,0
MOE,5,20210211,131500,2.14,2.14,2.14,2.14,59,0
MOE,5,20210211,132000,2.14,2.34,2.1,2.34,6698,0
MOE,5,20210211,132500,2.22,2.22,2.22,2.22,1400,0
MOE,5,20210211,134000,2.22,2.22,2.22,2.22,432,0
MOE,5,20210211,135000,2.26,2.34,2.26,2.34,1250,0
MOE,5,20210211,135500,2.34,2.36,2.34,2.36,290,0
MOE,5,20210211,143500,2.22,2.22,2.22,2.22,10,0
MOE,5,20210211,144000,2.34,2.34,2.34,2.34,200,0
MOE,5,20210211,162500,2.34,2.34,2.34,2.34,300,0
MOE,5,20210211,164500,2.32,2.32,2.2,2.2,61,0
MOE,5,20210212,090000,2.2,2.2,2.2,2.2,99,0
MOE,5,20210212,101000,2.16,2.16,2.16,2.16,50,0
MOE,5,20210212,101500,2.14,2.14,2.06,2.06,940,0
MOE,5,20210212,102000,2.08,2.08,2.04,2.04,2500,0
MOE,5,20210212,102500,2.04,2.04,2.04,2.04,5,0
MOE,5,20210212,103500,2.12,2.16,2.08,2.08,160,0
MOE,5,20210212,110000,2.16,2.16,2.16,2.16,1,0
MOE,5,20210212,115000,2.16,2.16,2.08,2.08,2016,0
MOE,5,20210212,115500,2.06,2.16,2.06,2.16,783,0
MOE,5,20210212,120000,2.04,2.04,2.04,2.04,1,0
MOE,5,20210212,120500,2.04,2.04,2.04,2.04,100,0
MOE,5,20210212,122000,2.16,2.16,2.16,2.16,50,0
MOE,5,20210212,123000,2.06,2.06,2.06,2.06,1,0
MOE,5,20210212,123500,2.18,2.3,2.16,2.3,14135,0
MOE,5,20210212,124500,2.14,2.14,2.04,2.04,2738,0
MOE,5,20210212,125000,2.16,2.16,2.16,2.16,50,0
MOE,5,20210212,130000,2.16,2.16,2.16,2.16,900,0
MOE,5,20210212,141000,2.08,2.08,2.08,2.08,1,0
MOE,5,20210212,143000,2.14,2.14,2.14,2.14,1,0
MOE,5,20210212,143500,2.08,2.08,2.02,2.02,1000,0
MOE,5,20210212,145000,2.06,2.14,2.06,2.14,68,0
MOE,5,20210212,150000,2.12,2.22,2.12,2.22,1815,0
MOE,5,20210212,150500,2.2,2.2,2.12,2.12,1210,0
MOE,5,20210212,151500,2.12,2.12,2.08,2.08,160,0
MOE,5,20210212,152000,2.08,2.08,2.06,2.06,55,0
MOE,5,20210212,154500,2.06,2.18,2.06,2.18,2060,0
MOE,5,20210212,155000,2.08,2.08,2.08,2.08,1,0
MOE,5,20210212,164000,2.12,2.14,2.08,2.14,399,0
