<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV,5,20210204,090000,111.5,111.5,111.5,111.5,32,0
MOV,5,20210204,094500,110,110,110,110,10,0
MOV,5,20210204,100000,110,110,109,109,48,0
MOV,5,20210204,101500,110,110,110,110,32,0
MOV,5,20210204,102000,111,112,111,112,231,0
MOV,5,20210204,102500,111,111,107,107,105,0
MOV,5,20210204,103500,107.5,107.5,107,107,38,0
MOV,5,20210204,105000,111.5,111.5,111.5,111.5,13,0
MOV,5,20210204,110000,111,111,111,111,10,0
MOV,5,20210204,111000,110.5,112,107,107,228,0
MOV,5,20210204,111500,112.5,112.5,108,108,70,0
MOV,5,20210204,112000,112,112,112,112,50,0
MOV,5,20210204,112500,112,112,112,112,21,0
MOV,5,20210204,114500,111,111,110,110,75,0
MOV,5,20210204,115500,111,111,111,111,6,0
MOV,5,20210204,121000,109,109,109,109,25,0
MOV,5,20210204,121500,110,111,110,111,12,0
MOV,5,20210204,123000,111,111,111,111,5,0
MOV,5,20210204,123500,109,111,108.5,111,22,0
MOV,5,20210204,124000,111,111,111,111,37,0
MOV,5,20210204,131500,110.5,110.5,110.5,110.5,2,0
MOV,5,20210204,132500,110.5,111,110.5,111,30,0
MOV,5,20210204,133500,111.5,111.5,111.5,111.5,9,0
MOV,5,20210204,135500,110,110,110,110,82,0
MOV,5,20210204,145500,110,110,110,110,15,0
MOV,5,20210204,150500,110,110,110,110,25,0
MOV,5,20210204,152000,110,110,109,109,21,0
MOV,5,20210204,154500,110,110,110,110,10,0
MOV,5,20210204,162500,110,110,110,110,9,0
MOV,5,20210204,163000,109,109,109,109,9,0
MOV,5,20210204,164500,111.5,111.5,111.5,111.5,35,0
MOV,5,20210205,091000,109.5,109.5,109.5,109.5,19,0
MOV,5,20210205,091500,111,111,111,111,1,0
MOV,5,20210205,092500,110.5,110.5,108,108,133,0
MOV,5,20210205,093000,108,111,108,111,17,0
MOV,5,20210205,094000,111,111,111,111,5,0
MOV,5,20210205,094500,109,109,109,109,10,0
MOV,5,20210205,095500,110,110,110,110,1,0
MOV,5,20210205,100000,110,110,110,110,10,0
MOV,5,20210205,101000,109,109,109,109,97,0
MOV,5,20210205,103000,109,109,109,109,15,0
MOV,5,20210205,103500,109,109,108.5,108.5,13,0
