<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRD,5,20210210,110000,0.705,0.705,0.705,0.705,1400,0
MRD,5,20210210,115000,0.705,0.705,0.705,0.705,2000,0
MRD,5,20210210,124500,0.705,0.705,0.705,0.705,3200,0
MRD,5,20210217,110000,0.845,0.845,0.845,0.845,8818,0
MRD,5,20210217,120500,0.845,0.845,0.845,0.845,1286,0
MRD,5,20210217,121000,0.845,0.845,0.845,0.845,1714,0
MRD,5,20210224,110000,0.9,0.9,0.9,0.9,3100,0
MRD,5,20210224,113500,0.9,0.9,0.9,0.9,2962,0
MRD,5,20210224,114000,0.9,0.9,0.9,0.9,324,0
MRD,5,20210302,110000,1.08,1.08,1.08,1.08,2119,0
MRD,5,20210302,150000,1.29,1.29,1.29,1.29,1126,0
MRD,5,20210302,150500,1.29,1.29,1.29,1.29,74,0
MRD,5,20210303,151000,1.54,1.54,1.54,1.54,8018,0
MRD,5,20210303,152000,1.54,1.54,1.54,1.54,500,0
MRD,5,20210304,110000,1.78,1.78,1.78,1.78,3050,0
MRD,5,20210304,110500,1.78,1.78,1.78,1.78,5500,0
MRD,5,20210304,150000,1.77,1.77,1.77,1.77,1596,0
MRD,5,20210309,150000,1.42,1.42,1.42,1.42,100,0
MRD,5,20210309,150500,1.42,1.42,1.42,1.42,150,0
MRD,5,20210310,110000,1.14,1.14,1.14,1.14,100,0
MRD,5,20210310,110500,1.14,1.14,1.14,1.14,180,0
MRD,5,20210311,110000,1.14,1.14,1.14,1.14,100,0
MRD,5,20210311,150000,1.14,1.14,1.14,1.14,20,0
MRD,5,20210312,110000,1.14,1.14,1.14,1.14,20,0
MRD,5,20210312,150000,1,1,1,1,600,0
MRD,5,20210312,152000,1,1,1,1,200,0
MRD,5,20210315,110000,0.8,0.8,0.8,0.8,3269,0
MRD,5,20210315,150000,0.95,0.95,0.95,0.95,126,0
MRD,5,20210316,150000,0.95,0.95,0.95,0.95,125,0
MRD,5,20210317,111500,0.95,0.95,0.95,0.95,150,0
MRD,5,20210318,150000,0.95,0.95,0.95,0.95,509,0
MRD,5,20210319,110000,1.09,1.09,1.09,1.09,500,0
MRD,5,20210322,110000,1.18,1.18,1.18,1.18,400,0
MRD,5,20210323,110000,1.18,1.18,1.18,1.18,100,0
MRD,5,20210324,110000,1.18,1.18,1.18,1.18,3535,0
MRD,5,20210324,110500,1.18,1.18,1.18,1.18,2000,0
MRD,5,20210324,150000,1.41,1.41,1.41,1.41,300,0
MRD,5,20210325,110000,1.49,1.49,1.49,1.49,200,0
