<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRG,5,20210204,092500,0.225,0.225,0.225,0.225,1793,0
MRG,5,20210204,093000,0.222,0.222,0.22,0.22,9860,0
MRG,5,20210204,100000,0.22,0.22,0.22,0.22,140,0
MRG,5,20210204,100500,0.217,0.225,0.216,0.225,5600,0
MRG,5,20210204,105000,0.22,0.22,0.22,0.22,2076,0
MRG,5,20210204,112500,0.224,0.226,0.216,0.216,24246,0
MRG,5,20210204,113000,0.215,0.222,0.215,0.222,6578,0
MRG,5,20210204,115500,0.214,0.214,0.214,0.214,4000,0
MRG,5,20210204,120500,0.224,0.226,0.224,0.226,1111,0
MRG,5,20210204,132500,0.226,0.226,0.226,0.226,108,0
MRG,5,20210204,135500,0.218,0.218,0.217,0.217,10000,0
MRG,5,20210204,154000,0.217,0.217,0.217,0.217,1000,0
MRG,5,20210204,162500,0.22,0.22,0.22,0.22,1000,0
MRG,5,20210205,102000,0.217,0.217,0.216,0.216,21000,0
MRG,5,20210205,122000,0.217,0.217,0.217,0.217,10000,0
MRG,5,20210205,141000,0.216,0.216,0.216,0.216,2000,0
MRG,5,20210205,152000,0.218,0.22,0.218,0.22,10000,0
MRG,5,20210205,152500,0.22,0.22,0.22,0.22,10000,0
MRG,5,20210208,090000,0.218,0.218,0.218,0.218,200,0
MRG,5,20210208,091500,0.218,0.218,0.218,0.218,5000,0
MRG,5,20210208,092500,0.212,0.212,0.21,0.21,11079,0
MRG,5,20210208,093500,0.21,0.21,0.208,0.208,10335,0
MRG,5,20210208,094000,0.217,0.217,0.217,0.217,294,0
MRG,5,20210208,095000,0.217,0.22,0.217,0.22,40000,0
MRG,5,20210208,100500,0.219,0.219,0.219,0.219,1,0
MRG,5,20210208,102000,0.213,0.213,0.213,0.213,5,0
MRG,5,20210208,104500,0.213,0.213,0.213,0.213,15,0
MRG,5,20210208,112500,0.213,0.219,0.213,0.219,6270,0
MRG,5,20210208,113500,0.213,0.213,0.213,0.213,5,0
MRG,5,20210208,114500,0.219,0.22,0.213,0.213,10005,0
MRG,5,20210208,115500,0.22,0.223,0.22,0.223,19766,0
MRG,5,20210208,120000,0.22,0.22,0.22,0.22,5,0
