<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRK,5,20210204,110000,0.6,0.6,0.6,0.6,20,0
MRK,5,20210205,110000,0.6,0.6,0.6,0.6,20,0
MRK,5,20210208,110000,0.6,0.6,0.6,0.6,30,0
MRK,5,20210209,110000,0.6,0.6,0.6,0.6,20,0
MRK,5,20210210,110000,0.6,0.6,0.6,0.6,20,0
MRK,5,20210211,110000,0.6,0.6,0.6,0.6,30,0
MRK,5,20210215,111000,0.6,0.6,0.6,0.6,30,0
MRK,5,20210216,150000,0.6,0.6,0.6,0.6,30,0
MRK,5,20210217,110000,0.6,0.6,0.6,0.6,20,0
MRK,5,20210218,110000,0.595,0.595,0.595,0.595,30,0
MRK,5,20210222,110000,0.595,0.595,0.595,0.595,30,0
MRK,5,20210224,110000,0.595,0.595,0.595,0.595,30,0
MRK,5,20210225,110000,0.595,0.595,0.595,0.595,21,0
MRK,5,20210301,110000,0.595,0.595,0.595,0.595,20,0
MRK,5,20210302,150000,0.59,0.59,0.59,0.59,30,0
MRK,5,20210303,110000,0.59,0.59,0.59,0.59,20,0
MRK,5,20210304,110000,0.59,0.59,0.59,0.59,20,0
MRK,5,20210305,110000,0.59,0.59,0.59,0.59,20,0
MRK,5,20210308,110000,0.59,0.59,0.59,0.59,30,0
MRK,5,20210309,110000,0.59,0.59,0.59,0.59,20,0
MRK,5,20210311,150000,0.59,0.59,0.59,0.59,30,0
MRK,5,20210312,110500,0.59,0.59,0.59,0.59,20,0
MRK,5,20210315,110000,0.59,0.59,0.59,0.59,30,0
MRK,5,20210316,110000,0.59,0.59,0.59,0.59,20,0
MRK,5,20210317,110000,0.59,0.59,0.59,0.59,20,0
MRK,5,20210319,110000,0.59,0.59,0.59,0.59,50,0
MRK,5,20210322,110000,0.59,0.59,0.59,0.59,30,0
MRK,5,20210323,110000,0.59,0.59,0.59,0.59,20,0
MRK,5,20210325,110000,0.59,0.59,0.59,0.59,20,0
MRK,5,20210326,110000,0.59,0.59,0.59,0.59,30,0
