<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSM,5,20210204,092500,7,7,7,7,923,0
MSM,5,20210204,093000,7,7,7,7,77,0
MSM,5,20210204,095000,7.5,7.5,7.5,7.5,100,0
MSM,5,20210204,111000,7.45,7.45,7.45,7.45,25,0
MSM,5,20210208,141000,6,6,6,6,1,0
MSM,5,20210210,155000,7.2,7.2,7.2,7.2,4,0
MSM,5,20210215,111000,6.7,6.7,6.7,6.7,12,0
MSM,5,20210215,120500,6.7,6.7,6.7,6.7,54,0
MSM,5,20210215,121000,7,7,7,7,34,0
MSM,5,20210217,112500,7,7,7,7,1962,0
MSM,5,20210217,113000,5.6,5.6,5.6,5.6,200,0
MSM,5,20210217,122500,7.1,7.1,7.1,7.1,1,0
MSM,5,20210217,161000,5.95,5.95,5.95,5.95,1,0
MSM,5,20210219,100000,5.95,5.95,5.95,5.95,59,0
MSM,5,20210219,102500,5.95,5.95,5.95,5.95,91,0
MSM,5,20210309,092500,7.1,7.1,7.1,7.1,3,0
MSM,5,20210309,094500,7.1,7.1,7.1,7.1,10,0
MSM,5,20210309,100500,7.1,7.1,7.1,7.1,210,0
MSM,5,20210309,104500,7.1,7.1,7.1,7.1,123,0
MSM,5,20210309,113000,7.1,7.1,7.1,7.1,27,0
MSM,5,20210310,163000,7.1,7.1,7.1,7.1,10,0
MSM,5,20210310,164000,7.1,7.1,7.1,7.1,1701,0
MSM,5,20210315,123000,5.8,5.8,5.8,5.8,10,0
MSM,5,20210315,160500,7.1,7.1,7.1,7.1,30,0
MSM,5,20210316,123500,7.1,7.1,7.1,7.1,1,0
