<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTN,5,20210204,090000,1.52,1.55,1.52,1.55,9648,0
MTN,5,20210204,090500,1.54,1.551,1.54,1.551,6403,0
MTN,5,20210204,091000,1.55,1.551,1.55,1.551,4148,0
MTN,5,20210204,091500,1.58,1.58,1.58,1.58,8,0
MTN,5,20210204,092000,1.57,1.6,1.57,1.6,6755,0
MTN,5,20210204,092500,1.59,1.6,1.59,1.6,4498,0
MTN,5,20210204,101000,1.6,1.6,1.6,1.6,500,0
MTN,5,20210204,104000,1.55,1.55,1.55,1.55,430,0
MTN,5,20210204,104500,1.55,1.55,1.55,1.55,335,0
MTN,5,20210204,112500,1.6,1.6,1.6,1.6,2,0
MTN,5,20210204,114000,1.5502,1.5502,1.5502,1.5502,777,0
MTN,5,20210204,121000,1.5502,1.5502,1.5502,1.5502,419,0
MTN,5,20210204,124000,1.5502,1.5502,1.55,1.55,1067,0
MTN,5,20210204,131000,1.576,1.576,1.576,1.576,730,0
MTN,5,20210204,133000,1.576,1.576,1.576,1.576,1000,0
MTN,5,20210204,140500,1.584,1.596,1.584,1.596,3859,0
MTN,5,20210204,142500,1.6,1.646,1.6,1.646,3800,0
MTN,5,20210204,143000,1.643,1.6498,1.643,1.6498,6500,0
MTN,5,20210204,143500,1.6498,1.6498,1.6498,1.6498,79,0
MTN,5,20210204,144000,1.65,1.655,1.65,1.655,4500,0
MTN,5,20210204,144500,1.655,1.655,1.6002,1.6002,415,0
MTN,5,20210204,145000,1.65,1.67,1.65,1.67,5742,0
MTN,5,20210204,145500,1.6002,1.8,1.6002,1.8,24875,0
MTN,5,20210204,150500,1.9,1.97,1.87,1.87,6116,0
MTN,5,20210204,151000,1.8,1.85,1.8,1.85,260,0
MTN,5,20210204,151500,1.85,1.85,1.85,1.85,49,0
MTN,5,20210204,152000,1.85,1.85,1.8,1.8,982,0
MTN,5,20210204,154500,1.73,1.73,1.6362,1.6362,3800,0
MTN,5,20210204,155500,1.7,1.7,1.7,1.7,1294,0
MTN,5,20210204,161000,1.74,1.75,1.74,1.75,1700,0
MTN,5,20210204,161500,1.8,1.8,1.8,1.8,100,0
MTN,5,20210204,162500,1.75,1.75,1.75,1.75,899,0
MTN,5,20210204,163000,1.74,1.74,1.74,1.74,1300,0
MTN,5,20210204,163500,1.7,1.7,1.7,1.7,1000,0
MTN,5,20210204,164500,1.74,1.74,1.74,1.74,2158,0
MTN,5,20210205,090000,1.74,1.74,1.72,1.72,7505,0
MTN,5,20210205,090500,1.7,1.7,1.7,1.7,2509,0
MTN,5,20210205,091000,1.7,1.7,1.7,1.7,891,0
MTN,5,20210205,092000,1.65,1.65,1.65,1.65,109,0
MTN,5,20210205,094000,1.65,1.66,1.57,1.66,7535,0
MTN,5,20210205,095500,1.66,1.66,1.66,1.66,2590,0
MTN,5,20210205,100000,1.65,1.65,1.65,1.65,1000,0
MTN,5,20210205,101500,1.65,1.65,1.6,1.6,2392,0
MTN,5,20210205,102000,1.62,1.62,1.6,1.6,4150,0
MTN,5,20210205,102500,1.64,1.64,1.64,1.64,2431,0
MTN,5,20210205,103000,1.59,1.59,1.57,1.57,1463,0
MTN,5,20210205,135000,1.6,1.6,1.6,1.6,920,0
MTN,5,20210208,090000,1.65,1.65,1.65,1.65,875,0
MTN,5,20210208,102000,1.6,1.6,1.6,1.6,1500,0
MTN,5,20210208,102500,1.55,1.55,1.54,1.54,1500,0
MTN,5,20210208,104000,1.55,1.55,1.55,1.55,291,0
MTN,5,20210208,105000,1.6,1.6,1.6,1.6,250,0
MTN,5,20210208,112000,1.6,1.6,1.6,1.6,2634,0
MTN,5,20210208,113500,1.65,1.65,1.649,1.65,5000,0
MTN,5,20210208,121500,1.7,1.7,1.7,1.7,1,0
MTN,5,20210208,122500,1.7,1.7,1.7,1.7,1300,0
MTN,5,20210208,123000,1.63,1.63,1.62,1.62,3500,0
MTN,5,20210208,123500,1.6,1.6,1.6,1.6,1191,0
MTN,5,20210208,133000,1.7,1.7,1.7,1.7,1,0
MTN,5,20210208,142500,1.6998,1.7,1.6998,1.7,3000,0
MTN,5,20210208,154500,1.65,1.65,1.65,1.65,1000,0
MTN,5,20210208,162000,1.6202,1.6202,1.6202,1.6202,375,0
MTN,5,20210208,162500,1.62,1.62,1.62,1.62,3500,0
MTN,5,20210209,092500,1.6,1.6,1.6,1.6,670,0
MTN,5,20210209,093500,1.6,1.6,1.6,1.6,675,0
