<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXP,5,20210210,154500,0.81,0.81,0.81,0.81,814,0
MXP,5,20210212,110000,0.8,0.85,0.8,0.85,1112,0
MXP,5,20210212,121000,0.83,0.83,0.83,0.83,1000,0
MXP,5,20210215,102500,0.83,0.85,0.83,0.85,3513,0
MXP,5,20210215,104000,0.85,0.91,0.85,0.91,5000,0
MXP,5,20210215,111500,0.9,0.9,0.9,0.9,600,0
MXP,5,20210215,113000,0.9,0.9,0.9,0.9,120,0
MXP,5,20210218,090000,0.89,0.89,0.89,0.89,2000,0
MXP,5,20210218,090500,0.8,0.8,0.8,0.8,4000,0
MXP,5,20210218,103500,0.8,0.8,0.8,0.8,1250,0
MXP,5,20210218,112000,0.8,0.8,0.8,0.8,1255,0
MXP,5,20210224,110000,0.75,0.75,0.75,0.75,1549,0
MXP,5,20210224,120000,0.75,0.75,0.75,0.75,240,0
MXP,5,20210304,104500,0.74,0.74,0.74,0.74,7,0
MXP,5,20210304,162000,0.74,0.74,0.74,0.74,2100,0
MXP,5,20210310,115000,0.78,0.78,0.78,0.78,412,0
MXP,5,20210317,095500,0.71,0.71,0.71,0.71,2000,0
MXP,5,20210317,100000,0.7,0.7,0.7,0.7,1860,0
MXP,5,20210317,105500,0.73,0.73,0.7,0.7,2700,0
MXP,5,20210317,141500,0.76,0.76,0.76,0.76,320,0
MXP,5,20210317,151000,0.715,0.715,0.71,0.71,4000,0
MXP,5,20210317,152000,0.7,0.7,0.7,0.7,5300,0
MXP,5,20210317,152500,0.735,0.735,0.735,0.735,1830,0
MXP,5,20210318,112500,0.7,0.7,0.7,0.7,2000,0
MXP,5,20210318,115000,0.7,0.7,0.7,0.7,100,0
MXP,5,20210318,120500,0.7,0.7,0.7,0.7,600,0
MXP,5,20210318,121500,0.7,0.7,0.7,0.7,2000,0
MXP,5,20210322,100000,0.68,0.68,0.68,0.68,2250,0
MXP,5,20210322,113000,0.68,0.7,0.68,0.7,900,0
MXP,5,20210322,153000,0.7,0.7,0.7,0.7,217,0
MXP,5,20210323,094000,0.68,0.68,0.68,0.68,2000,0
MXP,5,20210323,094500,0.7,0.7,0.7,0.7,200,0
MXP,5,20210324,091500,0.68,0.68,0.68,0.68,3000,0
MXP,5,20210324,094500,0.66,0.66,0.66,0.66,5000,0
MXP,5,20210324,102000,0.695,0.695,0.695,0.695,2500,0
MXP,5,20210324,133000,0.665,0.665,0.665,0.665,5000,0
MXP,5,20210324,133500,0.665,0.695,0.665,0.695,2200,0
MXP,5,20210325,092500,0.72,0.76,0.7,0.7,7940,0
MXP,5,20210325,143000,0.75,0.75,0.75,0.75,200,0
MXP,5,20210325,155000,0.735,0.735,0.735,0.735,500,0
