<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGG,5,20210204,090000,0.253,0.253,0.253,0.253,400,0
NGG,5,20210204,090500,0.259,0.259,0.259,0.259,1,0
NGG,5,20210204,093000,0.259,0.259,0.259,0.259,2712,0
NGG,5,20210204,100000,0.259,0.259,0.259,0.259,1918,0
NGG,5,20210204,101000,0.259,0.259,0.259,0.259,3000,0
NGG,5,20210204,102000,0.256,0.259,0.256,0.259,2948,0
NGG,5,20210204,104500,0.256,0.256,0.256,0.256,200,0
NGG,5,20210204,105500,0.256,0.256,0.256,0.256,3000,0
NGG,5,20210204,111500,0.256,0.256,0.254,0.254,10000,0
NGG,5,20210204,112000,0.254,0.254,0.253,0.253,10000,0
NGG,5,20210204,112500,0.253,0.253,0.253,0.253,33372,0
NGG,5,20210204,115000,0.256,0.256,0.256,0.256,3000,0
NGG,5,20210204,115500,0.256,0.256,0.253,0.253,2035,0
NGG,5,20210204,122500,0.253,0.253,0.251,0.251,50000,0
NGG,5,20210204,123500,0.253,0.253,0.253,0.253,1650,0
NGG,5,20210204,124000,0.251,0.251,0.251,0.251,26978,0
NGG,5,20210204,125500,0.251,0.251,0.246,0.246,81597,0
NGG,5,20210204,130000,0.253,0.253,0.253,0.253,1222,0
NGG,5,20210204,133500,0.25,0.25,0.246,0.246,55824,0
NGG,5,20210204,134500,0.247,0.247,0.247,0.247,4050,0
NGG,5,20210204,135000,0.253,0.253,0.253,0.253,1569,0
NGG,5,20210204,145000,0.248,0.248,0.248,0.248,2950,0
NGG,5,20210204,145500,0.248,0.248,0.247,0.247,11000,0
NGG,5,20210204,150000,0.247,0.247,0.246,0.246,3000,0
NGG,5,20210204,150500,0.253,0.253,0.253,0.253,18409,0
NGG,5,20210204,151000,0.253,0.253,0.253,0.253,1591,0
NGG,5,20210204,153000,0.248,0.248,0.248,0.248,11949,0
NGG,5,20210204,155000,0.247,0.247,0.246,0.246,40000,0
NGG,5,20210204,160000,0.252,0.252,0.252,0.252,170,0
NGG,5,20210204,160500,0.252,0.252,0.252,0.252,40000,0
NGG,5,20210204,161000,0.25,0.25,0.25,0.25,1000,0
NGG,5,20210204,162500,0.251,0.251,0.251,0.251,1000,0
NGG,5,20210204,163500,0.252,0.252,0.252,0.252,16657,0
NGG,5,20210204,164000,0.252,0.255,0.252,0.255,1351,0
NGG,5,20210204,164500,0.25,0.25,0.25,0.25,4000,0
NGG,5,20210205,090000,0.247,0.254,0.247,0.254,9002,0
NGG,5,20210205,092500,0.254,0.254,0.254,0.254,10500,0
NGG,5,20210205,093000,0.248,0.248,0.246,0.246,30000,0
NGG,5,20210205,093500,0.254,0.254,0.254,0.254,1,0
NGG,5,20210205,100000,0.247,0.247,0.247,0.247,710,0
NGG,5,20210205,101000,0.248,0.248,0.248,0.248,1000,0
NGG,5,20210205,101500,0.253,0.253,0.253,0.253,3288,0
NGG,5,20210205,103000,0.253,0.253,0.253,0.253,575,0
NGG,5,20210205,105000,0.253,0.253,0.253,0.253,700,0
NGG,5,20210205,105500,0.252,0.252,0.252,0.252,3612,0
NGG,5,20210205,111000,0.249,0.252,0.249,0.252,2846,0
NGG,5,20210205,111500,0.252,0.252,0.25,0.25,10076,0
NGG,5,20210205,112500,0.25,0.25,0.25,0.25,10000,0
NGG,5,20210205,120500,0.25,0.25,0.25,0.25,2,0
NGG,5,20210205,122500,0.251,0.252,0.251,0.252,18460,0
NGG,5,20210205,123000,0.252,0.252,0.252,0.252,498,0
NGG,5,20210205,123500,0.252,0.252,0.252,0.252,10000,0
NGG,5,20210205,124000,0.252,0.252,0.252,0.252,13166,0
NGG,5,20210205,130000,0.253,0.253,0.253,0.253,800,0
NGG,5,20210205,132000,0.253,0.253,0.253,0.253,1000,0
NGG,5,20210205,132500,0.253,0.256,0.252,0.252,10159,0
NGG,5,20210205,135000,0.254,0.255,0.254,0.255,3700,0
NGG,5,20210205,140000,0.255,0.255,0.255,0.255,5000,0
