<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOV,5,20210205,091000,0.63,0.63,0.63,0.63,3174,0
NOV,5,20210205,162000,0.63,0.65,0.63,0.65,200,0
NOV,5,20210208,104500,0.65,0.65,0.65,0.65,300,0
NOV,5,20210208,111500,0.65,0.66,0.65,0.66,2000,0
NOV,5,20210208,115000,0.66,0.68,0.66,0.68,7575,0
NOV,5,20210208,133000,0.695,0.72,0.695,0.72,3300,0
NOV,5,20210209,090500,0.64,0.7,0.6,0.7,6001,0
NOV,5,20210209,102000,0.66,0.7,0.66,0.7,1699,0
NOV,5,20210209,105000,0.645,0.645,0.61,0.61,5000,0
NOV,5,20210209,112500,0.66,0.66,0.66,0.66,1,0
NOV,5,20210209,120500,0.625,0.625,0.625,0.625,4345,0
NOV,5,20210209,144500,0.655,0.66,0.655,0.66,2154,0
NOV,5,20210209,163500,0.66,0.66,0.66,0.66,500,0
NOV,5,20210209,164000,0.66,0.68,0.66,0.68,70,0
NOV,5,20210210,103000,0.645,0.645,0.64,0.64,2308,0
NOV,5,20210210,103500,0.645,0.68,0.645,0.68,3300,0
NOV,5,20210210,115500,0.66,0.66,0.66,0.66,2250,0
NOV,5,20210210,140000,0.68,0.695,0.68,0.695,1499,0
NOV,5,20210211,093000,0.695,0.695,0.695,0.695,500,0
NOV,5,20210212,114500,0.65,0.745,0.65,0.745,7438,0
NOV,5,20210212,115000,0.745,0.745,0.745,0.745,100,0
NOV,5,20210212,135000,0.745,0.745,0.745,0.745,2500,0
NOV,5,20210215,090000,0.81,0.81,0.81,0.81,10554,0
NOV,5,20210215,090500,0.93,0.97,0.93,0.97,18002,0
NOV,5,20210215,092500,0.95,0.95,0.89,0.89,7300,0
NOV,5,20210215,093000,0.89,0.89,0.89,0.89,2700,0
NOV,5,20210215,093500,0.89,0.89,0.89,0.89,1317,0
NOV,5,20210215,095000,0.89,0.89,0.89,0.89,156,0
NOV,5,20210215,095500,0.89,0.89,0.89,0.89,400,0
