<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRS,5,20210204,121500,3.8,3.8,3.8,3.8,1000,0
NRS,5,20210204,133500,3.96,3.96,3.96,3.96,25,0
NRS,5,20210204,161000,3.84,3.84,3.8,3.8,950,0
NRS,5,20210205,132000,3.8,3.8,3.8,3.8,1,0
NRS,5,20210205,133000,3.9,3.9,3.9,3.9,5,0
NRS,5,20210205,133500,3.8,3.8,3.8,3.8,410,0
NRS,5,20210208,120000,3.9,3.9,3.9,3.9,395,0
NRS,5,20210208,133500,3.9,3.9,3.9,3.9,950,0
NRS,5,20210208,141500,4,4.22,4,4.22,1150,0
NRS,5,20210208,150500,4.2,4.2,4.2,4.2,250,0
NRS,5,20210209,091500,4,4,4,4,500,0
NRS,5,20210209,093500,4.2,4.2,4.2,4.2,25,0
NRS,5,20210209,103000,4,4,4,4,405,0
NRS,5,20210209,104000,4.18,4.2,4.18,4.2,500,0
NRS,5,20210209,112500,4.2,4.2,4.2,4.2,100,0
NRS,5,20210209,131000,4.02,4.02,4,4,900,0
NRS,5,20210210,090000,4,4,4,4,25,0
NRS,5,20210210,143500,3.94,3.94,3.94,3.94,600,0
NRS,5,20210210,145000,4,4,4,4,25,0
NRS,5,20210210,164500,4,4,4,4,150,0
NRS,5,20210211,130500,4,4,4,4,43,0
NRS,5,20210211,131000,3.82,3.82,3.8,3.8,1150,0
NRS,5,20210211,134500,3.82,3.82,3.82,3.82,500,0
NRS,5,20210211,141000,3.8,3.8,3.8,3.8,39,0
NRS,5,20210211,142500,3.8,3.8,3.8,3.8,500,0
NRS,5,20210211,143000,3.8,3.8,3.8,3.8,350,0
NRS,5,20210211,145000,3.8,3.8,3.8,3.8,99,0
NRS,5,20210211,145500,3.98,3.98,3.98,3.98,1,0
NRS,5,20210211,151000,3.82,3.82,3.82,3.82,500,0
NRS,5,20210211,160500,3.82,3.82,3.82,3.82,500,0
NRS,5,20210212,095500,3.74,3.8,3.72,3.8,1001,0
NRS,5,20210212,112000,3.62,3.62,3.5,3.5,2000,0
NRS,5,20210212,120000,3.68,3.68,3.68,3.68,800,0
NRS,5,20210212,131500,3.7,3.7,3.7,3.7,450,0
NRS,5,20210215,114500,3.7,3.7,3.7,3.7,500,0
NRS,5,20210215,115000,3.6,3.6,3.6,3.6,800,0
NRS,5,20210215,135500,3.54,3.54,3.5,3.5,1800,0
