<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NST,5,20210204,110000,1.285,1.285,1.285,1.285,1375,0
NST,5,20210204,150000,1.25,1.25,1.25,1.25,425,0
NST,5,20210204,152500,1.25,1.25,1.25,1.25,1075,0
NST,5,20210205,110000,1.285,1.285,1.285,1.285,51,0
NST,5,20210205,111500,1.285,1.285,1.285,1.285,3449,0
NST,5,20210205,112500,1.285,1.285,1.285,1.285,1000,0
NST,5,20210205,150000,1.28,1.28,1.28,1.28,451,0
NST,5,20210205,150500,1.28,1.28,1.28,1.28,111,0
NST,5,20210208,150000,1.26,1.26,1.26,1.26,117,0
NST,5,20210209,110000,1.29,1.29,1.29,1.29,3900,0
NST,5,20210209,150000,1.27,1.27,1.27,1.27,5110,0
NST,5,20210210,150000,1.26,1.26,1.26,1.26,2038,0
NST,5,20210211,110000,1.26,1.26,1.26,1.26,4170,0
NST,5,20210211,150000,1.235,1.235,1.235,1.235,3500,0
NST,5,20210212,110000,1.245,1.245,1.245,1.245,2843,0
NST,5,20210212,150000,1.335,1.335,1.335,1.335,701,0
NST,5,20210215,110000,1.26,1.26,1.26,1.26,2130,0
NST,5,20210215,111500,1.26,1.26,1.26,1.26,120,0
NST,5,20210215,150000,1.25,1.25,1.25,1.25,4770,0
NST,5,20210215,151500,1.25,1.25,1.25,1.25,5000,0
NST,5,20210216,110000,1.25,1.25,1.25,1.25,2200,0
NST,5,20210216,152500,1.25,1.25,1.25,1.25,1077,0
NST,5,20210217,110000,1.3,1.3,1.3,1.3,909,0
NST,5,20210217,112000,1.3,1.3,1.3,1.3,1000,0
NST,5,20210217,150000,1.29,1.29,1.29,1.29,199,0
NST,5,20210218,150000,1.325,1.325,1.325,1.325,8983,0
NST,5,20210219,110000,1.325,1.325,1.325,1.325,5531,0
NST,5,20210219,150000,1.325,1.325,1.325,1.325,1640,0
NST,5,20210222,110000,1.305,1.305,1.305,1.305,2524,0
NST,5,20210222,150000,1.31,1.31,1.31,1.31,3067,0
NST,5,20210223,110000,1.305,1.305,1.305,1.305,3800,0
NST,5,20210223,150000,1.31,1.31,1.31,1.31,20050,0
NST,5,20210223,151000,1.31,1.31,1.31,1.31,764,0
NST,5,20210223,151500,1.31,1.31,1.31,1.31,6433,0
NST,5,20210224,110000,1.3,1.3,1.3,1.3,2194,0
NST,5,20210224,150000,1.305,1.305,1.305,1.305,684,0
NST,5,20210225,110000,1.3,1.3,1.3,1.3,3917,0
NST,5,20210225,150000,1.275,1.275,1.275,1.275,2000,0
NST,5,20210301,110000,1.35,1.35,1.35,1.35,650,0
NST,5,20210301,110500,1.35,1.35,1.35,1.35,550,0
NST,5,20210301,111000,1.35,1.35,1.35,1.35,1000,0
NST,5,20210301,150000,1.3,1.3,1.3,1.3,2662,0
NST,5,20210302,150000,1.3,1.3,1.3,1.3,45,0
NST,5,20210303,110000,1.27,1.27,1.27,1.27,2745,0
NST,5,20210303,150000,1.27,1.27,1.27,1.27,2279,0
NST,5,20210303,152000,1.27,1.27,1.27,1.27,777,0
NST,5,20210304,110000,1.27,1.27,1.27,1.27,150,0
NST,5,20210305,110000,1.345,1.345,1.345,1.345,3000,0
NST,5,20210305,150000,1.35,1.35,1.35,1.35,4000,0
NST,5,20210308,150000,1.35,1.35,1.35,1.35,5891,0
NST,5,20210308,152000,1.35,1.35,1.35,1.35,1091,0
NST,5,20210309,110000,1.4,1.4,1.4,1.4,6350,0
NST,5,20210309,150000,1.4,1.4,1.4,1.4,9296,0
NST,5,20210310,110000,1.37,1.37,1.37,1.37,2303,0
NST,5,20210310,150000,1.4,1.4,1.4,1.4,1000,0
NST,5,20210310,152000,1.4,1.4,1.4,1.4,1214,0
NST,5,20210311,150000,1.4,1.4,1.4,1.4,7000,0
NST,5,20210312,110000,1.4,1.4,1.4,1.4,7837,0
NST,5,20210312,150000,1.42,1.42,1.42,1.42,2220,0
NST,5,20210315,110000,1.49,1.49,1.49,1.49,4338,0
NST,5,20210315,150000,1.525,1.525,1.525,1.525,7520,0
NST,5,20210315,150500,1.525,1.525,1.525,1.525,1500,0
NST,5,20210315,151000,1.525,1.525,1.525,1.525,1280,0
NST,5,20210315,151500,1.525,1.525,1.525,1.525,720,0
NST,5,20210316,110000,1.57,1.57,1.57,1.57,8935,0
NST,5,20210316,111000,1.57,1.57,1.57,1.57,1100,0
NST,5,20210316,150000,1.6,1.6,1.6,1.6,3923,0
NST,5,20210316,151000,1.6,1.6,1.6,1.6,5055,0
NST,5,20210317,110000,1.65,1.65,1.65,1.65,6300,0
NST,5,20210317,112500,1.65,1.65,1.65,1.65,375,0
NST,5,20210317,150000,1.55,1.55,1.55,1.55,5664,0
NST,5,20210318,110000,1.6,1.6,1.6,1.6,2020,0
NST,5,20210318,110500,1.6,1.6,1.6,1.6,1980,0
NST,5,20210318,150000,1.6,1.6,1.6,1.6,2000,0
NST,5,20210318,151000,1.6,1.6,1.6,1.6,1740,0
NST,5,20210319,110000,1.56,1.56,1.56,1.56,614,0
NST,5,20210319,110500,1.56,1.56,1.56,1.56,1205,0
NST,5,20210319,150000,1.57,1.57,1.57,1.57,3000,0
NST,5,20210322,110000,1.6,1.6,1.6,1.6,1000,0
NST,5,20210322,150000,1.63,1.63,1.63,1.63,6528,0
NST,5,20210323,110000,1.6,1.6,1.6,1.6,2979,0
NST,5,20210323,112000,1.6,1.6,1.6,1.6,801,0
NST,5,20210323,150000,1.6,1.6,1.6,1.6,188,0
NST,5,20210324,110000,1.65,1.65,1.65,1.65,867,0
NST,5,20210324,150000,1.6,1.6,1.6,1.6,2050,0
NST,5,20210325,110000,1.64,1.64,1.64,1.64,1030,0
NST,5,20210325,110500,1.64,1.64,1.64,1.64,762,0
NST,5,20210325,111000,1.64,1.64,1.64,1.64,138,0
NST,5,20210325,111500,1.64,1.64,1.64,1.64,1134,0
NST,5,20210325,112000,1.64,1.64,1.64,1.64,135,0
NST,5,20210325,150000,1.63,1.63,1.63,1.63,1300,0
NST,5,20210325,152000,1.63,1.63,1.63,1.63,1750,0
NST,5,20210326,110000,1.64,1.64,1.64,1.64,1000,0
NST,5,20210326,111000,1.64,1.64,1.64,1.64,1585,0
NST,5,20210326,150000,1.64,1.64,1.64,1.64,115,0
