<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTS,5,20210208,090000,5.3,5.3,5.3,5.3,797,0
NTS,5,20210210,160000,5.35,5.35,5.35,5.35,190,0
NTS,5,20210212,123500,5.45,5.45,5.45,5.45,390,0
NTS,5,20210212,131000,5.5,5.5,5.5,5.5,364,0
NTS,5,20210212,131500,6.25,6.25,6.25,6.25,10,0
NTS,5,20210215,095000,5.7,5.7,5.7,5.7,220,0
NTS,5,20210215,101500,5.7,5.7,5.7,5.7,35,0
NTS,5,20210215,102500,5.7,5.7,5.7,5.7,330,0
NTS,5,20210215,110500,5.75,5.75,5.75,5.75,350,0
NTS,5,20210215,140500,5.8,5.8,5.8,5.8,42,0
NTS,5,20210216,090000,5.85,5.85,5.85,5.85,385,0
NTS,5,20210216,114000,5.85,5.85,5.85,5.85,583,0
NTS,5,20210217,090000,6,6,6,6,340,0
NTS,5,20210217,100000,6.1,6.1,6.1,6.1,330,0
NTS,5,20210217,164500,6.1,6.1,6.1,6.1,631,0
NTS,5,20210218,090000,6.25,6.25,6.25,6.25,1000,0
NTS,5,20210218,105000,6.25,6.25,6.25,6.25,150,0
NTS,5,20210218,105500,6.25,6.25,6.25,6.25,270,0
NTS,5,20210218,110000,6.3,6.3,6.3,6.3,330,0
NTS,5,20210218,110500,6.45,6.45,6.45,6.45,190,0
NTS,5,20210218,142500,6.45,6.45,6.45,6.45,110,0
NTS,5,20210218,143000,6.3,6.3,6.3,6.3,345,0
NTS,5,20210218,150500,6.25,6.25,6.25,6.25,280,0
NTS,5,20210301,121500,6.25,6.25,6.25,6.25,85,0
NTS,5,20210311,104000,6.05,6.05,6.05,6.05,220,0
NTS,5,20210311,152000,6.05,6.3,6.05,6.3,688,0
NTS,5,20210312,091000,6.4,6.4,6.4,6.4,300,0
NTS,5,20210312,121000,6.2,6.2,6.2,6.2,42,0
NTS,5,20210315,090500,6.45,6.45,6.45,6.45,326,0
NTS,5,20210315,091000,6.5,6.5,6.5,6.5,306,0
NTS,5,20210315,092500,6.55,6.55,6.55,6.55,306,0
NTS,5,20210315,093000,6.65,6.65,6.65,6.65,299,0
NTS,5,20210315,110500,6.55,6.55,6.55,6.55,626,0
NTS,5,20210316,092000,6.55,6.55,6.55,6.55,626,0
NTS,5,20210318,103000,6.8,6.8,6.8,6.8,315,0
NTS,5,20210318,105500,6.85,6.85,6.85,6.85,293,0
NTS,5,20210319,090000,7,7,7,7,286,0
