<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTW,5,20210204,094500,16.7,16.7,16.7,16.7,10,0
NTW,5,20210204,102000,16.8,16.8,16.8,16.8,18,0
NTW,5,20210204,103000,17,17.2,17,17.2,20,0
NTW,5,20210204,104500,16.8,16.8,16.8,16.8,126,0
NTW,5,20210204,114000,16.8,16.8,16.8,16.8,10,0
NTW,5,20210204,121500,17,17,17,17,88,0
NTW,5,20210204,124000,17,17,17,17,42,0
NTW,5,20210205,101500,17,17,17,17,1,0
NTW,5,20210205,110000,17,17,17,17,100,0
NTW,5,20210205,115500,17,17,17,17,269,0
NTW,5,20210205,134000,16.6,16.6,16,16,100,0
NTW,5,20210205,142000,16,16,16,16,85,0
NTW,5,20210205,144500,17.4,17.4,17.4,17.4,1,0
NTW,5,20210209,101000,17.4,17.4,17.4,17.4,9,0
NTW,5,20210209,105000,17.4,17.4,17.4,17.4,67,0
NTW,5,20210209,120500,17.3,17.3,17.3,17.3,70,0
NTW,5,20210210,090000,17,17,17,17,2,0
NTW,5,20210210,161000,17,17,17,17,100,0
NTW,5,20210215,090500,16.7,16.7,16.7,16.7,1,0
NTW,5,20210215,092500,16.7,16.7,16.7,16.7,148,0
NTW,5,20210215,115500,16.9,16.9,16.9,16.9,158,0
NTW,5,20210215,153500,16.2,16.2,15.7,15.7,46,0
NTW,5,20210215,164500,17,17,17,17,10,0
NTW,5,20210216,093000,16.4,16.4,16.4,16.4,91,0
NTW,5,20210216,113000,16.4,16.4,16.4,16.4,13,0
NTW,5,20210216,141000,15.9,15.9,15.8,15.8,91,0
NTW,5,20210217,095500,15.8,15.8,15.8,15.8,1,0
NTW,5,20210217,130500,16,16,16,16,5,0
NTW,5,20210217,143000,16.5,16.5,16.5,16.5,10,0
NTW,5,20210217,145000,16.5,16.5,16.5,16.5,90,0
NTW,5,20210218,122000,17,17,17,17,10,0
NTW,5,20210218,131000,17.4,17.4,17.4,17.4,10,0
NTW,5,20210218,132000,17.6,17.6,17.6,17.6,10,0
NTW,5,20210218,134500,17.6,17.6,17.6,17.6,50,0
NTW,5,20210218,154500,17.6,17.6,17.6,17.6,40,0
NTW,5,20210218,161000,17.9,18,17.9,18,29,0
NTW,5,20210218,161500,19,19,19,19,112,0
NTW,5,20210218,163500,19,19,19,19,71,0
NTW,5,20210218,164500,19,19,19,19,59,0
NTW,5,20210219,132500,19,19,19,19,10,0
NTW,5,20210219,142500,19,19,19,19,158,0
NTW,5,20210219,143000,19,19,19,19,100,0
NTW,5,20210219,164500,19,19,19,19,34,0
NTW,5,20210222,090500,19.3,19.3,19.3,19.3,10,0
NTW,5,20210222,131000,19.4,19.4,19.4,19.4,20,0
NTW,5,20210222,153000,19.4,19.4,19,19,65,0
NTW,5,20210223,092000,19.5,19.5,19.5,19.5,1,0
NTW,5,20210223,124000,19,19,19,19,46,0
NTW,5,20210225,144500,19,19,19,19,1,0
NTW,5,20210226,114000,19,19,19,19,1,0
NTW,5,20210301,091000,19,19,19,19,1,0
NTW,5,20210301,091500,19.5,19.5,19.5,19.5,128,0
NTW,5,20210301,094500,19,19,19,19,74,0
NTW,5,20210301,104000,19.4,19.4,19.4,19.4,10,0
NTW,5,20210302,094500,19.8,19.8,19.8,19.8,10,0
NTW,5,20210302,102000,19.1,19.1,19.1,19.1,30,0
NTW,5,20210302,122500,19.5,19.5,19.5,19.5,106,0
NTW,5,20210302,132000,19.5,19.5,19.5,19.5,80,0
NTW,5,20210302,135000,19.1,19.1,19.1,19.1,31,0
NTW,5,20210302,142000,18,18,18,18,10,0
NTW,5,20210302,142500,18,18,18,18,39,0
NTW,5,20210302,163500,19.9,19.9,19.9,19.9,130,0
NTW,5,20210302,164500,20,20,20,20,1,0
NTW,5,20210303,090000,20.8,20.8,20.8,20.8,11,0
NTW,5,20210304,101000,19.2,19.2,19.2,19.2,135,0
NTW,5,20210304,123000,19,19,19,19,65,0
NTW,5,20210305,090000,19.8,19.8,19.8,19.8,10,0
NTW,5,20210305,164500,19,19,18.1,18.1,25,0
NTW,5,20210308,090000,19.8,19.8,19.8,19.8,20,0
NTW,5,20210308,091000,18.9,18.9,18.9,18.9,5,0
NTW,5,20210308,094500,18.5,18.5,18.5,18.5,147,0
NTW,5,20210308,095500,18.5,18.5,18.5,18.5,60,0
NTW,5,20210308,103000,18.5,18.5,18.5,18.5,109,0
NTW,5,20210308,124000,18.9,18.9,18.9,18.9,5,0
NTW,5,20210308,135500,18.1,18.1,18.1,18.1,60,0
NTW,5,20210308,143000,18.1,18.1,18.1,18.1,10,0
NTW,5,20210308,151000,19.8,19.8,19.8,19.8,90,0
NTW,5,20210308,153000,19.6,19.6,19.6,19.6,5,0
NTW,5,20210308,163000,20,20,20,20,75,0
NTW,5,20210309,090500,21,21,20.6,20.6,110,0
NTW,5,20210309,095500,21,21,21,21,100,0
NTW,5,20210309,121000,20.6,20.6,20.6,20.6,10,0
NTW,5,20210309,145000,20.6,20.6,20.6,20.6,5,0
NTW,5,20210311,091000,20.8,20.8,20.8,20.8,20,0
NTW,5,20210311,103000,20.8,20.8,20.8,20.8,80,0
NTW,5,20210311,103500,21,21,21,21,103,0
NTW,5,20210311,111500,21.8,21.8,21.8,21.8,5,0
NTW,5,20210311,123000,21.8,21.8,21.8,21.8,9,0
NTW,5,20210311,144000,21.8,21.8,21.8,21.8,59,0
NTW,5,20210311,154500,22,22,22,22,28,0
NTW,5,20210311,155500,22,24,22,24,1112,0
NTW,5,20210315,101000,28.8,34.2,28.8,34.2,3005,0
NTW,5,20210315,101500,34,34,34,34,16,0
NTW,5,20210315,143500,35.6,35.6,34,34,4005,0
NTW,5,20210315,144000,34,34,34,34,32,0
NTW,5,20210316,090000,39.4,42,37,42,1302,0
NTW,5,20210316,090500,43,43,40,40.2,397,0
NTW,5,20210316,091500,37.6,37.6,37.6,37.6,27,0
NTW,5,20210316,092000,40,40,37,39,376,0
NTW,5,20210316,092500,37,37,37,37,258,0
NTW,5,20210316,093000,39,39,39,39,98,0
NTW,5,20210316,093500,37.4,37.4,37,37,163,0
NTW,5,20210316,094000,38.4,38.4,38.4,38.4,28,0
NTW,5,20210316,095500,38.2,38.2,36.6,38.2,196,0
NTW,5,20210316,100000,36.8,38.2,36.8,38.2,101,0
NTW,5,20210316,100500,36.8,36.8,36.6,36.6,44,0
NTW,5,20210316,101000,36.6,38,36.6,38,7,0
NTW,5,20210316,102000,37.4,37.6,37.4,37.6,26,0
NTW,5,20210316,105000,37,37,37,37,130,0
NTW,5,20210316,110500,36.6,36.6,36.6,36.6,10,0
NTW,5,20210316,112000,36,36,36,36,11,0
NTW,5,20210316,112500,35.2,35.2,34.2,34.2,187,0
NTW,5,20210316,115000,32,32,32,32,10,0
NTW,5,20210316,121500,30,30,25.4,30,426,0
NTW,5,20210316,122000,33.2,33.2,33.2,33.2,2,0
NTW,5,20210316,124000,33.2,33.2,33.2,33.2,100,0
NTW,5,20210316,130000,33.2,33.2,33.2,33.2,8,0
NTW,5,20210316,133000,33.4,33.8,33.4,33.8,69,0
NTW,5,20210316,134000,34,34,34,34,50,0
NTW,5,20210316,135000,35,35,35,35,8,0
NTW,5,20210316,140000,34,34,34,34,9,0
NTW,5,20210316,143500,30.6,30.6,30.6,30.6,91,0
NTW,5,20210316,144500,34.2,34.2,34.2,34.2,34,0
NTW,5,20210316,150000,34.6,34.6,34.6,34.6,5,0
NTW,5,20210316,154000,34.6,34.6,34.6,34.6,6,0
NTW,5,20210316,154500,34.6,34.6,34.6,34.6,14,0
NTW,5,20210316,160500,34.6,34.6,34.6,34.6,10,0
NTW,5,20210316,162000,33,34.6,33,34.6,135,0
NTW,5,20210316,162500,34.8,34.8,34.8,34.8,5,0
NTW,5,20210316,164500,34.8,34.8,34.8,34.8,12,0
