<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVV,5,20210204,090000,8.52,8.52,8.52,8.52,3,0
NVV,5,20210204,102000,8.48,8.48,8.48,8.48,100,0
NVV,5,20210204,103500,8.38,8.38,8.38,8.38,21,0
NVV,5,20210204,112500,8.5,8.6,8.5,8.6,2000,0
NVV,5,20210204,115000,8.4,8.4,8.4,8.4,50,0
NVV,5,20210204,115500,8.4,8.4,8.4,8.4,450,0
NVV,5,20210204,120500,8.38,8.38,8.38,8.38,60,0
NVV,5,20210204,121000,8.5,8.5,8.5,8.5,1000,0
NVV,5,20210204,123000,8.6,8.6,8.6,8.6,550,0
NVV,5,20210204,123500,8.6,8.7,8.6,8.7,1150,0
NVV,5,20210204,134500,8.48,8.48,8.48,8.48,240,0
NVV,5,20210204,143000,8.6,8.6,8.6,8.6,20,0
NVV,5,20210204,145500,8.6,8.6,8.6,8.6,100,0
NVV,5,20210204,152500,8.6,8.6,8.6,8.6,237,0
NVV,5,20210204,154000,8.52,8.52,8.5,8.5,200,0
NVV,5,20210204,161500,8.6,8.6,8.6,8.6,50,0
NVV,5,20210204,162500,8.52,8.52,8.52,8.52,120,0
NVV,5,20210204,164500,8.6,8.6,8.6,8.6,14,0
NVV,5,20210205,092000,8.5,8.5,8.4,8.4,400,0
NVV,5,20210205,092500,8.5,8.6,8.5,8.6,581,0
NVV,5,20210205,094000,8.6,8.6,8.6,8.6,1498,0
NVV,5,20210205,102500,8.52,8.52,8.52,8.52,150,0
NVV,5,20210205,103000,8.52,8.52,8.48,8.48,400,0
NVV,5,20210205,110000,8.58,8.58,8.58,8.58,100,0
NVV,5,20210205,114000,8.4,8.4,8.4,8.4,100,0
NVV,5,20210205,124500,8.4,8.4,8.38,8.38,161,0
NVV,5,20210205,135000,8.56,8.56,8.56,8.56,223,0
NVV,5,20210208,090000,8.54,8.58,8.54,8.58,500,0
NVV,5,20210208,090500,8.56,8.56,8.56,8.56,240,0
NVV,5,20210208,091000,8.56,8.56,8.56,8.56,342,0
