<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWA,5,20210204,091000,18.5,18.5,18.5,18.5,100,0
NWA,5,20210204,091500,18.5,18.5,18,18,100,0
NWA,5,20210204,132000,18.1,18.1,18.1,18.1,100,0
NWA,5,20210204,163000,18.5,18.5,18.5,18.5,100,0
NWA,5,20210204,164500,18.6,18.6,18.6,18.6,107,0
NWA,5,20210208,092500,18.9,18.9,18.9,18.9,20,0
NWA,5,20210208,125500,18.9,18.9,18.9,18.9,75,0
NWA,5,20210208,130500,18.9,18.9,18.9,18.9,15,0
NWA,5,20210208,163500,18.5,18.5,18.5,18.5,1,0
NWA,5,20210208,164500,19.9,19.9,19.9,19.9,3,0
NWA,5,20210209,114500,19.4,19.4,19.3,19.3,450,0
NWA,5,20210210,162000,19.4,19.9,19.4,19.9,156,0
NWA,5,20210212,090000,18.6,18.6,18.6,18.6,20,0
NWA,5,20210212,094000,18.6,18.6,18.6,18.6,10,0
NWA,5,20210212,101000,19,19,19,19,100,0
NWA,5,20210212,105000,19,19,19,19,70,0
NWA,5,20210212,140500,18.6,18.6,18.6,18.6,19,0
NWA,5,20210212,161500,18.3,18.3,18.3,18.3,55,0
NWA,5,20210215,101500,18.9,18.9,18.9,18.9,75,0
NWA,5,20210215,102500,19,19,19,19,80,0
NWA,5,20210215,150000,18.9,18.9,18.9,18.9,70,0
NWA,5,20210215,155000,18.3,18.3,18.3,18.3,6,0
NWA,5,20210216,131500,18.8,18.8,18.3,18.3,500,0
NWA,5,20210216,143500,18.3,18.3,18.3,18.3,500,0
NWA,5,20210216,164500,19,19,19,19,1,0
NWA,5,20210217,091000,18.3,19,18.3,19,518,0
NWA,5,20210217,092000,19,19,19,19,184,0
NWA,5,20210217,092500,19,19,19,19,200,0
NWA,5,20210217,093000,19,19,19,19,78,0
NWA,5,20210217,100000,19,19,19,19,507,0
NWA,5,20210217,100500,19,19,19,19,654,0
NWA,5,20210217,110000,19,19,19,19,364,0
NWA,5,20210217,110500,19,19,19,19,87,0
NWA,5,20210217,124000,19,19,19,19,2438,0
NWA,5,20210217,135500,19,19,19,19,1266,0
NWA,5,20210217,142500,19,19,19,19,1641,0
NWA,5,20210217,144000,19,19,19,19,323,0
NWA,5,20210217,145000,19,19,19,19,297,0
NWA,5,20210217,145500,19,19,19,19,500,0
NWA,5,20210217,150500,19,19,19,19,261,0
NWA,5,20210217,161500,18.7,18.7,18.7,18.7,57,0
NWA,5,20210217,162000,19,19,19,19,1,0
NWA,5,20210217,164000,19,20.8,19,20.8,3184,0
NWA,5,20210217,164500,19.5,19.5,19.5,19.5,68,0
NWA,5,20210218,091500,21.2,21.2,21.2,21.2,1,0
NWA,5,20210218,092500,19.7,19.7,19.7,19.7,1,0
NWA,5,20210218,094500,20.8,20.8,20.8,20.8,100,0
NWA,5,20210218,122500,20,20,20,20,480,0
NWA,5,20210218,125500,20,20,20,20,89,0
NWA,5,20210218,151500,20,20,20,20,100,0
NWA,5,20210218,161500,20.2,20.8,20.2,20.8,330,0
NWA,5,20210219,090000,21.6,21.6,21.6,21.6,43,0
NWA,5,20210219,100500,21,21.2,21,21.2,191,0
NWA,5,20210219,101000,21.2,21.4,21.2,21.4,233,0
NWA,5,20210219,111000,21.2,21.4,21.2,21.4,117,0
NWA,5,20210219,112000,21.4,21.6,21.4,21.6,145,0
NWA,5,20210219,113000,21.6,21.6,21.6,21.6,100,0
NWA,5,20210219,115500,20.6,20.6,20.6,20.6,4,0
NWA,5,20210219,120000,20.6,20.6,20.6,20.6,110,0
NWA,5,20210219,164500,20.6,20.6,20.6,20.6,91,0
NWA,5,20210222,090000,20.6,20.6,20.6,20.6,293,0
NWA,5,20210222,092500,20.6,20.6,20.6,20.6,100,0
NWA,5,20210222,100000,20.6,20.6,20.6,20.6,107,0
NWA,5,20210222,143500,20,20,17.3,17.3,2009,0
NWA,5,20210222,144500,18.9,19,18.9,19,250,0
NWA,5,20210222,152000,19.8,20.2,19.8,20.2,165,0
NWA,5,20210223,090000,18.5,18.5,18.5,18.5,1,0
NWA,5,20210223,101500,18.6,18.6,18.6,18.6,100,0
NWA,5,20210223,113500,19.8,20,19.8,20,110,0
NWA,5,20210223,115500,18.7,18.7,18.7,18.7,93,0
NWA,5,20210223,121000,18.6,18.6,18.5,18.5,189,0
NWA,5,20210223,122000,18.5,18.5,18.5,18.5,100,0
NWA,5,20210223,130500,18.2,18.2,18.1,18.1,150,0
NWA,5,20210223,132500,18.2,18.2,18.2,18.2,100,0
NWA,5,20210223,135500,18.5,18.5,18.5,18.5,10,0
NWA,5,20210223,144500,18.5,18.5,18.5,18.5,4,0
NWA,5,20210223,162000,19.5,19.7,19.5,19.7,50,0
NWA,5,20210224,111500,19.5,19.5,19.5,19.5,91,0
NWA,5,20210224,141000,19,19,19,19,134,0
NWA,5,20210224,151000,19.7,19.8,19.7,19.8,70,0
NWA,5,20210224,164500,19.9,19.9,19.9,19.9,100,0
NWA,5,20210225,151000,19.2,19.2,19.2,19.2,100,0
NWA,5,20210225,154500,20,20.2,20,20.2,101,0
NWA,5,20210226,093500,19.9,19.9,19.9,19.9,2,0
NWA,5,20210226,141000,18.4,18.4,18.4,18.4,130,0
NWA,5,20210226,141500,18.3,18.3,18.3,18.3,137,0
NWA,5,20210226,143500,18.9,19.9,18.9,19.9,150,0
NWA,5,20210301,090000,19.9,19.9,19.9,19.9,50,0
NWA,5,20210301,092000,20,20,20,20,100,0
NWA,5,20210301,095500,19.9,19.9,19.9,19.9,500,0
NWA,5,20210301,103000,20,22.4,20,22.4,378,0
NWA,5,20210301,104000,21,21,21,21,143,0
NWA,5,20210301,105500,22,22.4,22,22.4,101,0
NWA,5,20210301,111000,22.4,22.4,22.4,22.4,512,0
NWA,5,20210301,111500,22.6,23.6,22.6,23.6,218,0
NWA,5,20210301,112000,23.6,23.8,23.6,23.8,150,0
NWA,5,20210301,115000,23.6,23.6,23.6,23.6,100,0
NWA,5,20210301,122000,23.4,23.4,23.4,23.4,20,0
NWA,5,20210301,125500,22,22,20.6,20.6,20,0
NWA,5,20210301,160000,21.8,21.8,21.8,21.8,10,0
NWA,5,20210301,162500,22.8,22.8,22.8,22.8,2,0
NWA,5,20210301,164500,22.8,23,22.8,23,51,0
NWA,5,20210302,090000,24,25,24,25,140,0
NWA,5,20210302,090500,25,25,24,24,16,0
NWA,5,20210302,091000,24,24,24,24,11,0
NWA,5,20210302,092000,24,24,24,24,9,0
NWA,5,20210302,095000,24.8,24.8,24.8,24.8,40,0
NWA,5,20210302,112000,22.2,22.2,22,22,637,0
NWA,5,20210302,124000,22.8,24.4,22.8,24.4,463,0
NWA,5,20210302,133500,22,24.4,22,24.4,51,0
NWA,5,20210302,143500,22.8,22.8,22.8,22.8,1,0
NWA,5,20210302,150500,23.4,23.4,23.4,23.4,90,0
NWA,5,20210302,152500,23,23,23,23,110,0
NWA,5,20210302,154000,23,23,23,23,22,0
NWA,5,20210302,163500,23,23,23,23,178,0
NWA,5,20210302,164500,23.4,23.4,23.4,23.4,232,0
NWA,5,20210303,090000,22,22,20.4,20.4,495,0
NWA,5,20210303,091500,21.8,22.4,21.8,22.4,399,0
NWA,5,20210303,092000,22.4,22.8,22.4,22.8,950,0
NWA,5,20210303,095000,21.6,21.6,21.4,21.4,1000,0
NWA,5,20210303,095500,22.2,22.8,22.2,22.8,220,0
NWA,5,20210303,100000,21.6,21.6,21.6,21.6,141,0
NWA,5,20210303,101500,21.4,21.4,21.4,21.4,2204,0
NWA,5,20210303,103000,20.8,20.8,20.8,20.8,25,0
NWA,5,20210303,103500,20.6,20.6,20.6,20.6,953,0
NWA,5,20210303,110500,20.6,20.6,20.6,20.6,43,0
NWA,5,20210303,112500,21,21.2,21,21.2,80,0
NWA,5,20210303,114000,20.6,20.6,20.6,20.6,29,0
NWA,5,20210303,143000,21,21,21,21,284,0
NWA,5,20210303,150000,20.8,20.8,20.8,20.8,24,0
NWA,5,20210303,150500,20.8,21.4,20.8,21.4,300,0
NWA,5,20210303,152000,20.8,20.8,20.8,20.8,100,0
NWA,5,20210303,154500,20.6,20.6,20.6,20.6,1350,0
NWA,5,20210303,162000,20.6,20.6,20.6,20.6,500,0
NWA,5,20210303,163500,21,21,21,21,170,0
NWA,5,20210304,090500,20.4,20.4,19.2,19.2,100,0
NWA,5,20210304,091000,19.2,19.2,19.1,19.1,212,0
NWA,5,20210304,092000,19.2,19.2,19.2,19.2,200,0
NWA,5,20210304,093000,19.1,19.1,19.1,19.1,210,0
NWA,5,20210304,093500,19,19,18.5,18.5,273,0
NWA,5,20210304,094000,18.4,18.6,18.3,18.3,281,0
NWA,5,20210304,100000,19,19,19,19,70,0
NWA,5,20210304,101000,19,19,19,19,55,0
NWA,5,20210304,102000,19.2,20,19.2,20,230,0
NWA,5,20210304,115500,19,19,19,19,156,0
NWA,5,20210304,120500,18.8,18.8,18.8,18.8,240,0
NWA,5,20210304,122000,18.9,18.9,18.9,18.9,31,0
NWA,5,20210304,135500,18.9,18.9,18.9,18.9,100,0
NWA,5,20210304,161000,19.5,19.5,19.5,19.5,31,0
NWA,5,20210304,162500,19.5,19.5,19.5,19.5,39,0
NWA,5,20210304,163000,19.6,20.4,19.6,20.4,140,0
NWA,5,20210304,164500,19.5,19.5,19.5,19.5,1,0
NWA,5,20210305,090000,20.4,20.4,20.4,20.4,75,0
NWA,5,20210305,095500,20,20,20,20,190,0
NWA,5,20210305,103000,19.6,19.6,19.6,19.6,127,0
NWA,5,20210305,133500,19.8,19.8,19.8,19.8,70,0
NWA,5,20210305,143500,19.9,19.9,19.9,19.9,519,0
NWA,5,20210305,162500,20,20.4,20,20.4,333,0
NWA,5,20210305,163000,20.6,20.6,20.6,20.6,100,0
NWA,5,20210305,163500,20.8,20.8,20.8,20.8,96,0
NWA,5,20210305,164000,20.8,20.8,20.8,20.8,6,0
NWA,5,20210305,164500,20.8,20.8,20.8,20.8,488,0
NWA,5,20210308,091500,21,21,20.2,20.2,100,0
NWA,5,20210308,103000,21.8,21.8,21.8,21.8,50,0
NWA,5,20210308,142000,21,21,21,21,100,0
NWA,5,20210308,151000,20.6,20.6,20.6,20.6,80,0
NWA,5,20210309,093500,22.2,22.2,22.2,22.2,5,0
NWA,5,20210309,120500,22.2,22.2,22.2,22.2,77,0
NWA,5,20210309,140000,21,21,21,21,80,0
NWA,5,20210309,164000,21,21,21,21,200,0
NWA,5,20210309,165500,21,21,21,21,700,0
NWA,5,20210310,114500,20.8,20.8,20.8,20.8,100,0
NWA,5,20210311,093500,21,21,21,21,26,0
NWA,5,20210311,095000,20,21,20,21,677,0
NWA,5,20210311,103500,21,21,21,21,388,0
NWA,5,20210311,105000,20,20,20,20,300,0
NWA,5,20210311,125000,20.4,20.4,20.4,20.4,80,0
NWA,5,20210311,131000,20.4,21,20.4,21,1000,0
NWA,5,20210312,140000,20.8,21,20.8,21,430,0
NWA,5,20210312,142000,21,21,21,21,126,0
NWA,5,20210312,143500,21,21,21,21,96,0
NWA,5,20210312,154500,21.6,21.6,21.6,21.6,100,0
NWA,5,20210312,164500,21.8,21.8,21.8,21.8,159,0
NWA,5,20210315,090000,20.6,20.6,20.6,20.6,300,0
NWA,5,20210315,090500,21.6,21.6,21.6,21.6,50,0
NWA,5,20210315,093500,21.6,21.6,21.6,21.6,9,0
NWA,5,20210315,101500,21.6,21.6,21.6,21.6,41,0
NWA,5,20210315,103000,21.6,21.6,21.6,21.6,59,0
NWA,5,20210315,105000,21.2,21.2,21.2,21.2,100,0
NWA,5,20210315,110000,21.4,21.4,21.4,21.4,223,0
NWA,5,20210315,110500,21,21,21,21,60,0
NWA,5,20210315,111000,20.8,20.8,20.8,20.8,300,0
NWA,5,20210315,111500,20.6,20.6,20.2,20.2,500,0
NWA,5,20210315,112000,21.6,22.4,21.6,22.4,70,0
NWA,5,20210315,114000,20.6,20.6,20.6,20.6,49,0
NWA,5,20210315,125500,20.6,20.6,20.6,20.6,50,0
NWA,5,20210315,130500,20.4,20.4,20.4,20.4,80,0
NWA,5,20210315,131500,21,21,21,21,10,0
NWA,5,20210315,151000,21,21,21,21,90,0
NWA,5,20210315,155500,21,21,21,21,21,0
NWA,5,20210316,090000,21.2,21.2,21.2,21.2,273,0
NWA,5,20210316,102000,21.2,21.2,21.2,21.2,127,0
NWA,5,20210316,120000,21.6,21.6,21.6,21.6,50,0
NWA,5,20210316,133000,21.6,21.6,21.6,21.6,56,0
NWA,5,20210317,090000,21.8,21.8,21.8,21.8,195,0
NWA,5,20210317,090500,21.8,21.8,21.8,21.8,79,0
NWA,5,20210317,092500,21.6,21.6,21.6,21.6,100,0
NWA,5,20210317,094500,21,21,21,21,100,0
NWA,5,20210317,095000,20.8,20.8,20.8,20.8,100,0
NWA,5,20210317,102500,20.6,20.6,20.4,20.4,190,0
NWA,5,20210317,104000,20.2,20.2,20.2,20.2,450,0
NWA,5,20210317,111000,20.2,20.2,20.2,20.2,100,0
NWA,5,20210317,132000,20.4,20.4,20.4,20.4,50,0
NWA,5,20210317,142000,21,21,21,21,50,0
NWA,5,20210317,150500,20.2,20.2,20.2,20.2,100,0
NWA,5,20210317,163000,21,21.4,21,21.4,100,0
NWA,5,20210318,104500,21.4,21.4,21.4,21.4,300,0
NWA,5,20210318,105000,21.4,21.4,21.4,21.4,5,0
NWA,5,20210318,111000,21.4,21.4,21.4,21.4,100,0
NWA,5,20210318,122000,21,21,20.8,20.8,100,0
NWA,5,20210318,163000,21,22,21,22,556,0
NWA,5,20210318,163500,22,22,22,22,191,0
NWA,5,20210319,115000,21.8,21.8,21.8,21.8,100,0
NWA,5,20210322,090000,21.6,21.6,21.6,21.6,2,0
NWA,5,20210322,140500,21,21,20.8,20.8,300,0
NWA,5,20210322,142000,20.8,20.8,20.8,20.8,162,0
NWA,5,20210322,143500,20.8,21.4,20.8,21.4,40,0
NWA,5,20210323,094000,20.6,20.6,20.6,20.6,100,0
NWA,5,20210323,135500,20.8,20.8,20.6,20.6,200,0
NWA,5,20210324,090000,20.2,20.2,20.2,20.2,159,0
NWA,5,20210324,092000,21,21,21,21,9,0
NWA,5,20210324,104500,21,21,21,21,94,0
NWA,5,20210324,124500,20.4,20.4,19.8,19.8,529,0
NWA,5,20210324,133000,20.2,20.8,20.2,20.8,220,0
NWA,5,20210325,092000,20.6,20.6,20.6,20.6,2,0
NWA,5,20210325,113000,20,20,20,20,30,0
NWA,5,20210325,151500,20.2,20.2,20.2,20.2,120,0
NWA,5,20210325,154500,20.2,20.2,20.2,20.2,90,0
NWA,5,20210325,155000,20.2,20.2,20.2,20.2,90,0
NWA,5,20210325,165500,20.6,20.6,20.6,20.6,396,0
NWA,5,20210326,095000,20.6,21.2,20.6,21.2,90,0
NWA,5,20210326,111000,21.2,21.2,21.2,21.2,3,0
NWA,5,20210326,144000,21.2,21.2,21.2,21.2,16,0
NWA,5,20210326,162000,21.2,21.2,21.2,21.2,92,0
NWA,5,20210326,162500,21.2,21.2,21.2,21.2,59,0
