<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXB,5,20210204,110000,14.1,14.1,14.1,14.1,71,0
NXB,5,20210205,110000,14,14,14,14,5,0
NXB,5,20210205,150000,15.2,15.2,15.2,15.2,55,0
NXB,5,20210208,150000,15,15,15,15,10,0
NXB,5,20210209,110000,14.1,14.1,14.1,14.1,268,0
NXB,5,20210209,150000,15,15,15,15,30,0
NXB,5,20210210,110000,14.1,14.1,14.1,14.1,63,0
NXB,5,20210210,150000,14.1,14.1,14.1,14.1,80,0
NXB,5,20210211,110000,14,14,14,14,19,0
NXB,5,20210211,150000,14,14,14,14,120,0
NXB,5,20210212,150000,14.3,14.3,14.3,14.3,121,0
NXB,5,20210212,151000,14.3,14.3,14.3,14.3,200,0
NXB,5,20210215,110000,14.1,14.1,14.1,14.1,70,0
NXB,5,20210215,150000,14.6,14.6,14.6,14.6,30,0
NXB,5,20210216,110000,14.6,14.6,14.6,14.6,149,0
NXB,5,20210217,150000,14.6,14.6,14.6,14.6,10,0
NXB,5,20210218,110000,14.6,14.6,14.6,14.6,10,0
NXB,5,20210219,112500,14.6,14.6,14.6,14.6,10,0
NXB,5,20210219,150000,14.6,14.6,14.6,14.6,10,0
NXB,5,20210222,150000,14.9,14.9,14.9,14.9,1,0
NXB,5,20210223,151500,20,20,20,20,3000,0
NXB,5,20210224,150000,18.8,18.8,18.8,18.8,40,0
NXB,5,20210225,110000,17.4,17.4,17.4,17.4,35,0
NXB,5,20210225,112500,17.4,17.4,17.4,17.4,110,0
NXB,5,20210225,150000,17.4,17.4,17.4,17.4,50,0
NXB,5,20210225,151000,17.4,17.4,17.4,17.4,1,0
NXB,5,20210225,152500,17.4,17.4,17.4,17.4,30,0
NXB,5,20210226,150000,17.2,17.2,17.2,17.2,10,0
NXB,5,20210302,110000,16.8,16.8,16.8,16.8,10,0
NXB,5,20210303,110000,16.8,16.8,16.8,16.8,5,0
NXB,5,20210304,150000,16.8,16.8,16.8,16.8,14,0
NXB,5,20210305,110000,16.2,16.2,16.2,16.2,5,0
NXB,5,20210305,110500,16.2,16.2,16.2,16.2,30,0
NXB,5,20210305,112000,16.2,16.2,16.2,16.2,10,0
NXB,5,20210305,150000,16.2,16.2,16.2,16.2,99,0
NXB,5,20210309,150000,16.2,16.2,16.2,16.2,30,0
NXB,5,20210310,110000,16.2,16.2,16.2,16.2,1,0
NXB,5,20210311,110000,16.2,16.2,16.2,16.2,5,0
NXB,5,20210311,150000,15,15,15,15,15,0
NXB,5,20210312,150000,15,15,15,15,152,0
NXB,5,20210312,152500,15,15,15,15,372,0
NXB,5,20210315,110000,14.9,14.9,14.9,14.9,250,0
NXB,5,20210315,150000,15,15,15,15,251,0
NXB,5,20210315,151500,15,15,15,15,35,0
NXB,5,20210316,110000,15,15,15,15,67,0
NXB,5,20210316,112000,15,15,15,15,10,0
NXB,5,20210316,150000,15,15,15,15,489,0
NXB,5,20210317,110000,14.7,14.7,14.7,14.7,35,0
NXB,5,20210317,112500,14.7,14.7,14.7,14.7,166,0
NXB,5,20210317,150000,16.2,16.2,16.2,16.2,10,0
NXB,5,20210318,110000,15,15,15,15,125,0
NXB,5,20210318,111000,15,15,15,15,900,0
NXB,5,20210318,112000,15,15,15,15,5,0
NXB,5,20210318,150000,15,15,15,15,251,0
NXB,5,20210319,110000,15,15,15,15,5,0
NXB,5,20210319,150000,13.1,13.1,13.1,13.1,942,0
NXB,5,20210322,110000,14.3,14.3,14.3,14.3,431,0
NXB,5,20210322,150000,14.3,14.3,14.3,14.3,217,0
NXB,5,20210323,110000,14.9,14.9,14.9,14.9,136,0
NXB,5,20210323,110500,14.9,14.9,14.9,14.9,79,0
NXB,5,20210323,150000,16,16,16,16,80,0
NXB,5,20210324,110000,16.2,16.2,16.2,16.2,10,0
NXB,5,20210324,150000,15,15,15,15,120,0
NXB,5,20210325,110000,17.9,17.9,17.9,17.9,4,0
NXB,5,20210325,150000,17.5,17.5,17.5,17.5,10,0
