<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OML,5,20210204,090000,8.38,8.38,8.14,8.14,2904,0
OML,5,20210204,090500,8.12,8.2,8.12,8.2,500,0
OML,5,20210204,093000,8.2,8.2,8.16,8.16,351,0
OML,5,20210204,093500,8.18,8.18,8.12,8.12,2100,0
OML,5,20210204,095000,8.16,8.2,8.1,8.2,2250,0
OML,5,20210204,095500,8.2,8.2,8.2,8.2,560,0
OML,5,20210204,100000,8.2,8.2,8.2,8.2,105,0
OML,5,20210204,100500,8.28,8.28,8.28,8.28,121,0
OML,5,20210204,102000,8.2,8.2,8.18,8.18,550,0
OML,5,20210204,102500,8.2,8.2,8.2,8.2,100,0
OML,5,20210204,103000,8.2,8.32,8.2,8.32,455,0
OML,5,20210204,103500,8.34,8.36,8.34,8.36,530,0
OML,5,20210204,104000,8.36,8.38,8.28,8.38,1520,0
OML,5,20210204,104500,8.38,8.38,8.38,8.38,120,0
OML,5,20210204,105000,8.32,8.32,8.32,8.32,200,0
OML,5,20210204,105500,8.38,8.38,8.36,8.38,510,0
OML,5,20210204,110500,8.32,8.32,8.26,8.26,140,0
OML,5,20210204,112000,8.3,8.3,8.3,8.3,10,0
OML,5,20210204,113000,8.26,8.26,8.02,8.02,5006,0
OML,5,20210204,114000,8.2,8.2,8.2,8.2,2,0
OML,5,20210204,115500,8.06,8.06,8.04,8.06,674,0
OML,5,20210204,120000,8.06,8.06,8.06,8.06,1990,0
OML,5,20210204,120500,8.06,8.18,8.06,8.18,1120,0
OML,5,20210204,121000,8.18,8.18,8.18,8.18,230,0
OML,5,20210204,124500,8.18,8.2,8.18,8.2,400,0
OML,5,20210204,125500,8.2,8.2,8.2,8.2,200,0
OML,5,20210204,133000,8.1,8.1,8.1,8.1,225,0
OML,5,20210204,135500,8.16,8.16,8.16,8.16,29,0
OML,5,20210204,140500,8.12,8.12,8.12,8.12,200,0
OML,5,20210204,144500,8.1,8.1,8.1,8.1,160,0
OML,5,20210204,145000,8.1,8.1,8,8,3139,0
OML,5,20210204,145500,7.98,8,7.9,7.9,2343,0
OML,5,20210204,150000,7.92,7.92,7.92,7.92,100,0
OML,5,20210204,150500,7.94,7.96,7.94,7.96,398,0
OML,5,20210204,151000,7.94,7.96,7.94,7.96,209,0
OML,5,20210204,152000,7.96,8,7.96,8,1015,0
OML,5,20210204,152500,7.98,8.08,7.98,8.08,1228,0
OML,5,20210204,153000,8.08,8.08,8.08,8.08,10,0
OML,5,20210204,153500,8,8,8,8,311,0
OML,5,20210204,161000,7.96,7.96,7.9,7.9,585,0
OML,5,20210204,161500,7.94,7.94,7.72,7.8,2335,0
OML,5,20210204,162000,7.8,7.8,7.8,7.8,1130,0
OML,5,20210204,162500,7.86,7.88,7.86,7.88,984,0
OML,5,20210204,163000,7.8,7.8,7.76,7.76,1273,0
OML,5,20210204,163500,7.86,7.86,7.86,7.86,10,0
OML,5,20210204,164000,7.86,7.86,7.76,7.76,3129,0
OML,5,20210204,164500,7.78,7.78,7.68,7.68,6651,0
OML,5,20210205,090000,7.6,7.86,7.6,7.6,3381,0
OML,5,20210205,090500,7.62,7.62,7.6,7.6,4407,0
OML,5,20210205,091000,7.62,7.62,7.62,7.62,100,0
OML,5,20210205,091500,7.64,7.64,7.64,7.64,20,0
OML,5,20210205,092500,7.78,7.8,7.78,7.8,460,0
OML,5,20210205,093000,7.82,7.86,7.82,7.86,1203,0
OML,5,20210205,093500,7.94,7.94,7.94,7.94,250,0
OML,5,20210205,094000,7.9,7.9,7.9,7.9,955,0
OML,5,20210205,095000,7.88,7.88,7.88,7.88,200,0
OML,5,20210205,100000,7.86,7.88,7.86,7.88,290,0
OML,5,20210205,100500,7.88,7.88,7.88,7.88,1000,0
OML,5,20210205,101000,7.82,7.82,7.82,7.82,235,0
OML,5,20210205,102000,7.72,7.72,7.68,7.68,500,0
OML,5,20210205,103000,7.68,7.68,7.6,7.6,3500,0
OML,5,20210205,103500,7.6,7.6,7.6,7.6,115,0
OML,5,20210205,105500,7.68,7.68,7.66,7.66,959,0
OML,5,20210205,110000,7.74,7.74,7.74,7.74,20,0
OML,5,20210205,110500,7.7,7.7,7.7,7.7,500,0
OML,5,20210205,111000,7.74,7.74,7.7,7.7,580,0
OML,5,20210205,120000,7.76,7.76,7.76,7.76,320,0
OML,5,20210205,120500,7.72,7.72,7.72,7.72,250,0
OML,5,20210205,121000,7.76,7.84,7.76,7.84,1027,0
OML,5,20210205,121500,7.8,7.8,7.8,7.8,580,0
OML,5,20210205,125000,7.9,7.9,7.9,7.9,535,0
OML,5,20210205,130500,7.94,7.94,7.94,7.94,500,0
OML,5,20210205,132500,7.94,7.94,7.94,7.94,510,0
OML,5,20210205,133000,7.92,7.94,7.92,7.94,183,0
OML,5,20210205,133500,7.94,7.94,7.94,7.94,117,0
OML,5,20210205,135500,7.84,7.84,7.84,7.84,35,0
OML,5,20210205,140500,7.84,7.84,7.84,7.84,348,0
OML,5,20210205,141000,7.96,7.96,7.96,7.96,1,0
OML,5,20210205,143500,7.96,7.96,7.96,7.96,200,0
OML,5,20210205,144000,7.94,8,7.94,8,778,0
OML,5,20210205,144500,8,8,8,8,205,0
OML,5,20210205,150500,7.84,7.84,7.84,7.84,400,0
OML,5,20210205,152500,7.84,7.84,7.84,7.84,200,0
OML,5,20210205,154000,7.98,7.98,7.98,7.98,2,0
OML,5,20210205,161500,7.94,7.94,7.86,7.86,390,0
OML,5,20210205,162000,7.86,7.86,7.86,7.86,390,0
OML,5,20210205,163000,7.84,8,7.84,8,1609,0
OML,5,20210205,164500,7.9,7.9,7.9,7.9,645,0
OML,5,20210208,090000,7.98,7.98,7.98,7.98,1035,0
OML,5,20210208,090500,7.9,7.9,7.8,7.8,1111,0
OML,5,20210208,091000,7.9,7.9,7.9,7.9,345,0
OML,5,20210208,091500,7.9,7.9,7.9,7.9,125,0
OML,5,20210208,094000,7.84,7.84,7.84,7.84,100,0
OML,5,20210208,094500,7.84,7.84,7.82,7.82,674,0
OML,5,20210208,095000,7.82,7.94,7.82,7.94,221,0
OML,5,20210208,100500,7.94,7.94,7.94,7.94,181,0
OML,5,20210208,104500,7.96,7.96,7.96,7.96,30,0
OML,5,20210208,105500,7.9,7.9,7.88,7.88,204,0
OML,5,20210208,110500,7.88,7.88,7.88,7.88,150,0
OML,5,20210208,112000,7.9,7.9,7.88,7.88,4020,0
OML,5,20210208,113000,7.9,7.9,7.9,7.9,25,0
OML,5,20210208,113500,7.88,7.88,7.88,7.88,307,0
OML,5,20210208,120000,7.9,7.9,7.9,7.9,240,0
OML,5,20210208,120500,7.9,7.9,7.9,7.9,70,0
OML,5,20210208,121000,7.9,7.9,7.9,7.9,185,0
OML,5,20210208,130500,7.86,7.86,7.86,7.86,268,0
OML,5,20210208,131500,7.88,7.88,7.88,7.88,319,0
OML,5,20210208,132000,7.88,7.88,7.88,7.88,100,0
OML,5,20210208,133000,7.88,7.88,7.88,7.88,100,0
OML,5,20210208,141500,7.9,7.9,7.9,7.9,29,0
OML,5,20210208,142500,7.9,7.9,7.9,7.9,816,0
OML,5,20210208,144500,7.88,7.88,7.88,7.88,7,0
OML,5,20210208,150500,7.88,7.88,7.88,7.88,226,0
OML,5,20210208,151000,7.94,7.94,7.94,7.94,1,0
OML,5,20210208,152000,7.94,7.94,7.94,7.94,190,0
OML,5,20210208,152500,7.94,7.94,7.94,7.94,109,0
OML,5,20210208,154500,7.96,7.96,7.96,7.96,99,0
OML,5,20210208,155500,7.96,8,7.96,8,2034,0
OML,5,20210208,160000,8.02,8.04,8,8,146,0
OML,5,20210208,160500,8.04,8.04,8.04,8.04,75,0
OML,5,20210208,161000,8,8,8,8,900,0
OML,5,20210208,161500,8.06,8.2,8.02,8.2,1514,0
OML,5,20210208,162000,8.2,8.2,8.2,8.2,260,0
OML,5,20210208,163000,8.12,8.12,8.12,8.12,120,0
OML,5,20210208,163500,8.12,8.2,8.1,8.1,1193,0
OML,5,20210208,164000,8.1,8.1,8.1,8.1,369,0
OML,5,20210208,164500,8.1,8.1,8.1,8.1,260,0
OML,5,20210209,090000,8.1,8.1,8.1,8.1,286,0
OML,5,20210209,091500,8.08,8.08,8,8,434,0
OML,5,20210209,092000,7.92,7.92,7.9,7.9,400,0
OML,5,20210209,092500,7.9,7.9,7.9,7.9,1736,0
OML,5,20210209,095000,7.9,7.9,7.9,7.9,464,0
OML,5,20210209,100000,8.06,8.06,8.06,8.06,100,0
OML,5,20210209,102500,8.08,8.08,7.92,7.92,70,0
OML,5,20210209,103500,8.08,8.08,8.08,8.08,80,0
OML,5,20210209,105000,7.98,7.98,7.98,7.98,50,0
OML,5,20210209,105500,7.98,7.98,7.92,7.92,700,0
OML,5,20210209,110500,8.08,8.1,8.08,8.1,3600,0
OML,5,20210209,111000,8.1,8.1,8.1,8.1,20,0
OML,5,20210209,111500,8.08,8.08,8.08,8.08,15,0
OML,5,20210209,115500,7.96,7.96,7.96,7.96,125,0
OML,5,20210209,120000,7.96,7.96,7.94,7.94,500,0
OML,5,20210209,121000,7.96,7.96,7.96,7.96,200,0
OML,5,20210209,123000,7.96,7.96,7.96,7.96,100,0
OML,5,20210209,123500,8.02,8.02,8.02,8.02,100,0
OML,5,20210209,124000,8.02,8.02,8.02,8.02,150,0
OML,5,20210209,125500,7.94,8.06,7.92,8.06,600,0
OML,5,20210209,131500,8.06,8.06,8.06,8.06,74,0
OML,5,20210209,133000,8.06,8.06,8.06,8.06,1089,0
OML,5,20210209,142000,8,8,8,8,250,0
OML,5,20210209,151500,7.96,8.1,7.96,8.1,101,0
OML,5,20210209,161500,8,8,8,8,499,0
OML,5,20210209,162000,8.08,8.08,8.08,8.08,150,0
OML,5,20210209,164000,8.04,8.04,8.04,8.04,18,0
OML,5,20210209,164500,8,8,8,8,9,0
OML,5,20210210,090000,8.08,8.08,8.08,8.08,1050,0
OML,5,20210210,091000,8.08,8.1,8.08,8.1,2053,0
OML,5,20210210,092000,8.14,8.14,8.14,8.14,1,0
OML,5,20210210,092500,8.14,8.2,8.14,8.16,3664,0
OML,5,20210210,093000,8.2,8.2,8.2,8.2,1546,0
OML,5,20210210,093500,8.2,8.2,8.2,8.2,1081,0
OML,5,20210210,094000,8.22,8.24,8.22,8.22,970,0
OML,5,20210210,094500,8.22,8.24,8.22,8.24,1780,0
OML,5,20210210,095000,8.2,8.2,8.2,8.2,250,0
OML,5,20210210,095500,8.24,8.34,8.24,8.34,1314,0
OML,5,20210210,100000,8.34,8.44,8.34,8.44,4407,0
OML,5,20210210,100500,8.44,8.46,8.44,8.44,2244,0
OML,5,20210210,101000,8.34,8.34,8.34,8.34,1950,0
OML,5,20210210,101500,8.32,8.32,8.32,8.32,120,0
OML,5,20210210,102000,8.36,8.38,8.36,8.38,50,0
OML,5,20210210,102500,8.32,8.32,8.3,8.3,2760,0
OML,5,20210210,103000,8.38,8.38,8.26,8.26,885,0
OML,5,20210210,103500,8.24,8.24,8.24,8.24,1800,0
OML,5,20210210,104000,8.3,8.3,8.3,8.3,400,0
OML,5,20210210,104500,8.28,8.28,8.28,8.28,60,0
OML,5,20210210,105000,8.24,8.24,8.2,8.2,1162,0
OML,5,20210210,110500,8.24,8.24,8.24,8.24,1050,0
OML,5,20210210,111000,8.28,8.3,8.28,8.3,1010,0
OML,5,20210210,111500,8.24,8.24,8.24,8.24,170,0
